"country_name","iso_code","country_area_km2","country_name_short","project_id"
"Albania","AL",28786.07,"albania",1
"Austria","AT",83988.21,"austria",2
"Belarus","BY",207575.27,"belarus",3
"Belgium","BE",30587.77,"belgium",4
"Bosnia and Herzegovina","BA",51030.41,"bosniaherzegovina",5
"Bulgaria","BG",110953.91,"bulgaria",6
"Croatia","HR",57017.2,"croatia",7
"Czech Republic","CZ",78842.74,"czechia",8
"Denmark","DK",43501.59,"denmark",9
"Estonia","EE",45405.32,"estonia",10
"Finland","FI",338434,"finland",11
"France","FR",549006.24,"france",12
"Germany","DE",357454.99,"germany",13
"Greece","GR",124885.96,"greece",14
"Hungary","HU",93001.36,"hungary",15
"Ireland","IE",70243.37,"ireland",16
"Italy","IT",300887.48,"italy",17
"Latvia","LV",64549.9,"latvia",18
"Lithuania","LT",64941.46,"lithuania",19
"Moldova","MD",33847.27,"moldova",20
"Montenegro","ME",13764.39,"montenegro",21
"Netherlands","NL",35162.75,"netherlands",22
"Norway","NO",311654.47,"norway",23
"Poland","PL",311759.97,"poland",24
"Portugal","PT",88700.69,"portugal",25
"Romania","RO",238289.83,"romania",26
"Russian Federation","RU",13444.96,"russia",27
"Serbia","RS",88372.28,"serbia",28
"Slovakia","SK",49036.66,"slovakia",29
"Slovenia","SI",20221.19,"slovenia",30
"Spain","ES",498518.52,"spain",31
"Sweden","SE",450040.79,"sweden",32
"Switzerland","CH",41239.21,"switzerland",33
"The Former Yugoslav Republic of Macedonia","MK",25438.31,"macedonia",34
"Ukraine","UA",597120.26,"ukraine",35
"United Kingdom","GB",245164.44,"unitedkingdom",36
