project_id,plotid,plotid_old,x,y
2,1,2,4472396.46284043,2716509.95506941
2,2,3,4760347.16633193,2659598.56524225
2,3,5,4785460.50221756,2847850.87988414
2,4,8,4624896.09286,2650433.7333115
2,5,9,4606009.89400408,2658581.61172353
2,6,10,4703409.76977867,2782119.79999
2,7,14,4604808.77601957,2642303.24184669
2,8,15,4748730.95257469,2707399.55613789
2,9,16,4608306.67586362,2836018.54561016
2,10,18,4607003.50841543,2781926.36724792
2,11,19,4456593.44897026,2699847.47994974
2,12,20,4694838.25378559,2649926.39266994
2,13,26,4780676.14795047,2823485.94819408
2,14,28,4676139.98646467,2804662.32607393
2,15,30,4735884.13700318,2742191.53249059
2,16,33,4680981.81412041,2747188.67358328
2,17,34,4612059.1989589,2717687.73155528
2,18,35,4728907.4691461,2699556.1850028
2,19,36,4692359.74378701,2679161.35336061
2,20,40,4666050.75892173,2717044.05312232
2,21,41,4587507.11483575,2796583.2397363
2,22,44,4454103.44262346,2692741.67178095
2,23,46,4537476.82323083,2621085.9829309
2,24,48,4675177.27678796,2845532.52983857
2,25,49,4560252.0030922,2657467.78365266
2,26,50,4711726.82717654,2728461.01281242
2,27,54,4554679.99860657,2720955.56155498
2,28,55,4652023.19214461,2749714.67832951
2,29,57,4711777.1774923,2875004.46852206
2,30,60,4637689.76797844,2783749.93517079
2,31,61,4660905.19508402,2727611.70941657
2,32,63,4777117.55790364,2708494.52053341
2,33,66,4307430.64013711,2717247.6564602
2,34,70,4680468.12174705,2608920.42414421
2,35,79,4718531.55517068,2877450.4710783
2,36,80,4699071.88876692,2853051.52599791
2,37,82,4592038.27142196,2621532.43094319
2,38,83,4748396.02157041,2735374.678777
2,39,84,4569745.44578354,2674863.93432606
2,40,85,4571112.92171418,2633788.27763104
2,41,87,4626990.405982,2782217.54626333
2,42,88,4718332.73349488,2649589.78295295
2,43,91,4706370.03564924,2879419.3565564
2,44,92,4532038.41660041,2705991.59905109
2,45,94,4665291.52249533,2824499.73209736
2,46,101,4670461.24369887,2681804.04475134
2,47,102,4727225.56026567,2846696.37328503
2,48,104,4673928.78843008,2849839.38324668
2,49,108,4455318.93791826,2693926.65698953
2,50,110,4613662.17046235,2793649.21421235
2,51,113,4603688.61151408,2733420.91197855
2,52,114,4454804.38456076,2710420.8836481
2,53,116,4473243.85529834,2699293.92308577
2,54,118,4744193.64321321,2663219.77735813
2,55,119,4757449.75533236,2728533.60726357
2,56,120,4545916.97431999,2684103.21780333
2,57,123,4583350.75448381,2660891.60061069
2,58,124,4550137.08613554,2618884.68487789
2,59,125,4350841.51225404,2685533.46767875
2,60,127,4307430.41978031,2689325.13499169
2,61,128,4774554.53987108,2741942.45963062
