project_id,plotid,plotid_old,x,y
13,1,1,4340164.33716932,3063599.35228029
13,2,3,4476821.71778122,2966109.19357406
13,3,7,4331392.1615555,2882919.48054701
13,4,9,4462998.56085602,2995157.49601705
13,5,10,4234388.65417108,2943275.32453648
13,6,11,4230893.38717023,3411208.0579541
13,7,13,4530341.44474322,3380410.69170857
13,8,18,4428520.4235872,3249013.73957352
13,9,22,4477548.58469049,2976349.27679171
13,10,23,4257617.06603678,2942778.93270133
13,11,33,4256056.59207812,2764091.28719818
13,12,35,4342345.1665754,3397891.77677865
13,13,37,4602420.34340589,3252570.04970256
13,14,44,4296347.95869036,2967944.67648963
13,15,45,4565158.67232434,3098109.10214272
13,16,46,4198178.52158916,3108753.45475442
13,17,49,4533494.22564627,3046200.69517661
13,18,51,4399674.870052,3072524.0165276
13,19,53,4325266.92472694,2779646.71119432
13,20,57,4265904.19286787,3096510.00385662
13,21,58,4298024.32327021,3182632.52052549
13,22,59,4264994.44482227,3146496.92516644
13,23,60,4426247.4748914,3273288.98724392
13,24,61,4496039.13510984,3229207.69184697
13,25,64,4266477.19201962,2974469.8169949
13,26,72,4365653.7184721,2890543.61189452
13,27,75,4369395.08336349,3047932.5636296
13,28,76,4142840.71570271,3051712.29883939
13,29,78,4263977.07411108,2980535.94950934
13,30,79,4532433.81022618,3307729.78842249
13,31,83,4252669.84466335,2983480.66634298
13,32,84,4304285.88027139,2914843.64474416
13,33,87,4289601.96684784,3161557.7797912
13,34,92,4530078.30736929,3085518.36149892
13,35,104,4268559.8384809,2959646.37174582
13,36,109,4251105.62749871,3138282.78740084
13,37,110,4575725.47062987,3305819.5343208
13,38,111,4351430.97544745,2708167.54148533
13,39,112,4547439.56792479,3381508.47570256
13,40,118,4117783.09704394,2985590.15971731
13,41,123,4286957.19492985,2878136.91226284
13,42,128,4308603.97033202,3414841.98120543
13,43,130,4396144.76430789,2724825.89315138
13,44,132,4608890.34097616,3150080.36137294
13,45,134,4263512.38310679,3254961.54319161
13,46,135,4199479.28143344,3129295.75952621
13,47,141,4455454.29802524,3242037.09997068
13,48,142,4318583.48282382,2892779.56357131
13,49,143,4349080.86354927,3338949.54048615
13,50,144,4394525.81472692,2945163.31453896
13,51,146,4446662.01990944,3025547.83475449
13,52,147,4297130.30627412,3373738.62542522
13,53,149,4629293.01341111,3154728.71379392
13,54,151,4369079.68840108,3384489.34515417
13,55,152,4498212.24021278,3341362.13026178
13,56,156,4321977.48284684,3156492.94636344
13,57,157,4066505.14908028,3046960.32278822
13,58,167,4205227.54244228,3112858.64953252
13,59,169,4304152.76044673,3371479.8783811
13,60,170,4462083.17459692,3229333.86631251
13,61,171,4514149.6455033,2761149.84893941
13,62,180,4384483.70284745,2950604.385793
13,63,185,4161739.54181495,2887235.28995261
13,64,186,4455661.50810564,2867625.35011901
13,65,188,4340459.75098738,3379103.1413834
13,66,189,4229366.49614584,2837057.71511055
13,67,192,4477392.99615124,2875400.57075846
13,68,198,4106836.35647523,3008041.05510916
13,69,199,4092671.97373764,2979314.02849828
13,70,204,4478149.15823495,3307759.56238139
13,71,206,4399895.94814089,2938193.36561597
13,72,209,4168000.30450514,2957396.82385062
13,73,213,4263953.53841151,3204170.18719773
13,74,214,4187989.25812737,2834508.63104627
13,75,218,4064399.06756584,3061843.38524028
13,76,225,4358239.84949401,3061975.94972281
13,77,226,4207034.57887617,3038278.42096638
13,78,227,4445064.63529939,3363418.12138398
13,79,230,4363577.30542053,3261441.42553887
13,80,231,4361803.67357413,3319444.83473222
13,81,232,4183824.03311378,3145478.78194584
13,82,235,4388904.56388844,3167732.91175097
13,83,236,4455490.32557872,2987725.11813413
13,84,241,4511887.13331268,3118653.85555252
13,85,244,4467702.36793889,2966697.39024636
13,86,245,4545009.22334571,3095470.06242621
13,87,250,4264600.04259363,3176907.58561357
13,88,262,4587549.59197452,3406224.52029101
13,89,266,4067812.80648804,2953954.83390184
13,90,267,4394550.29276504,3309081.52572795
13,91,269,4305871.30925946,3015563.24915837
13,92,270,4235467.51520317,3120637.92307659
13,93,280,4230521.25839456,2765637.36710647
13,94,281,4441052.16540451,3374576.12615256
13,95,285,4481411.4293255,2883273.29583402
13,96,288,4301732.92365431,2777943.71825147
13,97,291,4307652.8029705,3180009.3902665
13,98,302,4259180.73745533,3067758.11962868
13,99,306,4344016.33284348,3059916.26999782
13,100,308,4140218.4082869,3156313.10810096
13,101,314,4410702.10595339,2862608.31387349
13,102,317,4176460.52525059,3124929.97920578
13,103,318,4458884.68655352,3338238.00044315
13,104,322,4251285.53562941,2922788.59505295
13,105,326,4477326.54633959,2730412.30632117
13,106,327,4327296.64706066,3115153.05053829
13,107,341,4475890.73514945,2725210.86865879
13,108,348,4492905.08336613,3198736.39516546
13,109,354,4236468.76749554,2781666.23487783
13,110,357,4438099.74512694,3073962.14595932
13,111,361,4481230.44972664,2768735.14887616
13,112,362,4349732.22938739,3381072.79111679
13,113,366,4464885.13220611,3288766.89459929
13,114,367,4177347.67584714,3104177.8580272
13,115,368,4179651.56749588,2819473.45021952
13,116,369,4369579.65910107,2989956.19336208
13,117,375,4413879.02280568,2944913.04600459
13,118,376,4445929.97983001,3251800.77976547
13,119,380,4324838.20220312,3137395.75142035
13,120,382,4510079.41279034,3358338.0058099
13,121,384,4184495.06304661,3249080.73196439
13,122,385,4258709.46815997,2839959.62302344
13,123,387,4263318.21021884,2800173.85646542
13,124,388,4162955.84168795,3021420.51106888
13,125,389,4390415.92607242,3192619.11659676
13,126,393,4329091.51202701,2826575.39727025
13,127,397,4373250.84023275,3456381.85622503
13,128,398,4429785.27731492,3075902.92641196
13,129,402,4270917.57868873,2768361.97684083
13,130,404,4492708.87151801,3198091.34216238
13,131,409,4166559.30619256,2756566.97230046
13,132,412,4349260.42970684,3176378.0503823
13,133,414,4365282.44738551,3394025.46627094
13,134,416,4533007.83334421,3341821.59510033
13,135,424,4307489.06136147,2843719.45241385
13,136,426,4542645.36344818,3332141.39130448
13,137,428,4600724.72232048,3250557.66339563
13,138,432,4626338.88548642,3208779.46806981
13,139,434,4373469.76382552,2740850.65933863
13,140,441,4447442.83804705,2802438.83393554
13,141,443,4333221.32473666,3047276.9679164
13,142,444,4412110.06446165,2702862.45562908
13,143,448,4136341.32442798,3144901.45675382
13,144,449,4288439.01613253,3190597.7017582
13,145,450,4362113.43708876,3163837.68365507
13,146,451,4142386.39886118,3257457.95612396
13,147,452,4446661.54912121,2971190.21568209
13,148,453,4280334.62217981,3011646.39196725
13,149,466,4153975.02061728,2970046.90228065
13,150,470,4433488.1567781,3252424.81355943
13,151,471,4383043.67740655,2861489.56650255
13,152,475,4522523.22683475,2799935.00802836
13,153,477,4589233.81529722,3267999.50704308
13,154,479,4404220.24528049,3279509.14004723
13,155,484,4182205.06319677,3064192.30060207
13,156,486,4197764.23985974,2770528.64274475
13,157,487,4184943.65529659,3113197.60496922
13,158,489,4469036.55231832,3060734.94623036
13,159,490,4282976.55312027,3523916.412556
13,160,494,4189692.09801439,2777691.06191808
13,161,502,4114733.83866817,2918056.98642349
13,162,503,4154627.2720228,2989364.40388232
13,163,504,4285750.13032744,3010342.63892292
13,164,505,4401214.84835733,3356306.28663452
13,165,512,4201079.68451164,2812034.17540627
13,166,513,4092454.39628967,2967764.58059948
13,167,515,4229545.07845269,2953665.15308058
13,168,518,4443327.59527396,3078992.91876599
13,169,519,4466369.28548826,2730341.94669718
13,170,523,4243342.03394382,2776862.81094492
13,171,533,4331802.32801335,3279319.44152165
13,172,534,4494457.15851451,3211143.75706548
13,173,539,4427462.86325707,2939608.59589299
13,174,543,4494503.20402292,2905732.26961413
13,175,547,4456397.65573739,3234343.65132842
