project_id,plotid,x,y
1,1,5176471.13716065,2106222.46953535
1,2,5236081.13716065,1999572.46953535
1,3,5160541.13716065,2005092.46953535
1,4,5114011.13716065,2201322.46953535
1,5,5191651.13716065,2179122.46953535
1,6,5190151.13716065,2093802.46953535
1,7,5181991.13716065,1993332.46953535
1,8,5194501.13716065,2174622.46953535
1,9,5221111.13716065,2017692.46953535
1,10,5128981.13716065,2187252.46953535
1,11,5132401.13716065,2202792.46953535
1,12,5232061.13716065,1998642.46953535
1,13,5131771.13716065,2167512.46953535
1,14,5205451.13716065,2046312.46953535
1,15,5194441.13716065,2050362.46953535
1,16,5156611.13716065,2127552.46953535
1,17,5127541.13716065,2035542.46953535
1,18,5165551.13716065,2078982.46953535
1,19,5142241.13716065,2087292.46953535
1,20,5171401.13716065,2066772.46953535
1,21,5189221.13716065,2099892.46953535
1,22,5175661.13716065,2005632.46953535
1,23,5213401.13716065,2034732.46953535
1,24,5145901.13716065,2176032.46953535
1,25,5167111.13716065,2098902.46953535
1,26,5221831.13716065,1967352.46953535
1,27,5194441.13716065,1922562.46953535
1,28,5175481.13716065,2143782.46953535
1,29,5178151.13716065,2127162.46953535
1,30,5152231.13716065,1965702.46953535
1,31,5197651.13716065,2104422.46953535
1,32,5220241.13716065,1997982.46953535
1,33,5207401.13716065,1967262.46953535
1,34,5127271.13716065,2073972.46953535
1,35,5114431.13716065,2179752.46953535
1,36,5125501.13716065,1962792.46953535
1,37,5169751.13716065,2165772.46953535
1,38,5197141.13716065,2045682.46953535
1,39,5161351.13716065,2031192.46953535
1,40,5157421.13716065,2124642.46953535
1,41,5196901.13716065,2100432.46953535
1,42,5194561.13716065,2017842.46953535
1,43,5207491.13716065,1940322.46953535
1,44,5169691.13716065,2169102.46953535
1,45,5171461.13716065,2160162.46953535
1,46,5203051.13716065,2091852.46953535
1,47,5107561.13716065,2197782.46953535
1,48,5127841.13716065,2170272.46953535
1,49,5187691.13716065,2112072.46953535
1,50,5234821.13716065,1994682.46953535
1,51,5176111.13716065,2084442.46953535
1,52,5138221.13716065,2188302.46953535
1,53,5195971.13716065,2163522.46953535
1,54,5197741.13716065,2090652.46953535
1,55,5182351.13716065,2012052.46953535
1,56,5188051.13716065,2092632.46953535
1,57,5158891.13716065,2100672.46953535
1,58,5166901.13716065,2082132.46953535
1,59,5120971.13716065,2216202.46953535
1,60,5119561.13716065,2076822.46953535
1,61,5194681.13716065,2083812.46953535
1,62,5183281.13716065,2053122.46953535
1,63,5167681.13716065,1987332.46953535
1,64,5167291.13716065,2063262.46953535
1,65,5143171.13716065,2191572.46953535
1,66,5143021.13716065,2181762.46953535
1,67,5169151.13716065,2115072.46953535
1,68,5145331.13716065,2166102.46953535
1,69,5175481.13716065,2054052.46953535
1,70,5172121.13716065,2054472.46953535
1,71,5120641.13716065,2040882.46953535
1,72,5167111.13716065,2119062.46953535
1,73,5184331.13716065,2155092.46953535
1,74,5216401.13716065,2046882.46953535
1,75,5180581.13716065,2037162.46953535
1,76,5142451.13716065,2132532.46953535
1,77,5118361.13716065,2208642.46953535
1,78,5104021.13716065,2149422.46953535
1,79,5187751.13716065,2018832.46953535
1,80,5163931.13716065,2091132.46953535
1,81,5213701.13716065,2021742.46953535
1,82,5195371.13716065,2061822.46953535
1,83,5146891.13716065,2088012.46953535
1,84,5194891.13716065,2000592.46953535
1,85,5151661.13716065,2068332.46953535
1,86,5220871.13716065,1994412.46953535
1,87,5158801.13716065,2078052.46953535
1,88,5126071.13716065,2195892.46953535
1,89,5162551.13716065,2121462.46953535
1,90,5164831.13716065,2068632.46953535
1,91,5153251.13716065,2121222.46953535
1,92,5133241.13716065,2101182.46953535
1,93,5167291.13716065,2132142.46953535
1,94,5212141.13716065,1987002.46953535
1,95,5124601.13716065,2172432.46953535
1,96,5142961.13716065,2048622.46953535
1,97,5154691.13716065,2187252.46953535
1,98,5155801.13716065,2123022.46953535
1,99,5140921.13716065,2147532.46953535
1,100,5197171.13716065,2068242.46953535
1,101,5246011.13716065,1998552.46953535
1,102,5152741.13716065,2191512.46953535
1,103,5182261.13716065,2096982.46953535
1,104,5128171.13716065,2060772.46953535
1,105,5159671.13716065,2070672.46953535
1,106,5137951.13716065,2166642.46953535
1,107,5172991.13716065,2158422.46953535
1,108,5160661.13716065,2160972.46953535
1,109,5125291.13716065,2145102.46953535
1,110,5196271.13716065,2119992.46953535
1,111,5213281.13716065,2013132.46953535
1,112,5251801.13716065,2004882.46953535
1,113,5180761.13716065,2179452.46953535
1,114,5184511.13716065,2121162.46953535
1,115,5202211.13716065,2075172.46953535
1,116,5191051.13716065,2093862.46953535
1,117,5137111.13716065,2068122.46953535
1,118,5158141.13716065,1961322.46953535
1,119,5218921.13716065,2017002.46953535
1,120,5138011.13716065,2000082.46953535
1,121,5199181.13716065,2008032.46953535
1,122,5221441.13716065,1969212.46953535
1,123,5144131.13716065,2171772.46953535
1,124,5181121.13716065,1964592.46953535
1,125,5190391.13716065,2179932.46953535
1,126,5124481.13716065,2088042.46953535
1,127,5191441.13716065,2125212.46953535
1,128,5162161.13716065,2174352.46953535
1,129,5155351.13716065,2205912.46953535
1,130,5239681.13716065,2003322.46953535
1,131,5173891.13716065,2031912.46953535
1,132,5101081.13716065,2132532.46953535
1,133,5110951.13716065,2170452.46953535
1,134,5100541.13716065,2131812.46953535
1,135,5219611.13716065,1954062.46953535
1,136,5155711.13716065,2062032.46953535
1,137,5168101.13716065,2113392.46953535
1,138,5191741.13716065,2168562.46953535
1,139,5182501.13716065,2031612.46953535
1,140,5187241.13716065,2184462.46953535
1,141,5157061.13716065,2136012.46953535
1,142,5153851.13716065,2153592.46953535
1,143,5175271.13716065,1987242.46953535
1,144,5121721.13716065,2144982.46953535
1,145,5212771.13716065,1992702.46953535
1,146,5113801.13716065,2000532.46953535
1,147,5223391.13716065,1991232.46953535
1,148,5208061.13716065,2069712.46953535
1,149,5148931.13716065,2183652.46953535
1,150,5193781.13716065,1917792.46953535
1,151,5148181.13716065,2110842.46953535
1,152,5173021.13716065,2145522.46953535
1,153,5157721.13716065,1993872.46953535
1,154,5135581.13716065,2109792.46953535
1,155,5154241.13716065,2048202.46953535
1,156,5253511.13716065,2005662.46953535
1,157,5116141.13716065,2053962.46953535
1,158,5176381.13716065,2098122.46953535
1,159,5203501.13716065,2096652.46953535
1,160,5173561.13716065,1951422.46953535
1,161,5184931.13716065,1965792.46953535
1,162,5209951.13716065,1984782.46953535
1,163,5161291.13716065,2189892.46953535
1,164,5175661.13716065,1945902.46953535
1,165,5145091.13716065,2122002.46953535
1,166,5192731.13716065,2077302.46953535
1,167,5208361.13716065,2051952.46953535
1,168,5187361.13716065,2134842.46953535
1,169,5195041.13716065,2094372.46953535
1,170,5183761.13716065,2143932.46953535
1,171,5147491.13716065,2184252.46953535
1,172,5134201.13716065,1958862.46953535
1,173,5188591.13716065,2051022.46953535
1,174,5148901.13716065,2006382.46953535
1,175,5185351.13716065,1968972.46953535
1,176,5167891.13716065,2139672.46953535
1,177,5142661.13716065,2200872.46953535
1,178,5204461.13716065,1978842.46953535
1,179,5187901.13716065,2102592.46953535
1,180,5210611.13716065,1918782.46953535
1,181,5137741.13716065,2134092.46953535
1,182,5198851.13716065,2042562.46953535
1,183,5128441.13716065,2140812.46953535
1,184,5178961.13716065,2059182.46953535
1,185,5189941.13716065,2135592.46953535
1,186,5175211.13716065,1937652.46953535
1,187,5209621.13716065,1987152.46953535
1,188,5197951.13716065,2089032.46953535
1,189,5194561.13716065,2028732.46953535
1,190,5166181.13716065,2012802.46953535
1,191,5159011.13716065,2095452.46953535
1,192,5230201.13716065,2028252.46953535
1,193,5185021.13716065,2081922.46953535
1,194,5143891.13716065,2089782.46953535
1,195,5139091.13716065,2170482.46953535
1,196,5182261.13716065,2154642.46953535
1,197,5130241.13716065,2076162.46953535
1,198,5162221.13716065,2134332.46953535
1,199,5229931.13716065,1985292.46953535
1,200,5151391.13716065,1973382.46953535
1,201,5133571.13716065,2180082.46953535
1,202,5118151.13716065,2211582.46953535
1,203,5178031.13716065,2018382.46953535
1,204,5135281.13716065,1960932.46953535
1,205,5156581.13716065,2157252.46953535
1,206,5160871.13716065,2156982.46953535
1,207,5120161.13716065,2101482.46953535
1,208,5197921.13716065,2024412.46953535
1,209,5145691.13716065,2061372.46953535
1,210,5178181.13716065,1953702.46953535
1,211,5151091.13716065,1990932.46953535
1,212,5174791.13716065,2151432.46953535
1,213,5163271.13716065,2071182.46953535
1,214,5194741.13716065,2026272.46953535
1,215,5189941.13716065,1953012.46953535
1,216,5137651.13716065,2173242.46953535
1,217,5188651.13716065,1983942.46953535
1,218,5158111.13716065,2157012.46953535
1,219,5124121.13716065,2199552.46953535
1,220,5203471.13716065,1920462.46953535
1,221,5191741.13716065,2171202.46953535
1,222,5155861.13716065,2044092.46953535
1,223,5239831.13716065,2039262.46953535
1,224,5164831.13716065,2106192.46953535
1,225,5195911.13716065,1917372.46953535
1,226,5132401.13716065,2139192.46953535
1,227,5194771.13716065,2088402.46953535
1,228,5127751.13716065,2152482.46953535
1,229,5127391.13716065,2004942.46953535
1,230,5135221.13716065,2045952.46953535
1,231,5156881.13716065,1999212.46953535
1,232,5170981.13716065,2065932.46953535
1,233,5107981.13716065,2170242.46953535
1,234,5195641.13716065,2117592.46953535
1,235,5202841.13716065,2043372.46953535
1,236,5163391.13716065,2079132.46953535
1,237,5212021.13716065,1957572.46953535
1,238,5178331.13716065,1966092.46953535
1,239,5169901.13716065,2110542.46953535
1,240,5177641.13716065,2103702.46953535
1,241,5125171.13716065,2003502.46953535
1,242,5155981.13716065,2165802.46953535
1,243,5144701.13716065,2169582.46953535
1,244,5141611.13716065,2052822.46953535
1,245,5188681.13716065,2030142.46953535
1,246,5156041.13716065,2073072.46953535
1,247,5221741.13716065,2008662.46953535
1,248,5169241.13716065,2113362.46953535
1,249,5156431.13716065,2034462.46953535
1,250,5193181.13716065,2015652.46953535
1,251,5153431.13716065,2044542.46953535
1,252,5174551.13716065,1945002.46953535
1,253,5175751.13716065,1979382.46953535
1,254,5157271.13716065,2122632.46953535
1,255,5197411.13716065,2055552.46953535
1,256,5127931.13716065,2187282.46953535
1,257,5163361.13716065,2062422.46953535
1,258,5155651.13716065,2155512.46953535
1,259,5170291.13716065,1962852.46953535
1,260,5137711.13716065,2113602.46953535
1,261,5160061.13716065,2102022.46953535
1,262,5158801.13716065,2060772.46953535
1,263,5115121.13716065,2174922.46953535
1,264,5158291.13716065,2202342.46953535
1,265,5213191.13716065,2010792.46953535
1,266,5211121.13716065,1957872.46953535
1,267,5164201.13716065,2103522.46953535
1,268,5131591.13716065,1977612.46953535
1,269,5164741.13716065,2078802.46953535
1,270,5159131.13716065,2138862.46953535
1,271,5159041.13716065,2158302.46953535
1,272,5183611.13716065,2042862.46953535
1,273,5178301.13716065,2067522.46953535
1,274,5211061.13716065,1923222.46953535
1,275,5193691.13716065,1927332.46953535
1,276,5162251.13716065,2203362.46953535
1,277,5152531.13716065,2187972.46953535
1,278,5176831.13716065,2049252.46953535
1,279,5152801.13716065,2002152.46953535
1,280,5124661.13716065,2175432.46953535
1,281,5135761.13716065,1988952.46953535
1,282,5192371.13716065,1922172.46953535
1,283,5226301.13716065,1971342.46953535
1,284,5217481.13716065,2038332.46953535
1,285,5177311.13716065,2158722.46953535
1,286,5231251.13716065,2003832.46953535
1,287,5139151.13716065,2054532.46953535
