project_id,plotid,x,y
4,1,3964461.21718873,3018857.84462311
4,2,3958701.21718873,3141077.84462311
4,3,4010061.21718873,2952227.84462311
4,4,3897381.21718873,3117077.84462311
4,5,4009041.21718873,3004937.84462311
4,6,4032681.21718873,3067277.84462311
4,7,3924921.21718873,3010067.84462311
4,8,4032171.21718873,3076847.84462311
4,9,3992691.21718873,3086237.84462311
4,10,3989211.21718873,3094457.84462311
4,11,3992901.21718873,2946557.84462311
4,12,3916371.21718873,3038807.84462311
4,13,3923061.21718873,3107207.84462311
4,14,3945651.21718873,3149327.84462311
4,15,3913971.21718873,3060677.84462311
4,16,4019661.21718873,3117707.84462311
4,17,3994701.21718873,3013127.84462311
4,18,3940041.21718873,3129677.84462311
4,19,4014081.21718873,2959817.84462311
4,20,4033341.21718873,3038927.84462311
4,21,4047351.21718873,3020507.84462311
4,22,3963771.21718873,3119927.84462311
4,23,4008351.21718873,3024137.84462311
4,24,4008051.21718873,3113657.84462311
4,25,4015371.21718873,3032417.84462311
4,26,3961551.21718873,3114377.84462311
4,27,3936621.21718873,3119597.84462311
4,28,3979071.21718873,3028487.84462311
4,29,3916671.21718873,3000887.84462311
4,30,3973221.21718873,2993627.84462311
4,31,3967221.21718873,2982347.84462311
4,32,3935751.21718873,3150737.84462311
4,33,3962151.21718873,3163427.84462311
4,34,3931311.21718873,3017417.84462311
4,35,4009371.21718873,2989307.84462311
4,36,4014621.21718873,3119327.84462311
4,37,4046601.21718873,3072407.84462311
4,38,3938901.21718873,3005057.84462311
4,39,4009161.21718873,2981747.84462311
4,40,4001421.21718873,3099707.84462311
4,41,4011561.21718873,2994137.84462311
4,42,4013541.21718873,3046757.84462311
4,43,4020531.21718873,3018467.84462311
4,44,3957021.21718873,3001997.84462311
4,45,3970521.21718873,2977787.84462311
4,46,4008381.21718873,3106037.84462311
4,47,4046991.21718873,3062447.84462311
4,48,3858711.21718873,3077567.84462311
4,49,3938721.21718873,3121097.84462311
4,50,3989271.21718873,2973707.84462311
4,51,3988371.21718873,2990537.84462311
4,52,4006401.21718873,2975747.84462311
4,53,3919311.21718873,3010127.84462311
4,54,3968781.21718873,2981147.84462311
4,55,3927321.21718873,3012887.84462311
4,56,3927591.21718873,3081737.84462311
4,57,3980271.21718873,2979857.84462311
4,58,3971811.21718873,2975567.84462311
4,59,4002771.21718873,2954237.84462311
4,60,4014471.21718873,3033407.84462311
4,61,3914451.21718873,3052097.84462311
4,62,4018731.21718873,3026297.84462311
4,63,4012341.21718873,2959457.84462311
4,64,3913701.21718873,3014507.84462311
4,65,3964821.21718873,2982587.84462311
4,66,3953751.21718873,3008537.84462311
4,67,3996231.21718873,2998247.84462311
4,68,3989391.21718873,2994947.84462311
4,69,3912321.21718873,3016337.84462311
4,70,3946311.21718873,3156677.84462311
4,71,3947841.21718873,3050567.84462311
4,72,3955281.21718873,2983427.84462311
4,73,3943551.21718873,3026597.84462311
4,74,4001691.21718873,2982767.84462311
4,75,3956601.21718873,3106067.84462311
4,76,3935061.21718873,3149177.84462311
4,77,3968811.21718873,2986787.84462311
4,78,3991251.21718873,3087137.84462311
4,79,4026351.21718873,3029117.84462311
4,80,3983691.21718873,3104867.84462311
4,81,3975561.21718873,2968247.84462311
4,82,4054791.21718873,3044057.84462311
4,83,3983661.21718873,3012527.84462311
4,84,3978561.21718873,3126647.84462311
4,85,3927921.21718873,3125387.84462311
4,86,4010691.21718873,3076727.84462311
4,87,4008201.21718873,3105887.84462311
4,88,3965211.21718873,3121757.84462311
4,89,3957531.21718873,3048647.84462311
4,90,3958191.21718873,3042977.84462311
4,91,4032951.21718873,3042857.84462311
4,92,3970281.21718873,3005717.84462311
4,93,3956961.21718873,3035327.84462311
4,94,3949341.21718873,3147137.84462311
4,95,3950841.21718873,3102107.84462311
4,96,3933081.21718873,3073487.84462311
4,97,3882351.21718873,3060797.84462311
4,98,3975111.21718873,3055727.84462311
4,99,3954111.21718873,2998187.84462311
4,100,3975831.21718873,3016877.84462311
4,101,4033761.21718873,3039467.84462311
4,102,3951801.21718873,3021047.84462311
4,103,3954471.21718873,2977097.84462311
4,104,3848061.21718873,3103517.84462311
4,105,4025511.21718873,3009227.84462311
4,106,4023651.21718873,3022307.84462311
4,107,3992361.21718873,3089837.84462311
4,108,3994911.21718873,3119657.84462311
4,109,3920991.21718873,3100157.84462311
