project_id,plotid,x,y
6,1,5444184.24724638,2354111.69586083
6,2,5352144.24724638,2233991.69586083
6,3,5599734.24724638,2342501.69586083
6,4,5640834.24724638,2331851.69586083
6,5,5661564.24724638,2346191.69586083
6,6,5493864.24724638,2191421.69586083
6,7,5544984.24724638,2220971.69586083
6,8,5680164.24724638,2378771.69586083
6,9,5370744.24724638,2229431.69586083
6,10,5486154.24724638,2150471.69586083
6,11,5496234.24724638,2319071.69586083
6,12,5644194.24724638,2209181.69586083
6,13,5490744.24724638,2270291.69586083
6,14,5644254.24724638,2346701.69586083
6,15,5686944.24724638,2476931.69586083
6,16,5565084.24724638,2317451.69586083
6,17,5399304.24724638,2212121.69586083
6,18,5607954.24724638,2172671.69586083
6,19,5758884.24724638,2311661.69586083
6,20,5406414.24724638,2140301.69586083
6,21,5660004.24724638,2377961.69586083
6,22,5383224.24724638,2331251.69586083
6,23,5353224.24724638,2353961.69586083
6,24,5549124.24724638,2198201.69586083
6,25,5414214.24724638,2185931.69586083
6,26,5445894.24724638,2228111.69586083
6,27,5409624.24724638,2305211.69586083
6,28,5591814.24724638,2155271.69586083
6,29,5443794.24724638,2146241.69586083
6,30,5497584.24724638,2370041.69586083
6,31,5568144.24724638,2289611.69586083
6,32,5446014.24724638,2157401.69586083
6,33,5453724.24724638,2348141.69586083
6,34,5431194.24724638,2233721.69586083
6,35,5620974.24724638,2374631.69586083
6,36,5413464.24724638,2259641.69586083
6,37,5713704.24724638,2259011.69586083
6,38,5603934.24724638,2341241.69586083
6,39,5662494.24724638,2248151.69586083
6,40,5567574.24724638,2326481.69586083
6,41,5354214.24724638,2264801.69586083
6,42,5475264.24724638,2256761.69586083
6,43,5648184.24724638,2351381.69586083
6,44,5465154.24724638,2154161.69586083
6,45,5522304.24724638,2319071.69586083
6,46,5552724.24724638,2352311.69586083
6,47,5702004.24724638,2255411.69586083
6,48,5412984.24724638,2209061.69586083
6,49,5491524.24724638,2341241.69586083
6,50,5757864.24724638,2277821.69586083
6,51,5365314.24724638,2247131.69586083
6,52,5408334.24724638,2234801.69586083
6,53,5551764.24724638,2189411.69586083
6,54,5590944.24724638,2279591.69586083
6,55,5518374.24724638,2178971.69586083
6,56,5651214.24724638,2347181.69586083
6,57,5573094.24724638,2182391.69586083
6,58,5641194.24724638,2438261.69586083
6,59,5384364.24724638,2213711.69586083
6,60,5502414.24724638,2181161.69586083
6,61,5490564.24724638,2211041.69586083
6,62,5647314.24724638,2193131.69586083
6,63,5410974.24724638,2221271.69586083
6,64,5498814.24724638,2300951.69586083
6,65,5458074.24724638,2254241.69586083
6,66,5780964.24724638,2275961.69586083
6,67,5416584.24724638,2120531.69586083
6,68,5540964.24724638,2209091.69586083
6,69,5694084.24724638,2275211.69586083
6,70,5342844.24724638,2247341.69586083
6,71,5748474.24724638,2404181.69586083
6,72,5584884.24724638,2337461.69586083
6,73,5634774.24724638,2455481.69586083
6,74,5485524.24724638,2260631.69586083
6,75,5653884.24724638,2198111.69586083
6,76,5445594.24724638,2265341.69586083
6,77,5543964.24724638,2183471.69586083
6,78,5510784.24724638,2279771.69586083
6,79,5773314.24724638,2429801.69586083
6,80,5409714.24724638,2124911.69586083
6,81,5690544.24724638,2434721.69586083
6,82,5600394.24724638,2329211.69586083
6,83,5451594.24724638,2146931.69586083
6,84,5370174.24724638,2250431.69586083
6,85,5408904.24724638,2289641.69586083
6,86,5565864.24724638,2159351.69586083
6,87,5732544.24724638,2278601.69586083
6,88,5406624.24724638,2177561.69586083
6,89,5512044.24724638,2229551.69586083
6,90,5736204.24724638,2362601.69586083
6,91,5707494.24724638,2432651.69586083
6,92,5390514.24724638,2207891.69586083
6,93,5577234.24724638,2188541.69586083
6,94,5592834.24724638,2385671.69586083
6,95,5604594.24724638,2153111.69586083
6,96,5522454.24724638,2288651.69586083
6,97,5437614.24724638,2233841.69586083
6,98,5651274.24724638,2246231.69586083
6,99,5417484.24724638,2360471.69586083
6,100,5415264.24724638,2131691.69586083
6,101,5675274.24724638,2215331.69586083
6,102,5459334.24724638,2343251.69586083
6,103,5565444.24724638,2207171.69586083
6,104,5565564.24724638,2177231.69586083
6,105,5560464.24724638,2160821.69586083
6,106,5582034.24724638,2171831.69586083
6,107,5492814.24724638,2308211.69586083
6,108,5428434.24724638,2336291.69586083
6,109,5489514.24724638,2353481.69586083
6,110,5404194.24724638,2220161.69586083
6,111,5639484.24724638,2326301.69586083
6,112,5497884.24724638,2287121.69586083
6,113,5606364.24724638,2181671.69586083
6,114,5582334.24724638,2326421.69586083
6,115,5761254.24724638,2265011.69586083
6,116,5630994.24724638,2357471.69586083
6,117,5513544.24724638,2283221.69586083
6,118,5476434.24724638,2316191.69586083
6,119,5624424.24724638,2320121.69586083
6,120,5355654.24724638,2383541.69586083
6,121,5377344.24724638,2348771.69586083
6,122,5709684.24724638,2391791.69586083
6,123,5424564.24724638,2177891.69586083
6,124,5720334.24724638,2279201.69586083
6,125,5467674.24724638,2177771.69586083
6,126,5604024.24724638,2205881.69586083
6,127,5628054.24724638,2191511.69586083
6,128,5425584.24724638,2230301.69586083
6,129,5624214.24724638,2406101.69586083
6,130,5589714.24724638,2280131.69586083
6,131,5606124.24724638,2241161.69586083
6,132,5476464.24724638,2256311.69586083
6,133,5517324.24724638,2319881.69586083
6,134,5769414.24724638,2268131.69586083
6,135,5404074.24724638,2295401.69586083
6,136,5780694.24724638,2280071.69586083
6,137,5471004.24724638,2397011.69586083
6,138,5351814.24724638,2280011.69586083
6,139,5361564.24724638,2246951.69586083
6,140,5612904.24724638,2335181.69586083
6,141,5644374.24724638,2339351.69586083
6,142,5415024.24724638,2184371.69586083
6,143,5638914.24724638,2391611.69586083
6,144,5695434.24724638,2368091.69586083
6,145,5669784.24724638,2325551.69586083
6,146,5539134.24724638,2312951.69586083
6,147,5726664.24724638,2373461.69586083
6,148,5585904.24724638,2289461.69586083
6,149,5490384.24724638,2298371.69586083
6,150,5458164.24724638,2312171.69586083
6,151,5453694.24724638,2179451.69586083
6,152,5429064.24724638,2245271.69586083
6,153,5453154.24724638,2266871.69586083
6,154,5372874.24724638,2298821.69586083
6,155,5511174.24724638,2274281.69586083
6,156,5474034.24724638,2322011.69586083
6,157,5645154.24724638,2468561.69586083
6,158,5687694.24724638,2471561.69586083
6,159,5766504.24724638,2309681.69586083
6,160,5485854.24724638,2344211.69586083
6,161,5469384.24724638,2251781.69586083
6,162,5783184.24724638,2279171.69586083
6,163,5395704.24724638,2272781.69586083
6,164,5435184.24724638,2148221.69586083
6,165,5460324.24724638,2255891.69586083
6,166,5677014.24724638,2388281.69586083
6,167,5447634.24724638,2246531.69586083
6,168,5672664.24724638,2350091.69586083
6,169,5467974.24724638,2220881.69586083
6,170,5498184.24724638,2161181.69586083
6,171,5434164.24724638,2178791.69586083
6,172,5612994.24724638,2214491.69586083
6,173,5458764.24724638,2165261.69586083
6,174,5483664.24724638,2186381.69586083
6,175,5495694.24724638,2322671.69586083
6,176,5349594.24724638,2283461.69586083
6,177,5550204.24724638,2293121.69586083
6,178,5531004.24724638,2207681.69586083
6,179,5370444.24724638,2237621.69586083
6,180,5567004.24724638,2206781.69586083
6,181,5466594.24724638,2166371.69586083
6,182,5674284.24724638,2338151.69586083
6,183,5414574.24724638,2310671.69586083
6,184,5646714.24724638,2348561.69586083
6,185,5696214.24724638,2468171.69586083
6,186,5355834.24724638,2201651.69586083
6,187,5544804.24724638,2280581.69586083
6,188,5329674.24724638,2355851.69586083
6,189,5426844.24724638,2130221.69586083
6,190,5643594.24724638,2227481.69586083
6,191,5357634.24724638,2247851.69586083
6,192,5769294.24724638,2269001.69586083
6,193,5605854.24724638,2342201.69586083
6,194,5352684.24724638,2379041.69586083
6,195,5401524.24724638,2315561.69586083
6,196,5610324.24724638,2187431.69586083
6,197,5402514.24724638,2319521.69586083
6,198,5407884.24724638,2168261.69586083
6,199,5739564.24724638,2368871.69586083
6,200,5644284.24724638,2317481.69586083
6,201,5425524.24724638,2242241.69586083
6,202,5352834.24724638,2257151.69586083
6,203,5399094.24724638,2298731.69586083
6,204,5614494.24724638,2292851.69586083
6,205,5353614.24724638,2260241.69586083
6,206,5735634.24724638,2280521.69586083
6,207,5624334.24724638,2208401.69586083
6,208,5693184.24724638,2359211.69586083
6,209,5556864.24724638,2273231.69586083
6,210,5554704.24724638,2180261.69586083
6,211,5799684.24724638,2277491.69586083
6,212,5498814.24724638,2344571.69586083
6,213,5395464.24724638,2298371.69586083
6,214,5605104.24724638,2361011.69586083
6,215,5532234.24724638,2298011.69586083
6,216,5370894.24724638,2241581.69586083
6,217,5448684.24724638,2159111.69586083
6,218,5534604.24724638,2165291.69586083
6,219,5542464.24724638,2341661.69586083
6,220,5356224.24724638,2271431.69586083
6,221,5371764.24724638,2264081.69586083
6,222,5388534.24724638,2261321.69586083
6,223,5742354.24724638,2409851.69586083
6,224,5451654.24724638,2186201.69586083
6,225,5470614.24724638,2370041.69586083
6,226,5402124.24724638,2338511.69586083
6,227,5634324.24724638,2241011.69586083
6,228,5713584.24724638,2290871.69586083
6,229,5504604.24724638,2349971.69586083
6,230,5639094.24724638,2188541.69586083
6,231,5592834.24724638,2320691.69586083
6,232,5717244.24724638,2356211.69586083
6,233,5472354.24724638,2277041.69586083
6,234,5759814.24724638,2427971.69586083
6,235,5734734.24724638,2350151.69586083
6,236,5448054.24724638,2199911.69586083
6,237,5502744.24724638,2287421.69586083
6,238,5540244.24724638,2373671.69586083
6,239,5440074.24724638,2242601.69586083
6,240,5719854.24724638,2369951.69586083
6,241,5573784.24724638,2341571.69586083
6,242,5398014.24724638,2188931.69586083
6,243,5419104.24724638,2198291.69586083
6,244,5744124.24724638,2293001.69586083
6,245,5537274.24724638,2293031.69586083
6,246,5433234.24724638,2224421.69586083
6,247,5377554.24724638,2283791.69586083
6,248,5635884.24724638,2353571.69586083
6,249,5680644.24724638,2276081.69586083
6,250,5438244.24724638,2206541.69586083
6,251,5454504.24724638,2191001.69586083
6,252,5403684.24724638,2139701.69586083
6,253,5576724.24724638,2221241.69586083
6,254,5413134.24724638,2139911.69586083
6,255,5475534.24724638,2149631.69586083
6,256,5734974.24724638,2473211.69586083
6,257,5455494.24724638,2139341.69586083
6,258,5463114.24724638,2262941.69586083
6,259,5472324.24724638,2182181.69586083
6,260,5515674.24724638,2397701.69586083
6,261,5386884.24724638,2307131.69586083
6,262,5543364.24724638,2199881.69586083
6,263,5413524.24724638,2147501.69586083
6,264,5502354.24724638,2160731.69586083
6,265,5364174.24724638,2291141.69586083
6,266,5485494.24724638,2279021.69586083
6,267,5643114.24724638,2338721.69586083
6,268,5569824.24724638,2176331.69586083
6,269,5377584.24724638,2216231.69586083
6,270,5423514.24724638,2170121.69586083
6,271,5499444.24724638,2268191.69586083
6,272,5631324.24724638,2179901.69586083
6,273,5359164.24724638,2258501.69586083
6,274,5494644.24724638,2328281.69586083
