project_id,plotid,x,y
7,1,4675853.41699781,2447901.79413322
7,2,4661843.41699781,2489841.79413322
7,3,4918463.41699781,2513061.79413322
7,4,4706543.41699781,2493501.79413322
7,5,5052773.41699781,2497671.79413322
7,6,4703243.41699781,2479551.79413322
7,7,4743173.41699781,2442051.79413322
7,8,4952723.41699781,2512611.79413322
7,9,4772663.41699781,2478141.79413322
7,10,4744493.41699781,2429481.79413322
7,11,4849403.41699781,2531451.79413322
7,12,4649033.41699781,2482461.79413322
7,13,4774193.41699781,2563941.79413322
7,14,4716173.41699781,2430291.79413322
7,15,4858073.41699781,2303631.79413322
7,16,4624763.41699781,2486361.79413322
7,17,4805153.41699781,2512821.79413322
7,18,4635383.41699781,2450361.79413322
7,19,4821623.41699781,2458101.79413322
7,20,4742183.41699781,2506191.79413322
7,21,4754003.41699781,2489301.79413322
7,22,4787753.41699781,2493591.79413322
7,23,4693493.41699781,2478051.79413322
7,24,4956263.41699781,2514921.79413322
7,25,4770893.41699781,2542071.79413322
7,26,4656563.41699781,2496261.79413322
7,27,4768763.41699781,2450511.79413322
7,28,4794113.41699781,2504901.79413322
7,29,4676363.41699781,2502021.79413322
7,30,4814363.41699781,2487471.79413322
7,31,4817003.41699781,2348331.79413322
7,32,4838063.41699781,2573781.79413322
7,33,5018813.41699781,2507931.79413322
7,34,4759283.41699781,2398131.79413322
7,35,4765853.41699781,2349501.79413322
7,36,4631813.41699781,2473041.79413322
7,37,4825103.41699781,2494611.79413322
7,38,4813313.41699781,2362161.79413322
7,39,4964213.41699781,2492841.79413322
7,40,4764473.41699781,2384601.79413322
7,41,4812683.41699781,2564301.79413322
7,42,4811573.41699781,2479911.79413322
7,43,4891913.41699781,2541111.79413322
7,44,4828973.41699781,2486091.79413322
7,45,4693193.41699781,2472171.79413322
7,46,4757843.41699781,2458941.79413322
7,47,4885073.41699781,2532351.79413322
7,48,4896293.41699781,2508651.79413322
7,49,4730393.41699781,2412591.79413322
7,50,4791743.41699781,2375961.79413322
7,51,4836833.41699781,2320191.79413322
7,52,4916963.41699781,2537061.79413322
7,53,4732583.41699781,2483661.79413322
7,54,4768973.41699781,2533161.79413322
7,55,4730873.41699781,2486631.79413322
7,56,4751213.41699781,2475711.79413322
7,57,4873343.41699781,2560281.79413322
7,58,4762343.41699781,2396301.79413322
7,59,4755833.41699781,2424861.79413322
7,60,4905503.41699781,2262081.79413322
7,61,4780163.41699781,2504871.79413322
7,62,4829333.41699781,2532081.79413322
7,63,4831313.41699781,2487201.79413322
7,64,4764263.41699781,2406051.79413322
7,65,4789163.41699781,2413311.79413322
7,66,5021633.41699781,2465691.79413322
7,67,4832933.41699781,2542251.79413322
7,68,4849163.41699781,2532471.79413322
7,69,4759853.41699781,2461281.79413322
7,70,4851563.41699781,2489481.79413322
7,71,4964573.41699781,2499591.79413322
7,72,4713923.41699781,2412681.79413322
7,73,4913993.41699781,2481681.79413322
7,74,4944383.41699781,2487411.79413322
7,75,4801343.41699781,2481561.79413322
7,76,4849553.41699781,2518161.79413322
7,77,4652093.41699781,2465181.79413322
7,78,4806773.41699781,2522781.79413322
7,79,4775393.41699781,2544141.79413322
7,80,4860173.41699781,2516001.79413322
7,81,4652783.41699781,2477931.79413322
7,82,4899923.41699781,2273331.79413322
7,83,4809293.41699781,2568891.79413322
7,84,4738883.41699781,2491611.79413322
7,85,4975493.41699781,2531601.79413322
7,86,4803923.41699781,2591631.79413322
7,87,4827293.41699781,2559681.79413322
7,88,4766933.41699781,2516661.79413322
7,89,4718543.41699781,2488521.79413322
