project_id,plotid,x,y
12,1,3658212.6302073,2404254.56245563
12,2,3811272.6302073,2380974.56245563
12,3,4081182.6302073,2799474.56245563
12,4,4091082.6302073,2800104.56245563
12,5,4101282.6302073,2743884.56245563
12,6,4018752.6302073,2528664.56245563
12,7,3548382.6302073,2336244.56245563
12,8,3449862.6302073,2465214.56245563
12,9,3851322.6302073,2873394.56245563
12,10,3852252.6302073,2588934.56245563
12,11,3862572.6302073,2372874.56245563
12,12,3972462.6302073,2621934.56245563
12,13,3737022.6302073,2178114.56245563
12,14,3643722.6302073,2644404.56245563
12,15,4231062.6302073,2071764.56245563
12,16,3438792.6302073,2473434.56245563
12,17,3759612.6302073,2772744.56245563
12,18,3962892.6302073,2556384.56245563
12,19,3572952.6302073,2837064.56245563
12,20,3992172.6302073,2628264.56245563
12,21,3671832.6302073,2323164.56245563
12,22,4042092.6302073,2373444.56245563
12,23,4051332.6302073,2323314.56245563
12,24,3702972.6302073,2580084.56245563
12,25,3972012.6302073,2578014.56245563
12,26,3955362.6302073,2445834.56245563
12,27,3725532.6302073,2859654.56245563
12,28,3483222.6302073,2275824.56245563
12,29,3474042.6302073,2366934.56245563
12,30,3843372.6302073,2544714.56245563
12,31,3696132.6302073,2351454.56245563
12,32,3876402.6302073,2657784.56245563
12,33,3380052.6302073,2326164.56245563
12,34,3850362.6302073,2495484.56245563
12,35,3609732.6302073,2504454.56245563
12,36,3834252.6302073,2317074.56245563
12,37,3763122.6302073,2302404.56245563
12,38,4043442.6302073,2781024.56245563
12,39,3736152.6302073,2328054.56245563
12,40,3937632.6302073,2764974.56245563
12,41,3957372.6302073,2799624.56245563
12,42,3800592.6302073,2871324.56245563
12,43,3980952.6302073,2436294.56245563
12,44,3539292.6302073,2956254.56245563
12,45,3878862.6302073,2354694.56245563
12,46,3688332.6302073,2995884.56245563
12,47,3601092.6302073,2735394.56245563
12,48,3515262.6302073,2581494.56245563
12,49,4219422.6302073,2106594.56245563
12,50,4041012.6302073,2525964.56245563
12,51,3592872.6302073,2463414.56245563
12,52,3735132.6302073,2600184.56245563
12,53,3743382.6302073,2742624.56245563
12,54,4029102.6302073,2682114.56245563
12,55,3938802.6302073,2781474.56245563
12,56,4032402.6302073,2351724.56245563
12,57,3833532.6302073,2476734.56245563
12,58,3813912.6302073,2804964.56245563
12,59,3870852.6302073,2761794.56245563
12,60,3799812.6302073,2693214.56245563
12,61,3695892.6302073,2488224.56245563
12,62,3833262.6302073,2330844.56245563
12,63,4085412.6302073,2708424.56245563
12,64,3921882.6302073,2339514.56245563
12,65,3731112.6302073,2346564.56245563
