project_id,plotid,x,y
14,1,5369506.28394313,1815380.12494945
14,2,5316826.28394313,1835390.12494945
14,3,5265706.28394313,2026880.12494945
14,4,5219296.28394313,1938320.12494945
14,5,5249866.28394313,1842260.12494945
14,6,5244406.28394313,1925450.12494945
14,7,5431306.28394313,1644740.12494945
14,8,5520646.28394313,2151200.12494945
14,9,5260006.28394313,1944320.12494945
14,10,5607196.28394313,2148380.12494945
14,11,5339116.28394313,1964960.12494945
14,12,5458426.28394313,2031500.12494945
14,13,5399416.28394313,1690280.12494945
14,14,5560516.28394313,1487120.12494945
14,15,5397046.28394313,1796300.12494945
14,16,5266906.28394313,1942280.12494945
14,17,5498266.28394313,1837340.12494945
14,18,5399206.28394313,2093660.12494945
14,19,5428396.28394313,1885370.12494945
14,20,5492476.28394313,2028200.12494945
14,21,5404426.28394313,1859870.12494945
14,22,5465506.28394313,1885700.12494945
14,23,5536426.28394313,2110460.12494945
14,24,5620576.28394313,1488380.12494945
14,25,5283046.28394313,1915160.12494945
14,26,5490376.28394313,1846670.12494945
14,27,5379706.28394313,1802450.12494945
14,28,5671516.28394313,2104370.12494945
14,29,5294506.28394313,1846850.12494945
14,30,5222356.28394313,1919390.12494945
14,31,5429656.28394313,2081870.12494945
14,32,5266396.28394313,1889210.12494945
14,33,5329486.28394313,2072480.12494945
14,34,5484676.28394313,2045900.12494945
14,35,5937796.28394313,1670030.12494945
14,36,5214466.28394313,1944800.12494945
14,37,5329906.28394313,1857050.12494945
14,38,5374426.28394313,1747700.12494945
14,39,5372626.28394313,2018570.12494945
14,40,5482006.28394313,1756940.12494945
14,41,5457736.28394313,1896800.12494945
14,42,5408266.28394313,1878530.12494945
14,43,5376166.28394313,1977020.12494945
14,44,5464936.28394313,2071850.12494945
14,45,5319646.28394313,1897130.12494945
14,46,5298106.28394313,1974230.12494945
14,47,5257696.28394313,1991870.12494945
14,48,5514916.28394313,2152760.12494945
14,49,5467786.28394313,2034080.12494945
14,50,5387956.28394313,2055440.12494945
14,51,5308456.28394313,1792340.12494945
14,52,5212726.28394313,1899260.12494945
14,53,5414026.28394313,1755140.12494945
14,54,5313496.28394313,1856030.12494945
14,55,5268976.28394313,1891730.12494945
14,56,5400166.28394313,2095820.12494945
14,57,5369416.28394313,1995200.12494945
14,58,5365756.28394313,2029190.12494945
14,59,5543446.28394313,2140820.12494945
14,60,5478226.28394313,2020550.12494945
14,61,5654716.28394313,1481900.12494945
14,62,5407816.28394313,2069240.12494945
14,63,5439676.28394313,2128670.12494945
14,64,5237506.28394313,1928330.12494945
14,65,5501326.28394313,2089610.12494945
14,66,5530726.28394313,2105150.12494945
14,67,5344876.28394313,1879370.12494945
14,68,5268166.28394313,1914620.12494945
14,69,5235526.28394313,1929020.12494945
14,70,5377816.28394313,1802360.12494945
14,71,5300626.28394313,1895000.12494945
14,72,5366206.28394313,1984310.12494945
14,73,5365696.28394313,1821440.12494945
14,74,5448376.28394313,1834430.12494945
14,75,5274286.28394313,2025770.12494945
14,76,5504146.28394313,2156750.12494945
14,77,5674186.28394313,2105840.12494945
14,78,5673406.28394313,2163350.12494945
14,79,5509816.28394313,2140550.12494945
14,80,5341726.28394313,1874810.12494945
14,81,5364046.28394313,1836950.12494945
14,82,5315386.28394313,1851620.12494945
14,83,5453776.28394313,2074970.12494945
14,84,5214736.28394313,1906340.12494945
14,85,5376076.28394313,1855100.12494945
14,86,5513716.28394313,2093720.12494945
14,87,5399446.28394313,1858160.12494945
14,88,5283286.28394313,2028560.12494945
14,89,5376616.28394313,1951820.12494945
14,90,5334316.28394313,1872320.12494945
14,91,5667106.28394313,2153060.12494945
14,92,5246446.28394313,1801670.12494945
14,93,5412046.28394313,1859870.12494945
14,94,5360746.28394313,1683410.12494945
14,95,5303776.28394313,1907840.12494945
14,96,5545246.28394313,2152490.12494945
14,97,5375896.28394313,1998500.12494945
14,98,5372416.28394313,1647320.12494945
14,99,5655226.28394313,1477700.12494945
14,100,5529526.28394313,2155670.12494945
14,101,5310076.28394313,1870940.12494945
14,102,5402176.28394313,1814390.12494945
14,103,5457766.28394313,1897430.12494945
14,104,5326426.28394313,1831430.12494945
14,105,5333566.28394313,1717310.12494945
14,106,5345266.28394313,2017070.12494945
14,107,5383726.28394313,1807580.12494945
14,108,5423986.28394313,2040890.12494945
14,109,5434366.28394313,2088620.12494945
14,110,5304466.28394313,1882220.12494945
14,111,5347936.28394313,1923230.12494945
14,112,5265586.28394313,1957370.12494945
14,113,5346436.28394313,2087450.12494945
14,114,5721436.28394313,1958930.12494945
14,115,5454196.28394313,2075330.12494945
14,116,5294116.28394313,1919360.12494945
14,117,5273686.28394313,1937870.12494945
14,118,5323756.28394313,2072870.12494945
14,119,5927506.28394313,1626650.12494945
14,120,5309776.28394313,1951250.12494945
14,121,5238076.28394313,1959710.12494945
14,122,5296606.28394313,1871870.12494945
14,123,5446486.28394313,1790720.12494945
14,124,5934046.28394313,1645940.12494945
14,125,5330716.28394313,2021540.12494945
14,126,5464996.28394313,1888490.12494945
14,127,5224786.28394313,1904300.12494945
14,128,5431006.28394313,1862360.12494945
14,129,5483026.28394313,1604510.12494945
14,130,5363716.28394313,1713680.12494945
14,131,5512456.28394313,2141900.12494945
14,132,5325046.28394313,1845470.12494945
14,133,5375506.28394313,1982990.12494945
14,134,5258986.28394313,1744790.12494945
14,135,5335156.28394313,2080550.12494945
14,136,5742766.28394313,1925840.12494945
14,137,5310376.28394313,1896830.12494945
14,138,5207026.28394313,1904990.12494945
14,139,5440336.28394313,1664300.12494945
14,140,5259976.28394313,1944410.12494945
14,141,5657566.28394313,2203970.12494945
14,142,5222806.28394313,1873190.12494945
14,143,5291626.28394313,1812650.12494945
14,144,5596366.28394313,2136710.12494945
14,145,5348176.28394313,2071070.12494945
14,146,5364976.28394313,1826660.12494945
14,147,5256016.28394313,1965200.12494945
14,148,5253586.28394313,1924520.12494945
14,149,5291686.28394313,1909850.12494945
14,150,5434876.28394313,1675160.12494945
14,151,5285356.28394313,1845890.12494945
14,152,5927956.28394313,1638440.12494945
14,153,5321656.28394313,1811870.12494945
14,154,5342626.28394313,2063780.12494945
14,155,5422126.28394313,1926950.12494945
14,156,5574856.28394313,2143790.12494945
14,157,5351506.28394313,2007980.12494945
14,158,5370046.28394313,1654310.12494945
14,159,5568406.28394313,2143820.12494945
14,160,5387686.28394313,1732460.12494945
14,161,5338186.28394313,1875290.12494945
14,162,5498116.28394313,1844210.12494945
14,163,5466526.28394313,2047760.12494945
14,164,5516116.28394313,2078450.12494945
14,165,5339746.28394313,1730600.12494945
14,166,5527666.28394313,1841810.12494945
14,167,5460526.28394313,1898780.12494945
14,168,5461006.28394313,1895630.12494945
14,169,5495506.28394313,2098700.12494945
14,170,5338996.28394313,1891070.12494945
14,171,5338006.28394313,1778450.12494945
14,172,5354356.28394313,1811330.12494945
14,173,5338156.28394313,2079620.12494945
14,174,5419426.28394313,1675310.12494945
14,175,5279866.28394313,1997210.12494945
14,176,5265466.28394313,1941020.12494945
14,177,5297116.28394313,2028740.12494945
14,178,5376286.28394313,2015690.12494945
14,179,5372596.28394313,1805930.12494945
14,180,5394376.28394313,2041160.12494945
14,181,5360836.28394313,1635500.12494945
14,182,5510056.28394313,2131430.12494945
14,183,5290786.28394313,1953350.12494945
14,184,5482126.28394313,2036870.12494945
14,185,5470156.28394313,2059250.12494945
14,186,5492836.28394313,1836560.12494945
14,187,5293846.28394313,1922300.12494945
14,188,5321746.28394313,1790450.12494945
14,189,5468236.28394313,2108150.12494945
14,190,5470876.28394313,1734170.12494945
14,191,5662636.28394313,2127350.12494945
14,192,5551156.28394313,1842200.12494945
14,193,5730886.28394313,1936100.12494945
14,194,5306326.28394313,1914770.12494945
14,195,5645956.28394313,2149940.12494945
14,196,5500216.28394313,2075180.12494945
14,197,5361916.28394313,1748930.12494945
14,198,5312206.28394313,1790630.12494945
14,199,5256256.28394313,1973120.12494945
14,200,5403136.28394313,1661840.12494945
14,201,5704786.28394313,1493330.12494945
14,202,5494216.28394313,1998710.12494945
14,203,5531446.28394313,2155400.12494945
14,204,5539576.28394313,2138780.12494945
14,205,5464036.28394313,2028590.12494945
14,206,5344816.28394313,1995740.12494945
14,207,5512366.28394313,2142560.12494945
14,208,5231116.28394313,1863140.12494945
14,209,5375236.28394313,1789760.12494945
14,210,5359276.28394313,1801670.12494945
14,211,5399266.28394313,1872440.12494945
14,212,5485996.28394313,1776560.12494945
14,213,5490736.28394313,1793780.12494945
14,214,5366896.28394313,2018870.12494945
14,215,5374066.28394313,1838300.12494945
14,216,5469976.28394313,2134460.12494945
14,217,5497066.28394313,1773740.12494945
14,218,5471626.28394313,1752440.12494945
14,219,5465266.28394313,1860860.12494945
14,220,5554456.28394313,2145500.12494945
14,221,5485456.28394313,2035040.12494945
14,222,5358406.28394313,2058980.12494945
14,223,5475076.28394313,2032310.12494945
14,224,5416006.28394313,1737860.12494945
14,225,5331166.28394313,2069570.12494945
14,226,5433676.28394313,1829180.12494945
14,227,5260756.28394313,2029910.12494945
14,228,5661916.28394313,2159750.12494945
14,229,5297686.28394313,1918970.12494945
14,230,5417236.28394313,1660580.12494945
14,231,5509366.28394313,2081180.12494945
14,232,5462176.28394313,2033510.12494945
14,233,5269216.28394313,1992800.12494945
14,234,5444206.28394313,1705250.12494945
14,235,5728756.28394313,1920830.12494945
14,236,5633716.28394313,2146460.12494945
