project_id,plotid,x,y
15,1,5091306.84174336,2844220.27242986
15,2,5167536.84174336,2682580.27242986
15,3,4934556.84174336,2730370.27242986
15,4,5068086.84174336,2666710.27242986
15,5,5050236.84174336,2822890.27242986
15,6,4989996.84174336,2753020.27242986
15,7,5050626.84174336,2803780.27242986
15,8,4973616.84174336,2692720.27242986
15,9,5024886.84174336,2617540.27242986
15,10,4876356.84174336,2676400.27242986
15,11,4892526.84174336,2677690.27242986
15,12,4856046.84174336,2701600.27242986
15,13,5145036.84174336,2657710.27242986
15,14,5008746.84174336,2604880.27242986
15,15,5052456.84174336,2653060.27242986
15,16,5094036.84174336,2830960.27242986
15,17,4855236.84174336,2601340.27242986
15,18,5104926.84174336,2881060.27242986
15,19,5083266.84174336,2830810.27242986
15,20,5109006.84174336,2810050.27242986
15,21,5125596.84174336,2821630.27242986
15,22,4896636.84174336,2592130.27242986
15,23,4859136.84174336,2656090.27242986
15,24,4994676.84174336,2748790.27242986
15,25,4897596.84174336,2597230.27242986
15,26,5213526.84174336,2779780.27242986
15,27,4870896.84174336,2671240.27242986
15,28,5011596.84174336,2577040.27242986
15,29,5097246.84174336,2848480.27242986
15,30,5106786.84174336,2869660.27242986
15,31,5025126.84174336,2801200.27242986
15,32,5122236.84174336,2833450.27242986
15,33,5028126.84174336,2728030.27242986
15,34,5213496.84174336,2838610.27242986
15,35,5039586.84174336,2691130.27242986
15,36,5040336.84174336,2826490.27242986
15,37,5068416.84174336,2799790.27242986
15,38,5028666.84174336,2804920.27242986
15,39,5270016.84174336,2834980.27242986
15,40,4920606.84174336,2729950.27242986
15,41,4926816.84174336,2554900.27242986
15,42,5078736.84174336,2694790.27242986
15,43,4916526.84174336,2629960.27242986
15,44,4928346.84174336,2580850.27242986
15,45,5019876.84174336,2779690.27242986
15,46,5027916.84174336,2779180.27242986
15,47,5086326.84174336,2812300.27242986
15,48,4842036.84174336,2631670.27242986
15,49,5210526.84174336,2795890.27242986
15,50,5053896.84174336,2669530.27242986
15,51,5053236.84174336,2671810.27242986
