project_id,plotid,x,y
16,1,3166088.82587731,3507254.09140269
16,2,3164228.82587731,3677084.09140269
16,3,3048608.82587731,3546074.09140269
16,4,3129548.82587731,3386894.09140269
16,5,3190448.82587731,3696674.09140269
16,6,3175688.82587731,3457934.09140269
16,7,3134468.82587731,3604754.09140269
16,8,3229268.82587731,3404174.09140269
16,9,3167918.82587731,3658244.09140269
16,10,3110948.82587731,3402014.09140269
16,11,3085508.82587731,3461834.09140269
16,12,3063068.82587731,3352304.09140269
16,13,3080678.82587731,3383264.09140269
16,14,3162638.82587731,3482834.09140269
16,15,3098048.82587731,3481844.09140269
16,16,3094568.82587731,3481484.09140269
16,17,3202538.82587731,3433514.09140269
16,18,3170828.82587731,3460214.09140269
16,19,2951198.82587731,3400034.09140269
16,20,3058928.82587731,3396974.09140269
16,21,3046808.82587731,3498134.09140269
16,22,3060368.82587731,3527804.09140269
16,23,3184928.82587731,3490244.09140269
16,24,3024218.82587731,3377954.09140269
16,25,3045008.82587731,3617204.09140269
16,26,3133058.82587731,3624374.09140269
16,27,3179648.82587731,3543584.09140269
16,28,3120878.82587731,3362804.09140269
16,29,3194078.82587731,3541214.09140269
16,30,3156428.82587731,3622034.09140269
16,31,3180158.82587731,3587384.09140269
16,32,3159218.82587731,3473444.09140269
16,33,3087338.82587731,3467144.09140269
16,34,3119078.82587731,3355004.09140269
16,35,3228998.82587731,3444314.09140269
16,36,3214688.82587731,3599444.09140269
16,37,3101678.82587731,3358214.09140269
16,38,3127898.82587731,3625964.09140269
16,39,3222368.82587731,3420404.09140269
16,40,3045218.82587731,3383414.09140269
16,41,3151988.82587731,3558614.09140269
16,42,3223148.82587731,3456344.09140269
16,43,3097388.82587731,3623234.09140269
16,44,3089738.82587731,3593654.09140269
16,45,3069938.82587731,3386864.09140269
16,46,3136298.82587731,3435614.09140269
16,47,3001358.82587731,3415484.09140269
16,48,3139778.82587731,3633374.09140269
16,49,3137318.82587731,3496994.09140269
16,50,3149228.82587731,3382874.09140269
16,51,2994218.82587731,3404504.09140269
16,52,3155138.82587731,3685844.09140269
16,53,3144158.82587731,3517544.09140269
16,54,3070238.82587731,3478904.09140269
16,55,3180608.82587731,3432944.09140269
16,56,3034208.82587731,3548564.09140269
16,57,3079448.82587731,3469874.09140269
16,58,3190208.82587731,3656054.09140269
16,59,3097418.82587731,3478814.09140269
16,60,3200318.82587731,3487154.09140269
16,61,3185528.82587731,3457694.09140269
16,62,2991098.82587731,3399824.09140269
16,63,3024308.82587731,3415694.09140269
16,64,2964908.82587731,3391544.09140269
16,65,3115598.82587731,3481814.09140269
16,66,3020888.82587731,3548714.09140269
16,67,3044168.82587731,3408194.09140269
16,68,3052598.82587731,3542324.09140269
16,69,3075458.82587731,3454394.09140269
16,70,3086438.82587731,3365624.09140269
16,71,3085568.82587731,3535664.09140269
16,72,3167228.82587731,3591584.09140269
16,73,3235718.82587731,3447794.09140269
16,74,3071948.82587731,3401624.09140269
16,75,3050528.82587731,3386144.09140269
16,76,3196478.82587731,3672434.09140269
16,77,3117998.82587731,3609284.09140269
16,78,3018998.82587731,3355814.09140269
16,79,3032288.82587731,3467474.09140269
16,80,3195788.82587731,3481274.09140269
16,81,2991398.82587731,3331694.09140269
16,82,3091538.82587731,3485744.09140269
16,83,3127478.82587731,3569204.09140269
16,84,3228398.82587731,3480404.09140269
16,85,3224708.82587731,3479144.09140269
16,86,3071498.82587731,3406034.09140269
16,87,3255608.82587731,3551054.09140269
16,88,3078248.82587731,3466424.09140269
16,89,3019328.82587731,3411974.09140269
16,90,3160148.82587731,3418094.09140269
16,91,3202598.82587731,3549314.09140269
16,92,3076328.82587731,3480914.09140269
16,93,3129038.82587731,3452954.09140269
16,94,3087068.82587731,3493304.09140269
16,95,3028088.82587731,3420494.09140269
16,96,3060968.82587731,3591824.09140269
16,97,3177788.82587731,3432044.09140269
16,98,3064928.82587731,3496934.09140269
16,99,3172418.82587731,3645194.09140269
16,100,3163418.82587731,3600854.09140269
16,101,3040808.82587731,3483254.09140269
16,102,3136508.82587731,3426644.09140269
16,103,3134498.82587731,3477194.09140269
16,104,3245618.82587731,3455714.09140269
16,105,3159728.82587731,3527564.09140269
16,106,3015878.82587731,3424814.09140269
16,107,3102098.82587731,3581624.09140269
16,108,3193448.82587731,3461744.09140269
16,109,3166448.82587731,3474554.09140269
16,110,2997668.82587731,3342044.09140269
16,111,3091028.82587731,3492314.09140269
16,112,3054938.82587731,3617144.09140269
16,113,3100268.82587731,3602294.09140269
16,114,3108398.82587731,3427304.09140269
16,115,3158168.82587731,3430334.09140269
16,116,3055808.82587731,3375164.09140269
16,117,3046298.82587731,3369044.09140269
16,118,2979518.82587731,3402944.09140269
16,119,3117338.82587731,3365684.09140269
16,120,3008438.82587731,3557954.09140269
16,121,3073928.82587731,3475724.09140269
16,122,3148688.82587731,3517904.09140269
