project_id,plotid,x,y
18,1,5211476.25208616,3863965.67427827
18,2,5059316.25208616,3901225.67427827
18,3,5121986.25208616,3808525.67427827
18,4,5104106.25208616,3804505.67427827
18,5,5272136.25208616,3945955.67427827
18,6,5346926.25208616,3769795.67427827
18,7,5325506.25208616,3825805.67427827
18,8,5317556.25208616,3826825.67427827
18,9,5151536.25208616,3828295.67427827
18,10,5158436.25208616,3822205.67427827
18,11,5208386.25208616,3811105.67427827
18,12,5371886.25208616,3927775.67427827
18,13,5300276.25208616,3929485.67427827
18,14,5153396.25208616,3834175.67427827
18,15,5310326.25208616,3890245.67427827
18,16,5286656.25208616,3933835.67427827
18,17,5036366.25208616,3791695.67427827
18,18,5216726.25208616,3812635.67427827
18,19,5044766.25208616,3855895.67427827
18,20,5050376.25208616,3826705.67427827
18,21,5345696.25208616,3915985.67427827
18,22,5050976.25208616,3899035.67427827
18,23,5050976.25208616,3885025.67427827
18,24,5329796.25208616,3850885.67427827
18,25,5042006.25208616,3766885.67427827
18,26,5048006.25208616,3787255.67427827
18,27,5329916.25208616,3757135.67427827
18,28,5229626.25208616,3882535.67427827
18,29,5041046.25208616,3768565.67427827
18,30,5353736.25208616,3925255.67427827
18,31,5232116.25208616,3958075.67427827
18,32,5277836.25208616,3822115.67427827
18,33,5321066.25208616,3880015.67427827
18,34,5364776.25208616,3915715.67427827
18,35,5384576.25208616,3807385.67427827
18,36,5007716.25208616,3727195.67427827
18,37,5318186.25208616,3803635.67427827
18,38,5231126.25208616,3890905.67427827
18,39,5097506.25208616,3816055.67427827
18,40,5170226.25208616,3846385.67427827
18,41,5222606.25208616,3863905.67427827
18,42,5266496.25208616,3876955.67427827
18,43,4997336.25208616,3747955.67427827
18,44,5100296.25208616,3805435.67427827
18,45,5056586.25208616,3868885.67427827
18,46,5238776.25208616,3956545.67427827
18,47,5307926.25208616,3922495.67427827
18,48,5038046.25208616,3840715.67427827
18,49,5329346.25208616,3822205.67427827
18,50,5355866.25208616,3777865.67427827
18,51,5360876.25208616,3845815.67427827
18,52,5048996.25208616,3858355.67427827
18,53,5224706.25208616,3810085.67427827
18,54,5084756.25208616,3781045.67427827
18,55,5015786.25208616,3802975.67427827
18,56,5356346.25208616,3880015.67427827
18,57,5231156.25208616,3915355.67427827
18,58,5097176.25208616,3865465.67427827
18,59,5055116.25208616,3775375.67427827
18,60,5140946.25208616,3830785.67427827
18,61,5242136.25208616,3848425.67427827
18,62,5054516.25208616,3774265.67427827
18,63,5184596.25208616,3926875.67427827
18,64,5387906.25208616,3898615.67427827
18,65,5236706.25208616,3874345.67427827
18,66,5278586.25208616,3928525.67427827
18,67,5059466.25208616,3813295.67427827
18,68,5370836.25208616,3890845.67427827
18,69,5367836.25208616,3774805.67427827
18,70,5303756.25208616,3922885.67427827
18,71,5091026.25208616,3861115.67427827
18,72,5345726.25208616,3898585.67427827
18,73,5352506.25208616,3922675.67427827
18,74,5062166.25208616,3816085.67427827
18,75,5294216.25208616,3841195.67427827
18,76,5309396.25208616,3926455.67427827
18,77,5303726.25208616,3766975.67427827
18,78,5238356.25208616,3955195.67427827
18,79,5370986.25208616,3923065.67427827
18,80,5048246.25208616,3887365.67427827
18,81,5357186.25208616,3795355.67427827
18,82,5014106.25208616,3756625.67427827
18,83,5256266.25208616,3949405.67427827
18,84,5240546.25208616,3845875.67427827
18,85,5203106.25208616,3953605.67427827
18,86,5243936.25208616,3907555.67427827
18,87,5340956.25208616,3896455.67427827
18,88,5237906.25208616,3829825.67427827
18,89,5198276.25208616,3937975.67427827
18,90,5344976.25208616,3945565.67427827
18,91,5223056.25208616,3949285.67427827
18,92,5293046.25208616,3934345.67427827
18,93,5409296.25208616,3845035.67427827
18,94,5068046.25208616,3897745.67427827
18,95,5315606.25208616,3827425.67427827
18,96,5155916.25208616,3821365.67427827
18,97,5189606.25208616,3851965.67427827
18,98,5179946.25208616,3857995.67427827
18,99,5258516.25208616,3789415.67427827
18,100,5172146.25208616,3820585.67427827
18,101,5224376.25208616,3816745.67427827
18,102,5335646.25208616,3851485.67427827
18,103,5280836.25208616,3939115.67427827
18,104,5006816.25208616,3814465.67427827
18,105,5314946.25208616,3815215.67427827
18,106,5307986.25208616,3812395.67427827
18,107,5201966.25208616,3826645.67427827
18,108,5073686.25208616,3878905.67427827
18,109,5307176.25208616,3848515.67427827
18,110,5105846.25208616,3830185.67427827
18,111,5191796.25208616,3912475.67427827
18,112,5393816.25208616,3799465.67427827
18,113,5370926.25208616,3748315.67427827
18,114,5174156.25208616,3929845.67427827
18,115,5100056.25208616,3848875.67427827
18,116,5159696.25208616,3797665.67427827
18,117,5340386.25208616,3947395.67427827
18,118,5114936.25208616,3813235.67427827
18,119,5143166.25208616,3834055.67427827
18,120,5203796.25208616,3870025.67427827
18,121,5324606.25208616,3934285.67427827
18,122,5065016.25208616,3808225.67427827
18,123,5180756.25208616,3812485.67427827
18,124,5235956.25208616,3910495.67427827
18,125,5288366.25208616,3904345.67427827
18,126,5190446.25208616,3869395.67427827
18,127,5026886.25208616,3778525.67427827
18,128,5364986.25208616,3874345.67427827
18,129,5055386.25208616,3865645.67427827
18,130,5045006.25208616,3823195.67427827
18,131,5033966.25208616,3852235.67427827
18,132,5043116.25208616,3892945.67427827
18,133,5309246.25208616,3931825.67427827
18,134,5100926.25208616,3847225.67427827
18,135,5216426.25208616,3814525.67427827
18,136,5011616.25208616,3852535.67427827
18,137,5281646.25208616,3864355.67427827
18,138,5209616.25208616,3881485.67427827
18,139,5395196.25208616,3846595.67427827
18,140,5249516.25208616,3789655.67427827
18,141,5047016.25208616,3776275.67427827
18,142,5265326.25208616,3856015.67427827
18,143,5199206.25208616,3856585.67427827
18,144,5076296.25208616,3875455.67427827
18,145,5083736.25208616,3859705.67427827
18,146,5278946.25208616,3868405.67427827
18,147,5203166.25208616,3932275.67427827
18,148,5199296.25208616,3867685.67427827
18,149,5331596.25208616,3919735.67427827
18,150,5199536.25208616,3936805.67427827
18,151,5288636.25208616,3920455.67427827
18,152,5267276.25208616,3889435.67427827
18,153,5061836.25208616,3817405.67427827
18,154,5278286.25208616,3798925.67427827
18,155,5011466.25208616,3767065.67427827
18,156,5054066.25208616,3848785.67427827
18,157,5135906.25208616,3833935.67427827
18,158,5243336.25208616,3802075.67427827
18,159,5350826.25208616,3866035.67427827
18,160,5407766.25208616,3814435.67427827
18,161,5255396.25208616,3780025.67427827
18,162,5293166.25208616,3923575.67427827
18,163,5411816.25208616,3837745.67427827
18,164,5048036.25208616,3898795.67427827
18,165,5336276.25208616,3885775.67427827
18,166,5318996.25208616,3849475.67427827
18,167,5063396.25208616,3845065.67427827
18,168,5293286.25208616,3834145.67427827
18,169,5205956.25208616,3909655.67427827
18,170,5279276.25208616,3842425.67427827
18,171,5327336.25208616,3867325.67427827
18,172,5287076.25208616,3918805.67427827
18,173,5127686.25208616,3840355.67427827
18,174,5368646.25208616,3809005.67427827
18,175,5187386.25208616,3840535.67427827
18,176,5214356.25208616,3802195.67427827
18,177,5159516.25208616,3811015.67427827
18,178,5103716.25208616,3857665.67427827
18,179,5336156.25208616,3825175.67427827
18,180,5386586.25208616,3776245.67427827
18,181,5308106.25208616,3900925.67427827
18,182,5377196.25208616,3937615.67427827
18,183,5389166.25208616,3880105.67427827
18,184,5323856.25208616,3799555.67427827
18,185,5342006.25208616,3946855.67427827
18,186,5065316.25208616,3853945.67427827
18,187,5005406.25208616,3807775.67427827
18,188,5334446.25208616,3882625.67427827
18,189,5032556.25208616,3843205.67427827
18,190,5425526.25208616,3808195.67427827
18,191,5258426.25208616,3909055.67427827
18,192,5340656.25208616,3887185.67427827
18,193,5195306.25208616,3856255.67427827
18,194,5339216.25208616,3886615.67427827
18,195,5227466.25208616,3929515.67427827
18,196,5252546.25208616,3839035.67427827
18,197,5119706.25208616,3848575.67427827
18,198,5371286.25208616,3808495.67427827
18,199,5081186.25208616,3856885.67427827
18,200,5330276.25208616,3841195.67427827
18,201,5298896.25208616,3820945.67427827
18,202,5200406.25208616,3937855.67427827
18,203,5007626.25208616,3746575.67427827
18,204,5266376.25208616,3816085.67427827
18,205,5019956.25208616,3874105.67427827
18,206,5390666.25208616,3792985.67427827
18,207,5264156.25208616,3899935.67427827
18,208,5345246.25208616,3775315.67427827
18,209,5165816.25208616,3841675.67427827
18,210,5284046.25208616,3840205.67427827
18,211,5188946.25208616,3934945.67427827
18,212,5394266.25208616,3832255.67427827
18,213,5116106.25208616,3819145.67427827
18,214,5031236.25208616,3792295.67427827
18,215,5239046.25208616,3863605.67427827
18,216,5383526.25208616,3914485.67427827
18,217,5038136.25208616,3820525.67427827
18,218,5382776.25208616,3918145.67427827
18,219,5364656.25208616,3890455.67427827
18,220,5233826.25208616,3862105.67427827
18,221,5248436.25208616,3917455.67427827
18,222,5369366.25208616,3932725.67427827
18,223,5354606.25208616,3834415.67427827
18,224,5405906.25208616,3870595.67427827
18,225,5370176.25208616,3808525.67427827
18,226,5009456.25208616,3746485.67427827
18,227,5397206.25208616,3816745.67427827
18,228,5056796.25208616,3812335.67427827
18,229,5196686.25208616,3836575.67427827
18,230,5040716.25208616,3870115.67427827
18,231,5057096.25208616,3878965.67427827
18,232,5205776.25208616,3942325.67427827
18,233,5078966.25208616,3810625.67427827
18,234,5188736.25208616,3904075.67427827
18,235,5369996.25208616,3803545.67427827
18,236,5011556.25208616,3720895.67427827
18,237,5273096.25208616,3777925.67427827
