project_id,plotid,x,y
19,1,5043697.67063713,3697536.20266027
19,2,5292517.67063713,3606606.20266027
19,3,5241367.67063713,3635616.20266027
19,4,5274067.67063713,3600036.20266027
19,5,5254327.67063713,3731586.20266027
19,6,5187547.67063713,3762756.20266027
19,7,5147887.67063713,3753216.20266027
19,8,5326147.67063713,3708486.20266027
19,9,5303317.67063713,3663336.20266027
19,10,5327077.67063713,3573366.20266027
19,11,5308507.67063713,3759006.20266027
19,12,5222857.67063713,3742056.20266027
19,13,5110597.67063713,3695796.20266027
19,14,5099467.67063713,3740616.20266027
19,15,5226697.67063713,3719076.20266027
19,16,5335387.67063713,3573606.20266027
19,17,5179837.67063713,3611676.20266027
19,18,5238847.67063713,3637536.20266027
19,19,5098147.67063713,3719916.20266027
19,20,5315437.67063713,3618936.20266027
19,21,5217517.67063713,3518106.20266027
19,22,5140927.67063713,3641256.20266027
19,23,5262217.67063713,3599286.20266027
19,24,5225707.67063713,3579696.20266027
19,25,5166037.67063713,3627576.20266027
19,26,5260027.67063713,3674376.20266027
19,27,5140537.67063713,3728166.20266027
19,28,5329387.67063713,3673296.20266027
19,29,5091037.67063713,3755796.20266027
19,30,5333197.67063713,3686196.20266027
19,31,5164657.67063713,3657426.20266027
19,32,5106307.67063713,3654246.20266027
19,33,5248447.67063713,3528006.20266027
19,34,5179447.67063713,3606816.20266027
19,35,5302327.67063713,3585456.20266027
19,36,5345137.67063713,3689046.20266027
19,37,5102467.67063713,3744546.20266027
19,38,5335987.67063713,3722526.20266027
19,39,5248597.67063713,3594066.20266027
19,40,5149717.67063713,3714666.20266027
19,41,5102107.67063713,3694236.20266027
19,42,5043217.67063713,3693186.20266027
19,43,5045887.67063713,3654756.20266027
19,44,5328877.67063713,3562386.20266027
19,45,5209657.67063713,3739056.20266027
19,46,5092567.67063713,3652296.20266027
19,47,5317807.67063713,3705246.20266027
19,48,5155327.67063713,3662886.20266027
19,49,5236237.67063713,3613926.20266027
19,50,5263087.67063713,3691326.20266027
19,51,5108617.67063713,3642636.20266027
19,52,5243467.67063713,3645516.20266027
19,53,5263867.67063713,3531906.20266027
19,54,5304607.67063713,3722556.20266027
19,55,5303857.67063713,3687576.20266027
19,56,5236837.67063713,3711726.20266027
19,57,5100787.67063713,3636666.20266027
19,58,5045677.67063713,3652656.20266027
19,59,5283067.67063713,3647856.20266027
19,60,5060287.67063713,3716406.20266027
19,61,5277217.67063713,3538266.20266027
19,62,5274217.67063713,3657096.20266027
19,63,5080447.67063713,3730506.20266027
19,64,5258557.67063713,3767106.20266027
19,65,5206627.67063713,3661176.20266027
19,66,5030587.67063713,3646926.20266027
19,67,5296837.67063713,3667236.20266027
19,68,5214277.67063713,3541806.20266027
19,69,5271877.67063713,3688026.20266027
19,70,5173567.67063713,3741816.20266027
19,71,5183797.67063713,3694566.20266027
19,72,5315437.67063713,3636516.20266027
19,73,5303227.67063713,3742716.20266027
19,74,5292427.67063713,3591516.20266027
19,75,5325427.67063713,3731526.20266027
19,76,5270647.67063713,3528126.20266027
19,77,5332657.67063713,3673956.20266027
19,78,5210407.67063713,3641766.20266027
19,79,5201647.67063713,3629046.20266027
19,80,5100337.67063713,3739236.20266027
19,81,5060467.67063713,3658626.20266027
19,82,5158087.67063713,3756666.20266027
19,83,5272387.67063713,3722376.20266027
19,84,5237017.67063713,3631386.20266027
19,85,5216497.67063713,3765066.20266027
19,86,5243287.67063713,3777876.20266027
19,87,5189317.67063713,3637416.20266027
19,88,5245087.67063713,3596526.20266027
19,89,5131927.67063713,3676296.20266027
19,90,5123887.67063713,3634776.20266027
19,91,5154547.67063713,3624186.20266027
19,92,5107447.67063713,3729726.20266027
19,93,5234887.67063713,3767316.20266027
19,94,5174767.67063713,3743076.20266027
19,95,5321527.67063713,3610086.20266027
19,96,5349967.67063713,3683886.20266027
19,97,5103847.67063713,3723726.20266027
19,98,5346157.67063713,3689946.20266027
19,99,5209567.67063713,3634146.20266027
19,100,5328637.67063713,3713136.20266027
19,101,5130667.67063713,3666396.20266027
19,102,5052247.67063713,3664386.20266027
19,103,5256637.67063713,3534546.20266027
19,104,5245807.67063713,3540756.20266027
19,105,5269597.67063713,3718956.20266027
19,106,5207827.67063713,3601116.20266027
19,107,5281477.67063713,3597066.20266027
19,108,5121187.67063713,3764316.20266027
19,109,5295337.67063713,3613596.20266027
19,110,5290267.67063713,3635496.20266027
19,111,5272957.67063713,3665586.20266027
19,112,5260987.67063713,3575406.20266027
19,113,5282467.67063713,3643506.20266027
19,114,5224297.67063713,3736026.20266027
19,115,5071027.67063713,3760866.20266027
19,116,5347117.67063713,3666096.20266027
19,117,5302447.67063713,3592566.20266027
19,118,5317747.67063713,3720576.20266027
19,119,5297167.67063713,3609396.20266027
19,120,5322817.67063713,3746646.20266027
19,121,5295367.67063713,3587316.20266027
19,122,5329957.67063713,3654246.20266027
19,123,5279227.67063713,3566526.20266027
19,124,5268007.67063713,3546066.20266027
19,125,5191477.67063713,3637836.20266027
19,126,5266177.67063713,3739656.20266027
19,127,5136487.67063713,3710826.20266027
19,128,5217427.67063713,3775326.20266027
19,129,5178307.67063713,3603516.20266027
19,130,5302237.67063713,3675456.20266027
19,131,5015977.67063713,3705306.20266027
19,132,5040277.67063713,3673626.20266027
19,133,5305267.67063713,3664566.20266027
19,134,5282797.67063713,3742116.20266027
19,135,5113777.67063713,3634596.20266027
19,136,5151787.67063713,3671796.20266027
19,137,5145187.67063713,3728916.20266027
19,138,5256637.67063713,3556626.20266027
19,139,5314567.67063713,3651906.20266027
19,140,5228707.67063713,3736026.20266027
19,141,5177047.67063713,3666906.20266027
19,142,5304337.67063713,3575376.20266027
19,143,5343307.67063713,3662166.20266027
19,144,5096527.67063713,3656346.20266027
19,145,5318677.67063713,3671406.20266027
19,146,5199397.67063713,3739326.20266027
19,147,5171437.67063713,3616566.20266027
19,148,5074987.67063713,3695916.20266027
19,149,5199127.67063713,3740166.20266027
19,150,5317777.67063713,3648696.20266027
19,151,5317117.67063713,3730926.20266027
19,152,5308957.67063713,3580086.20266027
19,153,5077207.67063713,3690336.20266027
19,154,5238457.67063713,3766866.20266027
19,155,5206537.67063713,3546156.20266027
19,156,5192257.67063713,3633066.20266027
19,157,5345947.67063713,3705936.20266027
19,158,5250997.67063713,3593676.20266027
19,159,5029837.67063713,3718266.20266027
19,160,5062777.67063713,3760356.20266027
19,161,5315617.67063713,3731946.20266027
19,162,5265937.67063713,3656316.20266027
19,163,5166487.67063713,3702606.20266027
19,164,5115877.67063713,3736656.20266027
19,165,5260987.67063713,3704196.20266027
19,166,5079967.67063713,3737676.20266027
19,167,5330437.67063713,3707196.20266027
19,168,5023537.67063713,3714546.20266027
19,169,5157427.67063713,3601926.20266027
19,170,5257057.67063713,3532266.20266027
19,171,5263837.67063713,3569976.20266027
19,172,5318257.67063713,3631086.20266027
19,173,5094337.67063713,3732966.20266027
19,174,5249767.67063713,3521646.20266027
19,175,5174857.67063713,3617046.20266027
19,176,5299747.67063713,3756426.20266027
19,177,5259997.67063713,3746976.20266027
19,178,5047027.67063713,3675936.20266027
19,179,5280697.67063713,3640356.20266027
19,180,5177317.67063713,3673266.20266027
19,181,5172517.67063713,3738516.20266027
19,182,5233807.67063713,3656796.20266027
19,183,5284687.67063713,3701646.20266027
19,184,5245267.67063713,3527136.20266027
19,185,5205847.67063713,3654696.20266027
19,186,5122987.67063713,3630516.20266027
19,187,5165887.67063713,3611706.20266027
19,188,5026147.67063713,3699246.20266027
19,189,5321347.67063713,3740796.20266027
19,190,5242147.67063713,3682206.20266027
19,191,5242477.67063713,3756966.20266027
19,192,5301547.67063713,3632316.20266027
19,193,5251087.67063713,3534126.20266027
19,194,5265637.67063713,3528876.20266027
19,195,5339257.67063713,3677796.20266027
19,196,5132287.67063713,3688986.20266027
19,197,5102107.67063713,3745386.20266027
19,198,5187577.67063713,3610536.20266027
19,199,5150857.67063713,3553386.20266027
19,200,5325787.67063713,3673506.20266027
19,201,5152777.67063713,3676956.20266027
19,202,5107657.67063713,3738786.20266027
19,203,5091817.67063713,3727146.20266027
19,204,5286337.67063713,3616626.20266027
19,205,5285857.67063713,3771276.20266027
19,206,5191867.67063713,3649536.20266027
19,207,5155237.67063713,3660906.20266027
19,208,5191237.67063713,3607686.20266027
19,209,5027977.67063713,3693306.20266027
19,210,5196907.67063713,3628746.20266027
19,211,5040517.67063713,3724626.20266027
19,212,5125297.67063713,3667656.20266027
19,213,5065477.67063713,3656106.20266027
19,214,5018077.67063713,3638106.20266027
19,215,5044837.67063713,3709176.20266027
19,216,5202307.67063713,3595206.20266027
19,217,5284057.67063713,3699156.20266027
19,218,5048467.67063713,3647376.20266027
19,219,5163727.67063713,3679476.20266027
19,220,5033917.67063713,3698226.20266027
19,221,5293567.67063713,3591036.20266027
19,222,5355517.67063713,3729486.20266027
19,223,5110717.67063713,3747486.20266027
19,224,5076907.67063713,3678696.20266027
19,225,5244727.67063713,3533826.20266027
19,226,5276197.67063713,3765846.20266027
19,227,5106127.67063713,3635136.20266027
19,228,5157817.67063713,3657306.20266027
19,229,5268817.67063713,3652476.20266027
19,230,5181727.67063713,3621246.20266027
19,231,5167957.67063713,3743076.20266027
19,232,5324707.67063713,3708156.20266027
19,233,5275567.67063713,3580026.20266027
19,234,5300527.67063713,3616896.20266027
19,235,5288077.67063713,3559686.20266027
19,236,5204017.67063713,3721416.20266027
19,237,5305807.67063713,3581466.20266027
19,238,5276047.67063713,3613806.20266027
19,239,5111617.67063713,3636036.20266027
19,240,5107237.67063713,3731346.20266027
19,241,5152087.67063713,3713466.20266027
19,242,5229847.67063713,3547086.20266027
19,243,5302447.67063713,3592116.20266027
19,244,5318857.67063713,3707376.20266027
19,245,5305387.67063713,3637116.20266027
19,246,5260057.67063713,3525816.20266027
19,247,5260477.67063713,3543306.20266027
19,248,5355847.67063713,3714516.20266027
19,249,5239387.67063713,3537636.20266027
19,250,5257777.67063713,3556956.20266027
19,251,5173297.67063713,3704076.20266027
19,252,5243647.67063713,3776076.20266027
19,253,5064007.67063713,3641076.20266027
19,254,5282557.67063713,3613896.20266027
19,255,5162857.67063713,3639276.20266027
19,256,5255947.67063713,3597636.20266027
19,257,5329027.67063713,3575346.20266027
19,258,5301607.67063713,3755886.20266027
19,259,5327557.67063713,3741306.20266027
19,260,5229157.67063713,3702546.20266027
19,261,5308867.67063713,3621246.20266027
19,262,5270227.67063713,3681786.20266027
19,263,5277487.67063713,3552096.20266027
19,264,5266177.67063713,3765756.20266027
19,265,5187517.67063713,3618906.20266027
19,266,5280217.67063713,3643746.20266027
19,267,5214367.67063713,3707556.20266027
19,268,5313787.67063713,3576636.20266027
19,269,5264857.67063713,3593856.20266027
19,270,5313637.67063713,3703596.20266027
19,271,5168947.67063713,3742206.20266027
19,272,5069137.67063713,3680586.20266027
19,273,5273947.67063713,3683676.20266027
19,274,5267977.67063713,3527916.20266027
19,275,5205067.67063713,3582756.20266027
19,276,5246317.67063713,3523566.20266027
19,277,5125117.67063713,3642666.20266027
19,278,5266237.67063713,3675636.20266027
19,279,5087227.67063713,3646776.20266027
19,280,5131687.67063713,3708306.20266027
19,281,5185567.67063713,3553536.20266027
19,282,5186527.67063713,3688506.20266027
19,283,5202457.67063713,3585066.20266027
19,284,5154337.67063713,3623016.20266027
19,285,5331427.67063713,3663006.20266027
19,286,5271877.67063713,3618066.20266027
19,287,5259217.67063713,3681696.20266027
19,288,5121517.67063713,3765516.20266027
19,289,5329657.67063713,3745026.20266027
19,290,5108257.67063713,3737166.20266027
19,291,5333437.67063713,3726516.20266027
19,292,5144137.67063713,3682986.20266027
19,293,5241547.67063713,3690966.20266027
19,294,5306437.67063713,3669546.20266027
19,295,5161177.67063713,3632766.20266027
19,296,5280067.67063713,3677226.20266027
19,297,5012287.67063713,3703956.20266027
19,298,5240227.67063713,3636306.20266027
19,299,5324557.67063713,3657516.20266027
19,300,5255077.67063713,3573186.20266027
19,301,5320987.67063713,3694686.20266027
19,302,5235097.67063713,3738276.20266027
19,303,5282437.67063713,3588156.20266027
19,304,5189077.67063713,3616716.20266027
19,305,5104447.67063713,3629586.20266027
19,306,5081317.67063713,3723906.20266027
19,307,5304037.67063713,3654126.20266027
19,308,5050837.67063713,3717546.20266027
19,309,5043997.67063713,3634746.20266027
19,310,5359087.67063713,3708966.20266027
19,311,5268337.67063713,3773796.20266027
19,312,5110027.67063713,3688626.20266027
19,313,5220217.67063713,3510636.20266027
19,314,5093677.67063713,3761646.20266027
19,315,5079487.67063713,3730356.20266027
19,316,5306257.67063713,3637146.20266027
19,317,5265727.67063713,3707856.20266027
19,318,5097757.67063713,3620856.20266027
19,319,5147947.67063713,3667566.20266027
19,320,5177377.67063713,3592776.20266027
19,321,5251807.67063713,3701166.20266027
19,322,5291827.67063713,3628926.20266027
19,323,5285827.67063713,3644166.20266027
19,324,5268637.67063713,3593436.20266027
19,325,5291767.67063713,3743556.20266027
19,326,5190367.67063713,3599046.20266027
19,327,5265037.67063713,3695076.20266027
19,328,5199067.67063713,3592536.20266027
19,329,5031187.67063713,3648726.20266027
19,330,5311387.67063713,3689616.20266027
19,331,5212477.67063713,3522936.20266027
19,332,5125477.67063713,3734886.20266027
19,333,5042317.67063713,3729906.20266027
19,334,5238637.67063713,3782916.20266027
19,335,5318257.67063713,3676776.20266027
19,336,5254807.67063713,3702546.20266027
19,337,5340157.67063713,3661266.20266027
19,338,5272117.67063713,3569736.20266027
19,339,5266057.67063713,3534186.20266027
19,340,5217577.67063713,3610926.20266027
19,341,5080657.67063713,3664836.20266027
19,342,5060077.67063713,3731256.20266027
19,343,5240107.67063713,3595146.20266027
19,344,5104117.67063713,3630366.20266027
19,345,5355367.67063713,3728496.20266027
19,346,5289637.67063713,3586926.20266027
19,347,5281777.67063713,3651276.20266027
19,348,5155957.67063713,3680046.20266027
19,349,5241817.67063713,3682956.20266027
19,350,5109697.67063713,3647106.20266027
19,351,5224687.67063713,3635556.20266027
19,352,5120797.67063713,3645486.20266027
19,353,5069587.67063713,3674586.20266027
19,354,5192497.67063713,3661776.20266027
19,355,5098027.67063713,3757926.20266027
19,356,5231647.67063713,3606216.20266027
19,357,5310367.67063713,3630306.20266027
19,358,5081257.67063713,3662856.20266027
19,359,5324887.67063713,3720906.20266027
19,360,5251207.67063713,3742806.20266027
19,361,5220217.67063713,3670626.20266027
19,362,5238037.67063713,3749766.20266027
19,363,5229127.67063713,3718326.20266027
