project_id,plotid,x,y
34,1,5210562.48788693,2063682.87747277
34,2,5356722.48788693,2098902.87747277
34,3,5345712.48788693,2131632.87747277
34,4,5255292.48788693,2116512.87747277
34,5,5349282.48788693,2192052.87747277
34,6,5342952.48788693,2190672.87747277
34,7,5350872.48788693,2204592.87747277
34,8,5281062.48788693,2140362.87747277
34,9,5246172.48788693,2120922.87747277
34,10,5366322.48788693,2095932.87747277
34,11,5291112.48788693,2112912.87747277
34,12,5392062.48788693,2126532.87747277
34,13,5203662.48788693,2130312.87747277
34,14,5392992.48788693,2172192.87747277
34,15,5324352.48788693,2080752.87747277
34,16,5400222.48788693,2166312.87747277
34,17,5219952.48788693,2151942.87747277
34,18,5319942.48788693,2085552.87747277
34,19,5401002.48788693,2159112.87747277
34,20,5252532.48788693,2069982.87747277
34,21,5258322.48788693,2141622.87747277
34,22,5373072.48788693,2169822.87747277
34,23,5258232.48788693,2052492.87747277
34,24,5254212.48788693,2089332.87747277
34,25,5380842.48788693,2146422.87747277
34,26,5399832.48788693,2124972.87747277
34,27,5244192.48788693,2150322.87747277
34,28,5305602.48788693,2100102.87747277
34,29,5314182.48788693,2173062.87747277
34,30,5238312.48788693,2064012.87747277
34,31,5263182.48788693,2150832.87747277
34,32,5267502.48788693,2078322.87747277
34,33,5346822.48788693,2187942.87747277
34,34,5280762.48788693,2120982.87747277
34,35,5312592.48788693,2093082.87747277
34,36,5243232.48788693,2115432.87747277
34,37,5317632.48788693,2109012.87747277
34,38,5264052.48788693,2083692.87747277
34,39,5221512.48788693,2142612.87747277
34,40,5356602.48788693,2165442.87747277
34,41,5358792.48788693,2160582.87747277
34,42,5298852.48788693,2103792.87747277
34,43,5282382.48788693,2130162.87747277
34,44,5367822.48788693,2157222.87747277
34,45,5223342.48788693,2079462.87747277
34,46,5220132.48788693,2139582.87747277
34,47,5244192.48788693,2132352.87747277
34,48,5281362.48788693,2180682.87747277
34,49,5398422.48788693,2138772.87747277
34,50,5336922.48788693,2202762.87747277
34,51,5305242.48788693,2117322.87747277
34,52,5300772.48788693,2159022.87747277
