project_id,plotid,x,y
20,1,5772204.44827717,2819346.88220557
20,2,5780724.44827717,2801676.88220557
20,3,5803404.44827717,2827596.88220557
20,4,5606154.44827717,2894526.88220557
20,5,5714784.44827717,2861256.88220557
20,6,5626314.44827717,2912556.88220557
20,7,5704014.44827717,2866176.88220557
20,8,5663454.44827717,2863896.88220557
20,9,5726214.44827717,2794746.88220557
20,10,5770524.44827717,2808996.88220557
20,11,5672754.44827717,2870796.88220557
20,12,5732214.44827717,2813376.88220557
20,13,5719614.44827717,2866536.88220557
20,14,5712534.44827717,2917716.88220557
20,15,5761404.44827717,2795196.88220557
20,16,5815494.44827717,2805426.88220557
20,17,5652954.44827717,2900586.88220557
20,18,5711184.44827717,2756616.88220557
20,19,5671284.44827717,2858046.88220557
20,20,5707074.44827717,2865486.88220557
20,21,5695584.44827717,2872266.88220557
20,22,5696604.44827717,2944656.88220557
20,23,5674854.44827717,2871156.88220557
20,24,5680164.44827717,2852856.88220557
20,25,5710194.44827717,2807646.88220557
20,26,5718294.44827717,2932416.88220557
20,27,5721564.44827717,2725656.88220557
20,28,5687274.44827717,2940096.88220557
20,29,5685684.44827717,2881386.88220557
20,30,5732184.44827717,2945526.88220557
20,31,5612454.44827717,2959626.88220557
20,32,5690724.44827717,2855886.88220557
20,33,5613774.44827717,2890146.88220557
20,34,5753694.44827717,2877366.88220557
20,35,5778744.44827717,2882886.88220557
20,36,5695704.44827717,2806086.88220557
20,37,5598024.44827717,2948616.88220557
20,38,5710164.44827717,2836386.88220557
20,39,5709594.44827717,2939796.88220557
20,40,5653314.44827717,2952396.88220557
20,41,5640564.44827717,2901816.88220557
20,42,5716824.44827717,2933076.88220557
20,43,5673414.44827717,2859516.88220557
20,44,5685714.44827717,2846226.88220557
20,45,5699244.44827717,2837796.88220557
20,46,5703204.44827717,2914926.88220557
20,47,5705874.44827717,2864556.88220557
20,48,5754594.44827717,2758656.88220557
20,49,5579604.44827717,2951586.88220557
20,50,5680974.44827717,2873016.88220557
20,51,5731674.44827717,2864106.88220557
20,52,5679354.44827717,2943366.88220557
20,53,5629044.44827717,2864286.88220557
20,54,5679954.44827717,2857476.88220557
20,55,5728344.44827717,2796186.88220557
20,56,5684664.44827717,2860866.88220557
20,57,5672964.44827717,2849796.88220557
20,58,5715924.44827717,2865336.88220557
20,59,5722974.44827717,2838216.88220557
20,60,5721054.44827717,2855556.88220557
20,61,5757654.44827717,2799726.88220557
20,62,5680134.44827717,2844186.88220557
20,63,5731224.44827717,2924556.88220557
20,64,5630004.44827717,2913006.88220557
20,65,5732664.44827717,2838816.88220557
20,66,5629374.44827717,2952126.88220557
20,67,5776944.44827717,2827806.88220557
20,68,5722794.44827717,2903586.88220557
20,69,5751054.44827717,2805126.88220557
20,70,5729724.44827717,2887956.88220557
20,71,5704044.44827717,2835966.88220557
20,72,5721264.44827717,2885226.88220557
20,73,5708934.44827717,2842926.88220557
20,74,5718714.44827717,2914836.88220557
20,75,5684694.44827717,2877606.88220557
20,76,5565324.44827717,2935446.88220557
20,77,5759484.44827717,2725716.88220557
20,78,5663154.44827717,2842656.88220557
20,79,5722944.44827717,2863176.88220557
20,80,5611134.44827717,2892216.88220557
20,81,5672484.44827717,2949936.88220557
20,82,5745054.44827717,2813136.88220557
20,83,5734254.44827717,2885706.88220557
20,84,5665824.44827717,2905236.88220557
20,85,5735124.44827717,2921916.88220557
20,86,5757624.44827717,2854326.88220557
20,87,5612034.44827717,2877036.88220557
20,88,5689764.44827717,2850606.88220557
20,89,5619204.44827717,2871486.88220557
20,90,5708424.44827717,2842746.88220557
20,91,5664864.44827717,2861286.88220557
20,92,5733744.44827717,2889096.88220557
20,93,5686044.44827717,2922336.88220557
20,94,5736384.44827717,2746656.88220557
20,95,5800644.44827717,2813976.88220557
20,96,5691204.44827717,2819376.88220557
20,97,5695194.44827717,2806776.88220557
20,98,5745384.44827717,2912226.88220557
20,99,5690664.44827717,2867976.88220557
20,100,5701224.44827717,2796126.88220557
20,101,5719074.44827717,2885796.88220557
20,102,5610504.44827717,2935866.88220557
20,103,5625174.44827717,2965356.88220557
20,104,5679174.44827717,2906586.88220557
20,105,5613684.44827717,2877966.88220557
20,106,5559174.44827717,2947296.88220557
20,107,5621904.44827717,2907096.88220557
20,108,5771844.44827717,2844486.88220557
20,109,5727444.44827717,2721966.88220557
20,110,5662584.44827717,2928906.88220557
20,111,5691294.44827717,2866566.88220557
20,112,5632734.44827717,2868426.88220557
20,113,5709084.44827717,2801676.88220557
20,114,5682624.44827717,2892156.88220557
20,115,5721924.44827717,2764746.88220557
20,116,5586654.44827717,2949276.88220557
20,117,5660904.44827717,2877906.88220557
20,118,5670444.44827717,2884506.88220557
20,119,5730204.44827717,2911866.88220557
20,120,5740284.44827717,2718606.88220557
20,121,5716104.44827717,2785536.88220557
20,122,5728284.44827717,2691546.88220557
20,123,5641644.44827717,2877936.88220557
20,124,5784024.44827717,2830866.88220557
20,125,5648754.44827717,2898066.88220557
20,126,5731014.44827717,2915676.88220557
