project_id,plotid,x,y
21,1,5093396.63554602,2150991.22166272
21,2,5069696.63554602,2276271.22166272
21,3,5090786.63554602,2235951.22166272
21,4,5035976.63554602,2191011.22166272
21,5,5095736.63554602,2153121.22166272
21,6,5101766.63554602,2282031.22166272
21,7,5049206.63554602,2198901.22166272
21,8,5066006.63554602,2299521.22166272
21,9,5060846.63554602,2192541.22166272
21,10,5079626.63554602,2223261.22166272
21,11,5086376.63554602,2236071.22166272
21,12,5120576.63554602,2233071.22166272
21,13,5095856.63554602,2249451.22166272
21,14,5046746.63554602,2182881.22166272
21,15,5093756.63554602,2155731.22166272
21,16,5053016.63554602,2269581.22166272
21,17,5128196.63554602,2235441.22166272
21,18,5104616.63554602,2237181.22166272
21,19,5084096.63554602,2301351.22166272
21,20,5114456.63554602,2231361.22166272
21,21,5081516.63554602,2139621.22166272
21,22,5144456.63554602,2217441.22166272
21,23,5068106.63554602,2221611.22166272
21,24,5081126.63554602,2265471.22166272
21,25,5056766.63554602,2238291.22166272
21,26,5101646.63554602,2253291.22166272
21,27,5156696.63554602,2252271.22166272
21,28,5035916.63554602,2286531.22166272
21,29,5055086.63554602,2201331.22166272
21,30,5040956.63554602,2273181.22166272
21,31,5118956.63554602,2271321.22166272
21,32,5047136.63554602,2229771.22166272
21,33,5030876.63554602,2239281.22166272
21,34,5034746.63554602,2216451.22166272
21,35,5121116.63554602,2237181.22166272
21,36,5048786.63554602,2239251.22166272
21,37,5103806.63554602,2272161.22166272
21,38,5084726.63554602,2229681.22166272
21,39,5053166.63554602,2245761.22166272
21,40,5103086.63554602,2235921.22166272
21,41,5080106.63554602,2268081.22166272
21,42,5057936.63554602,2298681.22166272
21,43,5095316.63554602,2212071.22166272
21,44,5030936.63554602,2229051.22166272
21,45,5143286.63554602,2212281.22166272
21,46,5122766.63554602,2242401.22166272
21,47,5040056.63554602,2244171.22166272
21,48,5091236.63554602,2289471.22166272
21,49,5083166.63554602,2266971.22166272
21,50,5105516.63554602,2221821.22166272
21,51,5082596.63554602,2200761.22166272
21,52,5150456.63554602,2241051.22166272
21,53,5154476.63554602,2240901.22166272
21,54,5051606.63554602,2209971.22166272
21,55,5057606.63554602,2229681.22166272
21,56,5082926.63554602,2289501.22166272
21,57,5050976.63554602,2201571.22166272
21,58,5061146.63554602,2293581.22166272
21,59,5114846.63554602,2226831.22166272
21,60,5115356.63554602,2258901.22166272
21,61,5101136.63554602,2226291.22166272
21,62,5031806.63554602,2242791.22166272
21,63,5032076.63554602,2240241.22166272
21,64,5065976.63554602,2171121.22166272
21,65,5054606.63554602,2202441.22166272
21,66,5072066.63554602,2296911.22166272
21,67,5059706.63554602,2223231.22166272
21,68,5058386.63554602,2239581.22166272
21,69,5140376.63554602,2243181.22166272
21,70,5052566.63554602,2253891.22166272
21,71,5124806.63554602,2229021.22166272
21,72,5151116.63554602,2251011.22166272
21,73,5051426.63554602,2212551.22166272
21,74,5101646.63554602,2224791.22166272
21,75,5087936.63554602,2276961.22166272
21,76,5136026.63554602,2214531.22166272
21,77,5088176.63554602,2209941.22166272
21,78,5061086.63554602,2169471.22166272
21,79,5098886.63554602,2227041.22166272
21,80,5075666.63554602,2266521.22166272
