project_id,plotid,x,y
26,1,5528693.7082794,2690606.79739179
26,2,5553383.7082794,2720936.79739179
26,3,5448233.7082794,2414366.79739179
26,4,5353193.7082794,2477036.79739179
26,5,5436473.7082794,2526056.79739179
26,6,5206403.7082794,2664746.79739179
26,7,5350793.7082794,2592836.79739179
26,8,5719043.7082794,2490866.79739179
26,9,5457023.7082794,2826116.79739179
26,10,5519663.7082794,2805296.79739179
26,11,5554493.7082794,2722646.79739179
26,12,5342093.7082794,2698046.79739179
26,13,5357813.7082794,2600336.79739179
26,14,5318843.7082794,2691926.79739179
26,15,5489123.7082794,2691086.79739179
26,16,5402123.7082794,2531906.79739179
26,17,5270363.7082794,2593136.79739179
26,18,5244173.7082794,2626406.79739179
26,19,5242493.7082794,2650946.79739179
26,20,5537183.7082794,2772326.79739179
26,21,5537933.7082794,2772716.79739179
26,22,5504423.7082794,2624426.79739179
26,23,5337593.7082794,2624186.79739179
26,24,5346833.7082794,2645246.79739179
26,25,5453663.7082794,2658476.79739179
26,26,5426093.7082794,2843786.79739179
26,27,5560403.7082794,2425016.79739179
26,28,5801273.7082794,2644646.79739179
26,29,5499053.7082794,2560166.79739179
26,30,5396393.7082794,2846276.79739179
26,31,5348033.7082794,2691956.79739179
26,32,5354963.7082794,2578136.79739179
26,33,5448473.7082794,2674316.79739179
26,34,5277773.7082794,2745116.79739179
26,35,5370053.7082794,2805326.79739179
26,36,5262653.7082794,2753726.79739179
26,37,5456273.7082794,2773886.79739179
26,38,5465753.7082794,2774066.79739179
26,39,5423723.7082794,2601356.79739179
26,40,5312663.7082794,2552366.79739179
26,41,5598083.7082794,2640776.79739179
26,42,5625593.7082794,2691626.79739179
26,43,5468003.7082794,2745986.79739179
26,44,5240903.7082794,2749556.79739179
26,45,5313623.7082794,2806826.79739179
26,46,5520533.7082794,2815136.79739179
26,47,5524253.7082794,2656586.79739179
26,48,5513453.7082794,2742266.79739179
26,49,5766053.7082794,2621456.79739179
26,50,5435783.7082794,2712416.79739179
26,51,5488673.7082794,2494106.79739179
26,52,5616683.7082794,2618066.79739179
26,53,5505653.7082794,2813786.79739179
26,54,5580623.7082794,2550386.79739179
26,55,5589143.7082794,2637056.79739179
26,56,5240963.7082794,2726576.79739179
26,57,5360243.7082794,2627126.79739179
26,58,5569523.7082794,2565656.79739179
26,59,5287163.7082794,2481326.79739179
26,60,5447243.7082794,2776346.79739179
26,61,5412053.7082794,2818586.79739179
26,62,5620133.7082794,2703836.79739179
26,63,5403983.7082794,2458346.79739179
26,64,5326733.7082794,2739146.79739179
26,65,5477843.7082794,2592416.79739179
26,66,5431793.7082794,2575136.79739179
26,67,5279903.7082794,2586566.79739179
26,68,5578823.7082794,2593046.79739179
26,69,5218493.7082794,2623646.79739179
26,70,5333363.7082794,2737706.79739179
26,71,5448743.7082794,2642276.79739179
26,72,5231213.7082794,2695706.79739179
26,73,5619743.7082794,2747276.79739179
26,74,5247203.7082794,2519936.79739179
26,75,5512793.7082794,2695226.79739179
26,76,5548973.7082794,2849996.79739179
26,77,5413703.7082794,2607206.79739179
26,78,5633273.7082794,2632916.79739179
26,79,5457833.7082794,2752526.79739179
26,80,5352023.7082794,2479526.79739179
26,81,5582783.7082794,2638676.79739179
26,82,5339663.7082794,2652686.79739179
26,83,5423333.7082794,2610746.79739179
26,84,5464823.7082794,2860466.79739179
26,85,5545913.7082794,2756276.79739179
26,86,5540633.7082794,2781356.79739179
26,87,5270693.7082794,2653406.79739179
26,88,5244593.7082794,2726606.79739179
26,89,5548673.7082794,2754776.79739179
26,90,5251523.7082794,2624426.79739179
26,91,5591903.7082794,2693636.79739179
26,92,5324783.7082794,2836106.79739179
26,93,5586173.7082794,2569826.79739179
26,94,5655863.7082794,2825036.79739179
26,95,5255033.7082794,2662136.79739179
26,96,5269943.7082794,2506616.79739179
26,97,5456873.7082794,2818916.79739179
26,98,5621543.7082794,2799536.79739179
26,99,5458703.7082794,2731046.79739179
26,100,5376293.7082794,2615456.79739179
26,101,5533013.7082794,2694416.79739179
26,102,5490263.7082794,2609546.79739179
26,103,5256503.7082794,2582156.79739179
26,104,5300783.7082794,2586056.79739179
26,105,5387903.7082794,2573216.79739179
26,106,5818973.7082794,2654876.79739179
26,107,5270423.7082794,2480336.79739179
26,108,5373503.7082794,2593436.79739179
26,109,5457593.7082794,2838776.79739179
26,110,5427443.7082794,2561906.79739179
26,111,5350343.7082794,2650616.79739179
26,112,5493443.7082794,2851586.79739179
26,113,5532713.7082794,2661836.79739179
26,114,5571383.7082794,2758586.79739179
26,115,5589833.7082794,2704586.79739179
26,116,5519753.7082794,2879726.79739179
26,117,5262293.7082794,2555156.79739179
26,118,5466113.7082794,2693906.79739179
26,119,5297483.7082794,2534336.79739179
26,120,5580803.7082794,2667326.79739179
26,121,5473403.7082794,2835686.79739179
26,122,5500883.7082794,2777096.79739179
26,123,5267273.7082794,2541176.79739179
26,124,5318033.7082794,2464646.79739179
26,125,5778683.7082794,2631176.79739179
26,126,5674013.7082794,2539046.79739179
26,127,5296253.7082794,2561756.79739179
26,128,5409773.7082794,2755946.79739179
26,129,5315543.7082794,2503586.79739179
26,130,5435123.7082794,2770766.79739179
26,131,5473043.7082794,2609396.79739179
26,132,5550203.7082794,2563136.79739179
26,133,5328353.7082794,2669006.79739179
26,134,5497283.7082794,2793656.79739179
26,135,5263013.7082794,2610386.79739179
26,136,5488523.7082794,2789036.79739179
26,137,5391233.7082794,2603666.79739179
26,138,5547983.7082794,2613176.79739179
26,139,5489633.7082794,2837036.79739179
26,140,5576213.7082794,2648606.79739179
26,141,5528963.7082794,2920886.79739179
26,142,5453273.7082794,2785406.79739179
26,143,5579393.7082794,2883866.79739179
26,144,5339393.7082794,2834546.79739179
26,145,5399453.7082794,2480636.79739179
26,146,5444513.7082794,2599106.79739179
26,147,5348093.7082794,2651336.79739179
26,148,5774603.7082794,2595506.79739179
26,149,5276543.7082794,2605706.79739179
26,150,5441513.7082794,2826026.79739179
26,151,5594153.7082794,2686196.79739179
26,152,5475683.7082794,2866616.79739179
26,153,5344943.7082794,2642186.79739179
26,154,5234543.7082794,2660636.79739179
26,155,5471333.7082794,2829026.79739179
26,156,5560463.7082794,2578976.79739179
26,157,5272013.7082794,2515376.79739179
26,158,5302823.7082794,2562296.79739179
26,159,5548523.7082794,2604536.79739179
26,160,5260703.7082794,2538866.79739179
26,161,5516633.7082794,2482706.79739179
26,162,5459513.7082794,2582576.79739179
26,163,5274503.7082794,2470706.79739179
26,164,5455073.7082794,2759036.79739179
26,165,5309183.7082794,2657486.79739179
26,166,5576783.7082794,2863856.79739179
26,167,5419343.7082794,2494856.79739179
26,168,5592563.7082794,2675426.79739179
26,169,5430983.7082794,2544896.79739179
26,170,5536973.7082794,2824976.79739179
26,171,5237063.7082794,2550296.79739179
26,172,5387243.7082794,2855426.79739179
26,173,5408723.7082794,2444186.79739179
26,174,5437073.7082794,2775836.79739179
26,175,5575343.7082794,2694836.79739179
26,176,5575703.7082794,2855966.79739179
26,177,5579483.7082794,2708816.79739179
26,178,5328953.7082794,2524166.79739179
26,179,5489423.7082794,2697116.79739179
26,180,5516603.7082794,2642516.79739179
26,181,5602733.7082794,2625386.79739179
26,182,5352113.7082794,2482376.79739179
26,183,5222243.7082794,2616836.79739179
26,184,5354633.7082794,2552756.79739179
26,185,5656133.7082794,2482496.79739179
26,186,5426123.7082794,2526656.79739179
26,187,5580743.7082794,2679866.79739179
26,188,5495273.7082794,2818346.79739179
26,189,5483273.7082794,2860226.79739179
26,190,5351363.7082794,2656946.79739179
26,191,5265923.7082794,2682656.79739179
26,192,5322293.7082794,2830346.79739179
26,193,5241593.7082794,2477816.79739179
26,194,5455913.7082794,2837636.79739179
26,195,5274593.7082794,2601806.79739179
26,196,5624933.7082794,2796686.79739179
26,197,5381063.7082794,2612036.79739179
26,198,5371493.7082794,2594006.79739179
26,199,5675993.7082794,2711006.79739179
26,200,5661563.7082794,2739326.79739179
26,201,5362763.7082794,2515616.79739179
26,202,5472263.7082794,2552186.79739179
26,203,5567963.7082794,2651366.79739179
26,204,5291123.7082794,2584016.79739179
26,205,5568563.7082794,2727446.79739179
26,206,5634593.7082794,2852336.79739179
26,207,5458313.7082794,2505386.79739179
26,208,5405303.7082794,2804756.79739179
26,209,5374073.7082794,2619626.79739179
26,210,5677163.7082794,2712686.79739179
26,211,5591753.7082794,2553836.79739179
26,212,5404853.7082794,2524106.79739179
26,213,5552963.7082794,2523386.79739179
26,214,5455673.7082794,2716436.79739179
26,215,5315153.7082794,2758076.79739179
26,216,5300573.7082794,2652626.79739179
26,217,5517143.7082794,2697746.79739179
26,218,5542553.7082794,2726486.79739179
26,219,5382263.7082794,2572616.79739179
26,220,5315513.7082794,2516396.79739179
26,221,5356493.7082794,2757746.79739179
26,222,5363363.7082794,2776526.79739179
26,223,5226653.7082794,2713586.79739179
26,224,5549843.7082794,2768366.79739179
26,225,5423063.7082794,2491466.79739179
26,226,5334413.7082794,2458256.79739179
26,227,5419013.7082794,2758466.79739179
26,228,5297003.7082794,2726636.79739179
26,229,5289923.7082794,2651276.79739179
26,230,5479253.7082794,2748026.79739179
26,231,5314703.7082794,2537906.79739179
26,232,5335763.7082794,2463356.79739179
26,233,5301713.7082794,2525216.79739179
26,234,5595743.7082794,2574986.79739179
26,235,5530313.7082794,2660696.79739179
26,236,5362133.7082794,2548226.79739179
26,237,5256233.7082794,2672216.79739179
26,238,5439773.7082794,2615246.79739179
26,239,5314433.7082794,2661116.79739179
26,240,5561213.7082794,2705216.79739179
26,241,5564843.7082794,2849816.79739179
26,242,5381543.7082794,2761286.79739179
26,243,5564693.7082794,2479796.79739179
26,244,5326253.7082794,2658566.79739179
26,245,5323373.7082794,2495696.79739179
26,246,5515433.7082794,2548316.79739179
26,247,5484143.7082794,2743556.79739179
26,248,5550143.7082794,2680916.79739179
26,249,5344703.7082794,2440586.79739179
26,250,5475893.7082794,2738996.79739179
