project_id,plotid,x,y
30,1,4637311.22814117,2507889.09539598
30,2,4709071.22814117,2543199.09539598
30,3,4709671.22814117,2619699.09539598
30,4,4715971.22814117,2598909.09539598
30,5,4726681.22814117,2501499.09539598
30,6,4706401.22814117,2543769.09539598
30,7,4738651.22814117,2569359.09539598
30,8,4661311.22814117,2500089.09539598
30,9,4710991.22814117,2565699.09539598
30,10,4740061.22814117,2558559.09539598
30,11,4729711.22814117,2551749.09539598
30,12,4731601.22814117,2597289.09539598
30,13,4683871.22814117,2596269.09539598
30,14,4617451.22814117,2553009.09539598
30,15,4695721.22814117,2554539.09539598
30,16,4608271.22814117,2528469.09539598
30,17,4696591.22814117,2620449.09539598
30,18,4719931.22814117,2502309.09539598
30,19,4620691.22814117,2591919.09539598
30,20,4636801.22814117,2526639.09539598
30,21,4724551.22814117,2574069.09539598
30,22,4604941.22814117,2586219.09539598
30,23,4742791.22814117,2590419.09539598
30,24,4715281.22814117,2591889.09539598
30,25,4657111.22814117,2542719.09539598
30,26,4755991.22814117,2546439.09539598
30,27,4683781.22814117,2602719.09539598
30,28,4620931.22814117,2545689.09539598
30,29,4655491.22814117,2538219.09539598
30,30,4721701.22814117,2612529.09539598
30,31,4688791.22814117,2504439.09539598
30,32,4663201.22814117,2536779.09539598
30,33,4705261.22814117,2598099.09539598
30,34,4714771.22814117,2558139.09539598
30,35,4720741.22814117,2598249.09539598
30,36,4703551.22814117,2605449.09539598
30,37,4714561.22814117,2519589.09539598
30,38,4733371.22814117,2501379.09539598
30,39,4599421.22814117,2556519.09539598
30,40,4630051.22814117,2537739.09539598
30,41,4716991.22814117,2528889.09539598
30,42,4702801.22814117,2515329.09539598
30,43,4718101.22814117,2509119.09539598
30,44,4628671.22814117,2560209.09539598
30,45,4659061.22814117,2555499.09539598
30,46,4696021.22814117,2519139.09539598
30,47,4780681.22814117,2611029.09539598
30,48,4697731.22814117,2506989.09539598
30,49,4655371.22814117,2594469.09539598
30,50,4645261.22814117,2517669.09539598
30,51,4617751.22814117,2527779.09539598
30,52,4748071.22814117,2577909.09539598
30,53,4721671.22814117,2566959.09539598
30,54,4656961.22814117,2504229.09539598
30,55,4713811.22814117,2576799.09539598
30,56,4622311.22814117,2513919.09539598
30,57,4750171.22814117,2589789.09539598
30,58,4677961.22814117,2534079.09539598
30,59,4726081.22814117,2506119.09539598
30,60,4672141.22814117,2570049.09539598
30,61,4795621.22814117,2640759.09539598
30,62,4597621.22814117,2571849.09539598
30,63,4719571.22814117,2535039.09539598
30,64,4720351.22814117,2553249.09539598
30,65,4760041.22814117,2595759.09539598
30,66,4699171.22814117,2506029.09539598
30,67,4801501.22814117,2645979.09539598
30,68,4700641.22814117,2517189.09539598
30,69,4721701.22814117,2518209.09539598
30,70,4698901.22814117,2563869.09539598
30,71,4663351.22814117,2570619.09539598
30,72,4705801.22814117,2570829.09539598
30,73,4629721.22814117,2572479.09539598
30,74,4675561.22814117,2600619.09539598
30,75,4697791.22814117,2580129.09539598
30,76,4692751.22814117,2545539.09539598
30,77,4766431.22814117,2585769.09539598
30,78,4600741.22814117,2572869.09539598
