project_id,plotid,x,y
31,1,3615535.50962518,2143033.86166033
31,2,3442015.50962518,2200303.86166033
31,3,2989255.50962518,2194873.86166033
31,4,2968375.50962518,2273173.86166033
31,5,3422875.50962518,1950973.86166033
31,6,3204115.50962518,1841863.86166033
31,7,3414985.50962518,1784773.86166033
31,8,2931025.50962518,1925143.86166033
31,9,3327775.50962518,1989463.86166033
31,10,3321505.50962518,2248183.86166033
31,11,3576805.50962518,2216533.86166033
31,12,2865925.50962518,2326123.86166033
31,13,3490825.50962518,1970233.86166033
31,14,3265975.50962518,1974853.86166033
31,15,3712645.50962518,2165773.86166033
31,16,3274015.50962518,2017363.86166033
31,17,3062725.50962518,2032933.86166033
31,18,3142585.50962518,1671793.86166033
31,19,3145855.50962518,1858513.86166033
31,20,3118585.50962518,1820563.86166033
31,21,2967325.50962518,1656643.86166033
31,22,2948905.50962518,2098903.86166033
31,23,3200905.50962518,2126203.86166033
31,24,3335245.50962518,2196643.86166033
31,25,2969155.50962518,2055703.86166033
31,26,3548785.50962518,2152273.86166033
31,27,3333235.50962518,2281453.86166033
31,28,3215515.50962518,1745293.86166033
31,29,3204745.50962518,2121643.86166033
31,30,3008245.50962518,2202613.86166033
31,31,2996005.50962518,2398093.86166033
31,32,3477205.50962518,1996783.86166033
31,33,3376375.50962518,1872973.86166033
31,34,3223405.50962518,2359963.86166033
31,35,3022585.50962518,1896463.86166033
31,36,3719155.50962518,2139883.86166033
31,37,3614725.50962518,2153953.86166033
31,38,3115015.50962518,2027593.86166033
31,39,3342265.50962518,2319553.86166033
31,40,3130015.50962518,1800613.86166033
31,41,2983225.50962518,2342173.86166033
31,42,2945785.50962518,2001343.86166033
31,43,3476095.50962518,2013193.86166033
31,44,3237205.50962518,2101153.86166033
31,45,3208525.50962518,2286133.86166033
31,46,2882455.50962518,1794733.86166033
31,47,3234415.50962518,2034733.86166033
31,48,3729625.50962518,2144833.86166033
31,49,3135175.50962518,2332483.86166033
31,50,3044695.50962518,1914313.86166033
31,51,3111925.50962518,1932613.86166033
31,52,3278695.50962518,1890313.86166033
31,53,3063025.50962518,2377603.86166033
31,54,3229255.50962518,1832833.86166033
31,55,3439135.50962518,1988143.86166033
31,56,3193585.50962518,2195293.86166033
31,57,2970565.50962518,2326063.86166033
31,58,3616915.50962518,2162773.86166033
31,59,3226525.50962518,2210023.86166033
31,60,2960275.50962518,2082763.86166033
31,61,3294535.50962518,2290183.86166033
31,62,3430405.50962518,1947343.86166033
31,63,3376495.50962518,1825363.86166033
31,64,2907325.50962518,1600783.86166033
31,65,2866735.50962518,1772953.86166033
