project_id,plotid,x,y
32,1,4655090.78318157,3737930.33815617
32,2,4535660.78318157,3826430.33815617
32,3,4496630.78318157,4118990.33815617
32,4,4826900.78318157,5025920.33815617
32,5,4707590.78318157,3838700.33815617
32,6,4806200.78318157,4819940.33815617
32,7,4799660.78318157,4103900.33815617
32,8,4601420.78318157,4164080.33815617
32,9,4818380.78318157,5062940.33815617
32,10,4659890.78318157,4180760.33815617
32,11,4545020.78318157,4543970.33815617
32,12,4627580.78318157,4690610.33815617
32,13,4592960.78318157,4072340.33815617
32,14,4583210.78318157,4429760.33815617
32,15,4444160.78318157,3840350.33815617
32,16,4581470.78318157,4014740.33815617
32,17,4901330.78318157,4863710.33815617
32,18,4807580.78318157,4690100.33815617
32,19,4707890.78318157,4555730.33815617
32,20,4769990.78318157,4123550.33815617
32,21,4670870.78318157,4184960.33815617
32,22,4713800.78318157,3888650.33815617
32,23,4655210.78318157,4603850.33815617
32,24,4510790.78318157,4192550.33815617
32,25,4662830.78318157,4071110.33815617
32,26,4731230.78318157,4150280.33815617
32,27,4624400.78318157,4312100.33815617
32,28,4644140.78318157,4224290.33815617
32,29,4668530.78318157,4837760.33815617
32,30,4836260.78318157,4920740.33815617
32,31,4839680.78318157,4773830.33815617
32,32,4532000.78318157,3648110.33815617
32,33,4475660.78318157,3986480.33815617
32,34,4892000.78318157,4919300.33815617
32,35,4798070.78318157,4701560.33815617
32,36,4614260.78318157,4176110.33815617
32,37,4766600.78318157,4133360.33815617
32,38,4702220.78318157,4607120.33815617
32,39,4790570.78318157,5005910.33815617
32,40,4449110.78318157,4054220.33815617
32,41,4493660.78318157,4163960.33815617
32,42,4572740.78318157,4562960.33815617
32,43,4752650.78318157,4995950.33815617
32,44,4777670.78318157,5032700.33815617
32,45,4627730.78318157,4103660.33815617
32,46,4820120.78318157,5029910.33815617
32,47,4474130.78318157,4363250.33815617
32,48,4633940.78318157,3706130.33815617
32,49,4716560.78318157,4461740.33815617
32,50,4741100.78318157,4108370.33815617
32,51,4927370.78318157,4899620.33815617
32,52,4560200.78318157,3894260.33815617
32,53,4637930.78318157,3716210.33815617
32,54,4508960.78318157,3901790.33815617
32,55,4793600.78318157,4600850.33815617
32,56,4511570.78318157,4391270.33815617
32,57,4659740.78318157,3779720.33815617
