project_id,plotid,year,day,landuse,landcover,change_process
1,3,1984,199,Forest,Treed,
1,3,2018,203,Forest,Treed,Stable
1,8,1984,199,Forest,Treed,
1,8,2018,203,Forest,Treed,Stable
1,15,1984,199,Forest,Treed,
1,15,2018,203,Forest,Treed,Stable
1,18,1984,215,Forest,Treed,
1,18,2018,203,Forest,Treed,Stable
1,35,1984,197,Forest,Treed,
1,35,2018,202,Forest,Treed,Stable
1,11,1984,254,Forest,Treed,
1,11,2018,203,Forest,Treed,Stable
1,46,1984,199,Forest,Treed,
1,46,2018,203,Forest,Treed,Stable
1,61,1984,199,Forest,Treed,
1,61,2018,203,Forest,Treed,Stable
1,55,1984,199,Forest,Treed,
1,55,2018,203,Forest,Treed,Stable
1,62,1984,199,Forest,Treed,
1,62,2018,203,Forest,Treed,Stable
1,71,1984,206,Forest,Treed,
1,71,2018,203,Forest,Treed,Stable
1,87,1984,231,Forest,Treed,
1,87,2018,203,Forest,Treed,Stable
1,154,1984,254,Forest,Treed,
1,154,2018,203,Forest,Treed,Stable
1,2,1984,199,Forest,Treed,
1,2,2018,196,Forest,Treed,Stable
1,28,1984,199,Forest,Treed,
1,28,2018,203,Forest,Treed,Stable
1,5,1984,215,Forest,Treed,
1,5,2018,203,Forest,Treed,Stable
1,4,1984,197,Forest,Treed,
1,4,2018,202,Forest,Treed,Stable
1,1,1984,199,Forest,Treed,
1,1,2012,195,Forest,Treed,Stable
1,1,2013,198,Forest,Treed,Unknown canopy disturbance
1,1,2018,203,Forest,Treed,Regrowth
1,6,1984,215,Forest,Treed,
1,6,2018,203,Forest,Treed,Stable
1,7,1984,199,Forest,Treed,
1,7,1990,190,Forest,Non-treed,Unknown canopy disturbance
1,7,2004,205,Forest,Treed,Regrowth
1,7,2018,203,Forest,Treed,Stable
1,10,1984,174,Other,Non-treed,
1,10,2018,203,Other,Non-treed,Stable
1,13,1984,174,Forest,Treed,
1,13,2010,197,Forest,Treed,Stable
1,13,2011,200,Forest,Non-treed,Harvest
1,13,2018,203,Forest,Treed,Regrowth
1,14,1984,199,Forest,Treed,
