project_id,year,day,landuse,landcover,change_process,plotid
2,1984,248,Forest,Trees,NA,1
2,2016,215,Forest,Trees,Stable,1
2,1984,218,Forest,Trees,NA,2
2,1999,212,Forest,Trees,Stable,2
2,2000,215,Forest,Non-tree,Harvest,2
2,2016,226,Forest,Non-tree,Growth/Recovery,2
2,1984,218,Forest,Trees,NA,3
2,2016,258,Forest,Trees,Stable,3
2,1984,193,Forest,Non-tree,NA,4
2,2016,217,Forest,Non-tree,Stable,4
2,1984,193,Forest,Trees,NA,5
2,2016,217,Forest,Trees,Stable,5
2,1984,218,Forest,Trees,NA,6
2,2016,201,Forest,Trees,Stable,6
2,1984,193,Forest,Trees,NA,7
2,2016,217,Forest,Trees,Stable,7
2,1984,218,Forest,Trees,NA,8
2,2016,178,Forest,Trees,Stable,8
2,1984,193,Forest,Trees,NA,9
2,2016,217,Forest,Trees,Stable,9
2,1984,193,Forest,Trees,NA,10
2,1993,208,Forest,Trees,Stable,10
2,1994,211,Forest,Non-tree,Harvest,10
2,2015,213,Forest,Trees,Stable,10
2,1984,248,Forest,Trees,NA,11
2,2016,216,Forest,Trees,Stable,11
2,1984,218,Forest,Trees,NA,12
2,1996,226,Forest,Trees,Stable,12
2,1997,212,Forest,Trees,Harvest,12
2,2016,202,Forest,Trees,Stable,12
2,1984,218,Forest,Trees,NA,13
2,2016,194,Forest,Trees,Stable,13
2,1984,234,Forest,Trees,NA,14
2,2016,209,Forest,Trees,Stable,14
2,1984,218,Forest,Trees,NA,15
2,2016,217,Forest,Trees,Stable,15
2,1984,218,Forest,Trees,NA,16
2,2016,217,Forest,Trees,Stable,16
2,1984,193,Forest,Trees,NA,17
2,2016,217,Forest,Trees,Stable,17
2,1984,218,Forest,Trees,NA,18
2,2016,226,Forest,Trees,Stable,18
2,1984,218,Forest,Trees,NA,19
2,2002,243,Forest,Trees,Stable,19
2,2004,217,Forest,Non-tree,Harvest,19
2,2011,235,Forest,Non-tree,Growth/Recovery,19
2,2016,241,Forest,Trees,Stable,19
2,1984,218,Forest,Trees,NA,20
2,2016,226,Forest,Trees,Stable,20
2,1984,193,Forest,Trees,NA,21
2,1993,217,Forest,Trees,Stable,21
2,1995,223,Forest,Trees,Harvest,21
