project_id,plotid,year,day,landuse,landcover,change_process
3,1,1984,190,Forest,Treed,
3,1,2018,188,Forest,Treed,Stable
3,2,1984,215,Forest,Treed,
3,2,2018,196,Forest,Treed,Stable
3,3,1984,190,Forest,Treed,
3,3,2018,219,Forest,Treed,Stable
3,4,1984,240,Other,Non-treed,
3,4,2018,212,Other,Non-treed,Stable
3,5,1984,190,Forest,Treed,
3,5,2018,203,Forest,Treed,Stable
3,7,1984,153,Forest,Treed,
3,7,2018,214,Forest,Treed,Stable
3,8,1984,190,Forest,Treed,
3,8,2018,212,Forest,Treed,Stable
3,9,1984,233,Forest,Treed,
3,9,2018,198,Forest,Treed,Stable
3,10,1984,219,Forest,Treed,
3,10,2018,192,Forest,Treed,Stable
3,11,1984,190,Forest,Treed,
3,11,2018,219,Forest,Treed,Stable
3,12,1984,112,Forest,Treed,
3,12,2018,212,Forest,Treed,Stable
3,15,1984,222,Forest,Treed,
3,15,2018,203,Forest,Treed,Stable
3,16,1984,153,Forest,Treed,
3,16,2001,199,Forest,Treed,Stable
3,16,2002,201,Forest,Treed,Unknown canopy disturbance
3,16,2018,214,Forest,Treed,Stable
3,17,1984,171,Forest,Treed,
3,17,2018,216,Forest,Treed,Stable
3,18,1984,215,Forest,Treed,
3,18,2018,212,Forest,Treed,Stable
3,19,1984,153,Forest,Treed,
3,19,2018,214,Forest,Treed,Stable
3,20,1984,235,Forest,Treed,
3,20,1989,207,Forest,Treed,Stable
3,20,1990,130,Forest,Treed,Unknown canopy disturbance
3,20,2001,192,Forest,Treed,Stable
3,20,2002,219,Forest,Treed,Unknown canopy disturbance
3,20,2018,214,Forest,Treed,Stable
3,21,1984,203,Forest,Treed,
3,21,2018,223,Forest,Treed,Stable
3,22,1984,151,Forest,Treed,
3,22,2015,197,Forest,Treed,Stable
3,22,2016,184,Forest,Treed,Unknown canopy disturbance
3,22,2018,189,Forest,Treed,Stable
3,23,1984,190,Other,Non-treed,
3,23,1987,198,Other,Non-treed,Stable
3,23,1988,201,Forest,Treed,Regrowth
3,23,2013,189,Forest,Treed,Stable
3,23,2014,216,Forest,Treed,Unknown canopy disturbance
3,23,2018,212,Forest,Treed,Stable
3,24,1984,215,Forest,Treed,
3,24,2018,188,Forest,Treed,Stable
3,25,1984,215,Forest,Treed,
3,25,2018,236,Forest,Treed,Stable
3,26,1984,153,Forest,Treed,
3,26,2018,214,Forest,Treed,Stable
3,27,1984,240,Other,Non-treed,
3,27,1987,216,Other,Non-treed,Stable
3,27,1988,211,Forest,Treed,Regrowth
3,27,2018,222,Forest,Treed,Stable
3,28,1984,233,Forest,Treed,
3,28,2018,205,Forest,Treed,Stable
3,29,1984,233,Forest,Treed,
3,29,2014,202,Forest,Treed,Stable
3,29,2015,198,Forest,Treed,Unknown canopy disturbance
3,29,2018,189,Forest,Treed,Stable
3,30,1984,203,Other,Non-treed,
3,30,2010,201,Other,Non-treed,Stable
