project_id,plotid,year,day,landuse,landcover,change_process
4,1,1984,187,Other,Non-treed,
4,1,2018,200,Other,Non-treed,Stable
4,2,1984,226,Forest,Treed,
4,2,2018,207,Forest,Treed,Stable
4,3,1984,187,Forest,Treed,
4,3,2018,200,Forest,Treed,Stable
4,4,1984,169,Other,Non-treed,
4,4,2018,207,Other,Non-treed,Stable
4,5,1984,187,Forest,Treed,
4,5,2018,200,Forest,Treed,Stable
4,6,1984,171,Forest,Treed,
4,6,2018,200,Forest,Treed,Stable
4,7,1984,235,Other,Non-treed,
4,7,2018,207,Other,Non-treed,Other
4,8,1984,171,Other,Non-treed,
4,8,2018,200,Other,Non-treed,Stable
4,9,1984,187,Other,Non-treed,
4,9,2018,200,Other,Non-treed,Stable
4,11,1984,187,Other,Non-treed,
4,11,2018,200,Other,Non-treed,Stable
4,12,1984,162,Other,Non-treed,
4,12,2018,199,Other,Non-treed,Stable
4,13,1984,233,Other,Non-treed,
4,13,2018,206,Other,Non-treed,Stable
4,14,1984,226,Other,Non-treed,
4,14,2018,207,Other,Non-treed,Stable
4,15,1984,169,Other,Non-treed,
4,15,2018,199,Other,Non-treed,Stable
4,16,1984,226,Other,Non-treed,
4,16,2018,200,Other,Non-treed,Stable
4,17,1984,187,Forest,Treed,
4,17,1986,215,Forest,Non-treed,Stable
4,17,1987,195,Forest,Treed,Harvest
4,17,1992,208,Forest,Treed,Regrowth
4,17,2018,200,Forest,Treed,Stable
4,18,1984,178,Other,Non-treed,
4,18,2018,199,Other,Non-treed,Stable
4,19,1984,187,Forest,Treed,
4,19,1990,203,Forest,Non-treed,Stable
4,19,1991,222,Forest,Treed,Unknown canopy disturbance
4,19,1998,225,Forest,Treed,Regrowth
4,19,2018,200,Forest,Treed,Stable
4,20,1984,171,Forest,Treed,
4,20,2018,200,Forest,Treed,Stable
4,21,1984,171,Forest,Treed,
4,21,2018,200,Forest,Treed,Stable
4,22,1984,226,Other,Non-treed,
4,22,2018,207,Other,Non-treed,Stable
4,23,1984,171,Forest,Treed,
4,23,2012,231,Forest,Treed,Stable
4,23,2013,201,Forest,Non-treed,Harvest
4,23,2016,202,Forest,Non-treed,Harvest
4,23,2018,208,Forest,Treed,Regrowth
4,24,1984,187,Forest,Treed,
4,24,1994,198,Forest,Treed,Regrowth
4,24,2018,199,Forest,Treed,Stable
4,25,1984,171,Forest,Treed,
4,25,2005,195,Forest,Treed,Stable
4,25,2006,199,Forest,Non-treed,Harvest
4,25,2008,197,Forest,Non-treed,Harvest
4,25,2013,201,Forest,Treed,Regrowth
4,25,2018,184,Forest,Treed,Stable
4,26,1984,235,Forest,Treed,
4,26,2018,199,Forest,Treed,Stable
4,27,1984,178,Other,Non-treed,
4,27,2018,199,Other,Non-treed,Stable
4,28,1984,171,Forest,Treed,
4,28,2018,199,Forest,Treed,Stable
4,29,1984,162,Forest,Treed,
4,29,2018,199,Forest,Treed,Stable
4,30,1984,187,Forest,Treed,
4,30,2018,200,Forest,Treed,Stable
4,31,1984,187,Forest,Treed,
4,31,2018,200,Forest,Treed,Stable
4,32,1984,226,Forest,Treed,
4,32,2018,199,Forest,Treed,Stable
4,33,1984,226,Forest,Treed,
4,33,1989,207,Forest,Treed,Stable
4,33,1990,194,Forest,Non-treed,Stable
4,33,1993,74,Forest,Non-treed,Unknown canopy disturbance
4,33,1997,204,Forest,Treed,Regrowth
4,33,2018,198,Forest,Treed,Stable
4,34,1984,235,Forest,Treed,
4,34,2018,207,Forest,Treed,Stable
4,35,1984,187,Forest,Treed,
4,35,2004,201,Forest,Treed,Stable
4,35,2006,199,Forest,Non-treed,Harvest
4,35,2013,201,Forest,Treed,Regrowth
