project_id,plotid,year,day,landuse,landcover,change_process
5,9,1984,204,Forest,Treed,
5,9,2018,193,Forest,Treed,Stable
5,28,1984,197,Forest,Treed,
5,28,2018,201,Forest,Treed,Stable
5,30,1984,197,Forest,Treed,
5,30,2018,218,Forest,Treed,Stable
5,35,1984,197,Forest,Treed,
5,35,2018,202,Forest,Treed,Stable
5,45,1984,197,Forest,Treed,
5,45,2018,202,Forest,Treed,Stable
5,52,1984,204,Forest,Treed,
5,52,2018,201,Forest,Treed,Stable
5,56,1984,197,Forest,Treed,
5,56,2018,201,Forest,Treed,Stable
5,76,1984,197,Forest,Treed,
5,76,2018,210,Forest,Treed,Stable
5,81,1984,197,Forest,Treed,
5,81,2018,202,Forest,Treed,Stable
5,85,1984,204,Forest,Treed,
5,85,2018,200,Forest,Treed,Stable
5,98,1984,204,Forest,Treed,
5,98,2018,201,Forest,Treed,Stable
5,100,1984,197,Forest,Treed,
5,100,2018,186,Forest,Treed,Stable
5,102,1984,179,Forest,Treed,
5,102,2018,200,Forest,Treed,Stable
5,111,1984,179,Forest,Treed,
5,111,2018,200,Forest,Treed,Stable
5,42,1984,204,Forest,Treed,
5,42,2000,200,Forest,Treed,Stable
5,42,2001,194,Forest,Treed,Unknown canopy disturbance
5,42,2018,200,Forest,Treed,Stable
5,31,1984,204,Forest,Treed,
5,31,2018,201,Forest,Treed,Stable
5,33,1984,197,Forest,Treed,
5,33,2018,201,Forest,Treed,Stable
5,37,1984,197,Forest,Treed,
5,37,2018,218,Forest,Treed,Stable
5,39,1984,197,Forest,Treed,
5,39,2018,201,Forest,Treed,Stable
5,48,1984,197,Forest,Treed,
5,48,2018,201,Forest,Treed,Stable
5,50,1984,197,Forest,Treed,
5,50,2018,202,Forest,Treed,Stable
5,58,1984,197,Forest,Treed,
5,58,2018,202,Forest,Treed,Stable
5,59,1984,197,Forest,Treed,
5,59,2018,201,Forest,Treed,Stable
5,60,1984,197,Forest,Treed,
5,60,2018,202,Forest,Treed,Stable
5,71,1984,204,Forest,Treed,
5,71,2018,201,Forest,Treed,Stable
5,73,1984,204,Forest,Treed,
5,73,2018,201,Forest,Treed,Stable
5,75,1984,163,Forest,Treed,
5,75,2018,200,Forest,Treed,Stable
5,82,1984,197,Forest,Treed,
5,82,2018,201,Forest,Treed,Stable
5,91,1984,204,Other,Non-treed,
5,91,2018,201,Other,Non-treed,Stable
5,92,1984,204,Forest,Treed,
5,92,2018,201,Forest,Treed,Stable
5,110,1984,197,Forest,Treed,
5,110,2018,201,Forest,Treed,Stable
5,112,1984,197,Forest,Treed,
5,112,2018,202,Forest,Treed,Stable
5,95,1984,179,Forest,Treed,
5,95,2018,200,Forest,Treed,Stable
5,3,1984,197,Forest,Treed,
5,3,2018,201,Forest,Treed,Stable
5,8,1984,204,Forest,Treed,
5,8,2018,201,Forest,Treed,Stable
5,14,1984,204,Forest,Treed,
5,14,2018,200,Forest,Treed,Stable
5,16,1984,197,Forest,Treed,
5,16,2018,202,Forest,Treed,Stable
5,34,1984,197,Forest,Treed,
5,34,2018,201,Forest,Treed,Stable
5,61,1984,197,Forest,Treed,
5,61,2018,202,Forest,Treed,Stable
5,68,1984,197,Forest,Treed,
5,68,2018,202,Forest,Treed,Stable
5,74,1984,197,Forest,Treed,
5,74,2018,201,Forest,Treed,Stable
5,78,1984,197,Forest,Treed,
