project_id,plotid,year,day,landuse,landcover,change_process
6,1,1984,201,Forest,Treed,
6,1,2012,197,Forest,Treed,Stable
6,1,2013,207,Forest,Non-treed,Unknown canopy disturbance
6,1,2017,202,Forest,Non-treed,Stable
6,1,2018,205,Forest,Treed,Regrowth
6,2,1984,199,Forest,Treed,
6,2,2018,197,Forest,Treed,Stable
6,3,1984,185,Forest,Treed,
6,3,2018,198,Forest,Treed,Stable
6,4,1984,178,Forest,Treed,
6,4,2018,215,Forest,Treed,Stable
6,5,1984,178,Forest,Treed,
6,5,1985,212,Forest,Non-treed,Unknown canopy disturbance
6,5,2018,215,Forest,Non-treed,Stable
6,6,1984,201,Forest,Treed,
6,6,2018,182,Forest,Treed,Stable
6,7,1984,201,Forest,Treed,
6,7,2018,214,Forest,Treed,Stable
6,8,1984,226,Forest,Treed,
6,8,2018,215,Forest,Treed,Stable
6,9,1984,176,Other,Non-treed,
6,9,2018,212,Other,Non-treed,Stable
6,10,1984,201,Other,Non-treed,
6,10,2018,198,Other,Non-treed,Stable
6,11,1984,201,Forest,Treed,
6,11,2018,214,Forest,Treed,Stable
6,14,1984,178,Forest,Treed,
6,14,2011,204,Forest,Treed,Stable
6,14,2012,199,Forest,Treed,Unknown canopy disturbance
6,14,2018,215,Forest,Treed,Stable
6,15,1984,203,Forest,Treed,
6,15,2018,199,Forest,Treed,Stable
6,16,1984,201,Forest,Treed,
6,16,2018,198,Forest,Treed,Stable
6,18,1984,201,Forest,Treed,
6,18,2018,198,Forest,Treed,Stable
6,19,1984,203,Forest,Treed,
6,19,2018,200,Forest,Treed,Stable
6,20,1984,192,Forest,Treed,
6,20,2018,229,Forest,Treed,Stable
6,17,1984,192,Forest,Treed,
6,17,2018,197,Forest,Treed,Stable
6,12,1984,178,Forest,Treed,
6,12,2006,198,Forest,Treed,Stable
6,12,2007,185,Forest,Treed,Harvest
6,12,2009,198,Forest,Treed,Stable
6,12,2010,209,Forest,Treed,Harvest
6,12,2018,199,Forest,Treed,Stable
6,13,1984,201,Forest,Non-treed,
6,13,1993,200,Forest,Treed,Regrowth
6,13,2018,182,Forest,Treed,Stable
6,21,1984,242,Forest,Treed,
6,21,2018,215,Forest,Treed,Stable
6,100,1984,192,Forest,Treed,
6,100,1985,226,Forest,Non-treed,Unknown canopy disturbance
6,100,2006,196,Forest,Treed,Regrowth
6,100,2018,197,Forest,Treed,Stable
6,99,1984,192,Other,Non-treed,
6,99,2018,197,Other,Non-treed,Stable
6,98,1984,178,Forest,Treed,
6,98,1986,215,Forest,Treed,Stable
6,98,1987,202,Forest,Non-treed,Unknown canopy disturbance
6,98,1992,184,Forest,Treed,Regrowth
6,98,2018,199,Forest,Treed,Stable
6,97,1984,201,Forest,Treed,
6,97,2008,194,Forest,Treed,Stable
6,97,2009,204,Forest,Treed,Unknown canopy disturbance
6,97,2018,197,Forest,Treed,Stable
6,96,1984,201,Other,Non-treed,
6,96,2018,214,Other,Non-treed,Stable
6,95,1984,201,Forest,Treed,
6,95,2018,206,Forest,Treed,Stable
6,94,1984,201,Forest,Treed,
6,94,2018,198,Forest,Treed,Stable
6,93,1984,201,Forest,Treed,
6,93,2018,183,Forest,Treed,Stable
6,92,1984,192,Forest,Treed,
6,92,2018,197,Forest,Treed,Stable
6,90,1984,203,Forest,Treed,
6,90,2018,192,Forest,Treed,Stable
6,89,1984,201,Forest,Treed,
6,89,1992,207,Forest,Treed,Stable
6,89,1993,193,Other,Non-treed,Unknown canopy disturbance
6,89,2010,200,Forest,Non-treed,Stable
6,89,2012,190,Forest,Treed,Regrowth
6,89,2018,190,Forest,Treed,Stable
6,88,1984,192,Other,Non-treed,
6,88,2018,213,Other,Non-treed,Stable
6,87,1984,203,Other,Non-treed,
6,87,2018,200,Other,Non-treed,Stable
6,86,1984,201,Forest,Non-treed,
6,86,2001,208,Forest,Treed,Regrowth
6,86,2018,198,Forest,Treed,Stable
6,85,1984,192,Forest,Treed,
6,85,2018,173,Forest,Treed,Stable
6,84,1984,192,Other,Non-treed,
6,84,2018,196,Other,Non-treed,Stable
6,83,1984,201,Forest,Treed,
6,83,2018,197,Forest,Treed,Stable
6,82,1984,201,Forest,Treed,
6,82,2003,198,Forest,Treed,Stable
6,82,2004,200,Forest,Non-treed,Unknown canopy disturbance
6,82,2013,200,Forest,Treed,Regrowth
6,82,2018,198,Forest,Treed,Stable
6,81,1984,203,Forest,Treed,
6,81,1988,198,Forest,Treed,Stable
