project_id,plotid,year,day,landuse,landcover,change_process
7,1,1984,170,Forest,Treed,
7,1,2018,199,Forest,Treed,Stable
7,2,1984,234,Forest,Treed,
7,2,2018,199,Forest,Treed,Stable
7,3,1984,204,Forest,Treed,
7,3,2018,184,Forest,Treed,Stable
7,4,1984,170,Forest,Treed,
7,4,2018,207,Forest,Treed,Stable
7,5,1984,197,Forest,Treed,
7,5,2018,202,Forest,Treed,Stable
7,6,1984,170,Forest,Treed,
7,6,2018,207,Forest,Treed,Stable
7,7,1984,179,Forest,Treed,
7,7,2018,208,Forest,Treed,Stable
7,8,1984,204,Forest,Treed,
7,8,2018,201,Forest,Treed,Stable
7,9,1984,179,Forest,Treed,
7,9,2018,200,Forest,Treed,Stable
7,10,1984,179,Forest,Treed,
7,10,2018,200,Forest,Treed,Stable
7,11,1984,163,Other,Non-treed,
7,11,2018,200,Other,Non-treed,Stable
7,12,1984,193,Forest,Treed,
7,12,2018,199,Forest,Treed,Stable
7,13,1984,179,Other,Non-treed,
7,13,2018,200,Other,Non-treed,Stable
7,14,1984,170,Forest,Treed,
7,14,2018,200,Forest,Treed,Stable
7,15,1984,204,Forest,Treed,
7,15,2018,201,Forest,Treed,Stable
7,16,1984,170,Forest,Treed,
7,16,2018,199,Forest,Treed,Stable
7,17,1984,179,Forest,Treed,
7,17,2018,200,Forest,Treed,Stable
7,19,1984,179,Forest,Treed,
7,19,2018,200,Forest,Treed,Stable
7,20,1984,179,Other,Non-treed,
7,20,2018,200,Other,Non-treed,Stable
7,22,1984,179,Forest,Treed,
7,22,2018,200,Forest,Treed,Stable
7,23,1984,170,Forest,Treed,
7,23,2013,201,Forest,Treed,Stable
7,23,2014,188,Forest,Non-treed,Harvest
7,23,2018,207,Forest,Treed,Regrowth
7,24,1984,204,Forest,Treed,
7,24,2018,201,Forest,Treed,Stable
7,25,1984,179,Forest,Treed,
7,25,2018,200,Forest,Treed,Stable
7,26,1984,177,Forest,Treed,
7,26,2018,199,Forest,Treed,Stable
7,27,1984,179,Other,Non-treed,
7,27,2018,200,Other,Non-treed,Stable
7,28,1984,179,Forest,Treed,
7,28,2018,200,Forest,Treed,Stable
7,29,1984,193,Forest,Treed,
7,29,2018,198,Forest,Treed,Stable
7,31,1984,179,Other,Non-treed,
7,31,2018,200,Other,Non-treed,Stable
7,32,1984,179,Forest,Treed,
7,32,2018,200,Forest,Treed,Stable
7,33,1984,197,Forest,Treed,
7,33,2018,201,Forest,Treed,Stable
7,34,1984,179,Forest,Treed,
7,34,2018,199,Forest,Treed,Stable
7,35,1984,179,Other,Non-treed,
7,35,2018,200,Other,Non-treed,Stable
7,36,1984,193,Forest,Treed,
7,36,1994,197,Forest,Treed,Stable
7,36,1995,200,Other,Non-treed,Harvest
7,36,2018,199,Other,Non-treed,Stable
7,37,1984,179,Forest,Treed,
7,37,2018,200,Forest,Treed,Stable
7,38,1984,179,Forest,Treed,
7,38,2018,200,Forest,Treed,Stable
7,39,1984,204,Forest,Treed,
7,39,2018,201,Forest,Treed,Stable
7,40,1984,179,Forest,Treed,
7,40,2018,200,Forest,Treed,Stable
7,41,1984,179,Forest,Treed,
7,41,2010,202,Forest,Treed,Stable
7,41,2011,197,Forest,Treed,Unknown canopy disturbance
7,41,2018,200,Forest,Treed,Stable
7,42,1984,179,Forest,Treed,
7,42,2018,200,Forest,Treed,Stable
7,43,1984,204,Forest,Treed,
7,43,2018,200,Forest,Treed,Stable
7,44,1984,179,Forest,Treed,
7,44,2018,200,Forest,Treed,Stable
7,45,1984,234,Forest,Treed,
7,45,2018,207,Forest,Treed,Stable
7,46,1984,179,Forest,Treed,
7,46,2018,215,Forest,Treed,Stable
7,47,1984,204,Forest,Treed,
7,47,2018,200,Forest,Treed,Stable
7,48,1984,204,Forest,Treed,
7,48,2018,201,Forest,Treed,Stable
7,49,1984,179,Forest,Treed,
7,49,2012,200,Forest,Treed,Stable
7,49,2013,210,Forest,Treed,Unknown canopy disturbance
7,49,2018,200,Forest,Treed,Stable
7,50,1984,179,Forest,Treed,
7,50,2018,200,Forest,Treed,Stable
7,51,1984,204,Other,Non-treed,
7,51,2018,200,Other,Non-treed,Stable
7,52,1984,204,Forest,Treed,
7,52,2018,201,Forest,Treed,Stable
7,53,1984,179,Forest,Treed,
7,53,2018,207,Forest,Treed,Stable
7,54,1984,179,Forest,Treed,
7,54,2018,199,Forest,Treed,Stable
7,55,1984,179,Forest,Treed,
7,55,2018,191,Forest,Treed,Stable
7,56,1984,170,Other,Non-treed,
7,56,2018,200,Other,Non-treed,Stable
7,57,1984,179,Forest,Treed,
7,57,2018,200,Forest,Treed,Stable
7,58,1984,179,Other,Non-treed,
7,58,2018,207,Other,Non-treed,Stable
7,59,1984,179,Other,Non-treed,
7,59,2018,200,Other,Non-treed,Stable
7,60,1984,204,Forest,Treed,
7,60,1986,209,Forest,Treed,Unknown canopy disturbance
7,60,2018,201,Forest,Treed,Stable
7,61,1984,179,Forest,Treed,
7,61,2018,200,Forest,Treed,Stable
7,62,1984,179,Other,Non-treed,
7,62,2018,200,Other,Non-treed,Stable
7,63,1984,179,Forest,Treed,
7,63,2018,200,Forest,Treed,Stable
7,64,1984,179,Forest,Treed,
7,64,2018,200,Forest,Treed,Stable
7,65,1984,179,Forest,Treed,
7,65,2018,200,Forest,Treed,Stable
7,66,1984,197,Forest,Treed,
7,66,2018,201,Forest,Treed,Stable
7,67,1984,163,Forest,Treed,
7,67,2018,208,Forest,Treed,Stable
7,68,1984,163,Forest,Treed,
7,68,2018,200,Forest,Treed,Stable
7,70,1984,204,Forest,Treed,
7,70,2018,200,Forest,Treed,Stable
7,69,1984,179,Forest,Treed,
7,69,2018,200,Forest,Treed,Stable
7,71,1984,204,Forest,Treed,
7,71,2018,201,Forest,Treed,Stable
7,72,1984,170,Forest,Treed,
7,72,2018,200,Forest,Treed,Stable
7,73,1984,204,Other,Non-treed,
7,73,2018,201,Other,Non-treed,Stable
7,74,1984,204,Other,Non-treed,
7,74,2018,201,Other,Non-treed,Stable
7,75,1984,179,Forest,Treed,
7,75,2018,200,Forest,Treed,Stable
7,76,1984,163,Forest,Treed,
7,76,2018,208,Forest,Treed,Stable
7,77,1984,193,Forest,Treed,
7,77,2018,199,Forest,Treed,Stable
7,78,1984,179,Forest,Treed,
7,78,2018,199,Forest,Treed,Stable
7,79,1984,179,Forest,Treed,
7,79,2018,199,Forest,Treed,Stable
7,80,1984,204,Forest,Treed,
7,80,2018,201,Forest,Treed,Stable
7,81,1984,193,Forest,Treed,
7,81,2018,199,Forest,Treed,Stable
7,82,1984,204,Other,Non-treed,
7,82,2018,201,Other,Non-treed,Stable
7,83,1984,179,Forest,Treed,
7,83,2018,200,Forest,Treed,Stable
7,84,1984,170,Forest,Treed,
7,84,2018,208,Forest,Treed,Stable
7,85,1984,197,Forest,Treed,
7,85,2018,201,Forest,Treed,Stable
7,86,1984,179,Other,Non-treed,
7,86,2018,199,Other,Non-treed,Stable
7,88,1984,179,Forest,Treed,
7,88,2018,199,Forest,Treed,Stable
