project_id,year,day,landuse,landcover,change_process,plotid
8,1984,218,Forest,Trees,NA,1
8,2017,213,Forest,Trees,Stable,1
8,1984,259,Forest,Trees,NA,2
8,2017,213,Forest,Trees,Stable,2
8,1984,232,Forest,Trees,NA,3
8,1986,212,Forest,Trees,Stable,3
8,1987,192,Forest,Non-tree,Harvest,3
8,2017,217,Forest,Trees,Growth/Recovery,3
8,1984,232,Forest,Trees,NA,4
8,1985,225,Forest,Non-tree,Harvest,4
8,2001,230,Forest,Trees,Growth/Recovery,4
8,2017,226,Forest,Trees,Stable,4
8,1984,259,Forest,Trees,NA,5
8,1986,216,Forest,Trees,Stable,5
8,1987,235,Forest,Non-tree,Harvest,5
8,1997,230,Forest,Trees,Growth/Recovery,5
8,2017,213,Forest,Trees,Stable,5
8,1984,232,Forest,Trees,NA,6
8,2017,217,Forest,Trees,Stable,6
8,1984,232,Forest,Trees,NA,7
8,2017,210,Forest,Trees,Stable,7
8,1984,243,Forest,Trees,NA,8
8,2017,213,Forest,Trees,Stable,8
8,1984,259,Forest,Trees,NA,9
8,2015,216,Forest,Trees,Stable,9
8,2016,203,Forest,Trees,Harvest,9
8,2017,213,Forest,Trees,Stable,9
8,1984,234,Forest,Trees,NA,10
8,1989,222,Forest,Trees,Stable,10
8,1990,289,Forest,Non-tree,Harvest,10
8,1999,218,Forest,Trees,Growth/Recovery,10
8,2017,212,Forest,Trees,Stable,10
8,1984,193,Forest,Trees,NA,11
8,2017,211,Forest,Trees,Stable,11
8,1984,234,Forest,Trees,NA,12
8,2014,220,Forest,Trees,Stable,12
8,2015,198,Forest,Non-tree,Harvest,12
8,2017,212,Forest,Non-tree,Stable,12
8,1984,193,Forest,Trees,NA,13
8,2017,219,Forest,Trees,Stable,13
8,1984,243,Forest,Trees,NA,14
8,2017,213,Forest,Trees,Stable,14
8,1984,193,Forest,Trees,NA,15
8,1987,192,Forest,Trees,Stable,15
8,1988,219,Forest,Non-tree,Harvest,15
8,2000,229,Forest,Trees,Growth/Recovery,15
8,2017,218,Forest,Trees,Stable,15
8,1984,234,Forest,Trees,NA,16
8,1995,223,Forest,Trees,Stable,16
8,1996,203,Forest,Non-tree,Harvest,16
8,2017,212,Forest,Trees,Growth/Recovery,16
8,1984,234,Forest,Trees,NA,17
8,2017,213,Forest,Trees,Stable,17
8,1984,193,Forest,Trees,NA,18
8,2009,213,Forest,Trees,Stable,18
8,2010,232,Forest,Trees,Harvest,18
8,2017,219,Forest,Trees,Growth/Recovery,18
8,1984,234,Forest,Trees,NA,19
8,2017,212,Forest,Trees,Stable,19
8,1984,259,Forest,Trees,NA,20
8,2017,213,Forest,Trees,Stable,20
8,1984,232,Forest,Trees,NA,21
8,1987,192,Forest,Trees,Stable,21
8,1988,211,Forest,Non-tree,Harvest,21
8,1998,213,Forest,Trees,Growth/Recovery,21
8,2017,217,Forest,Trees,Stable,21
8,1984,234,Forest,Trees,NA,22
8,2017,211,Forest,Trees,Stable,22
8,1984,218,Forest,Trees,NA,23
8,2017,212,Forest,Trees,Stable,23
8,1984,193,Forest,Trees,NA,24
8,2017,211,Forest,Trees,Stable,24
8,1984,218,Forest,Trees,NA,25
8,1999,219,Forest,Trees,Stable,25
8,2000,222,Forest,Non-tree,Harvest,25
8,2017,212,Forest,Trees,Growth/Recovery,25
8,1984,264,Forest,Trees,NA,26
8,1990,216,Forest,Trees,Growth/Recovery,26
8,2017,226,Forest,Trees,Stable,26
8,1984,287,Forest,Trees,NA,27
8,1994,211,Forest,Trees,Stable,27
8,1995,214,Forest,Trees,Harvest,27
8,2017,217,Forest,Trees,Growth/Recovery,27
8,1984,234,Forest,Trees,NA,28
8,1998,263,Forest,Trees,Stable,28
8,1999,210,Forest,Trees,Harvest,28
8,2017,212,Forest,Trees,Growth/Recovery,28
8,1984,232,Forest,Trees,NA,29
8,2013,215,Forest,Trees,Stable,29
8,2014,195,Forest,Trees,Harvest,29
8,2017,211,Forest,Trees,Growth/Recovery,29
8,1984,193,Forest,Trees,NA,30
8,2017,211,Forest,Trees,Stable,30
8,1984,232,Forest,Trees,NA,31
8,2017,217,Forest,Trees,Growth/Recovery,31
8,1984,193,Forest,Trees,NA,32
8,2017,218,Forest,Trees,Stable,32
8,1984,232,Forest,Trees,NA,33
8,2017,217,Forest,Trees,Stable,33
8,1984,259,Forest,Trees,NA,34
8,2017,213,Forest,Trees,Stable,34
8,1984,193,Forest,Trees,NA,35
8,2017,218,Forest,Trees,Stable,35
8,1984,232,Forest,Trees,NA,36
8,2017,210,Forest,Trees,Stable,36
8,1984,193,Forest,Trees,NA,37
8,2017,211,Forest,Trees,Stable,37
8,1984,275,Forest,Trees,NA,38
8,1985,213,Forest,Trees,Stable,38
8,1986,184,Forest,Non-tree,Harvest,38
8,1998,128,Forest,Trees,Growth/Recovery,38
8,2014,237,Forest,Trees,Stable,38
8,2015,216,Forest,Non-tree,Harvest,38
8,2017,213,Forest,Non-tree,Stable,38
8,1984,193,Forest,Trees,NA,39
8,1985,195,Forest,Non-tree,Harvest,39
8,1996,226,Forest,Trees,Growth/Recovery,39
8,2014,220,Forest,Trees,Stable,39
8,2015,207,Forest,Trees,Harvest,39
8,2017,212,Forest,Trees,Stable,39
8,1984,287,Forest,Trees,NA,40
8,2017,217,Forest,Trees,Stable,40
8,1984,243,Other,Non-tree,NA,41
8,2012,248,Other,Non-tree,Stable,41
8,2017,213,Forest,Trees,Growth/Recovery,41
8,1984,234,Other,Non-tree,NA,42
8,2006,221,Other,Non-tree,Stable,42
8,2017,219,Forest,Trees,Growth/Recovery,42
8,1984,193,Forest,Trees,NA,43
8,2001,214,Forest,Trees,Stable,43
8,2002,186,Forest,Non-tree,Harvest,43
8,2017,219,Forest,Trees,Growth/Recovery,43
8,1984,218,Other,Non-tree,NA,44
8,1996,226,Other,Non-tree,Stable,44
8,2017,212,Forest,Trees,Growth/Recovery,44
8,1984,234,Forest,Trees,NA,45
8,2017,213,Forest,Trees,Stable,45
8,1984,193,Forest,Trees,NA,46
8,2011,235,Forest,Trees,Stable,46
8,2012,214,Forest,Non-tree,Harvest,46
8,2017,211,Forest,Non-tree,Stable,46
8,1984,259,Forest,Trees,NA,47
8,2011,229,Forest,Trees,Stable,47
8,2012,241,Forest,Trees,Harvest,47
8,2017,213,Forest,Trees,Growth/Recovery,47
8,1984,193,Forest,Trees,NA,48
8,2017,212,Forest,Trees,Stable,48
8,1984,241,Forest,Trees,NA,49
8,1992,222,Forest,Trees,Stable,49
8,1993,224,Forest,Non-tree,Harvest,49
8,2003,204,Forest,Trees,Growth/Recovery,49
8,2017,211,Forest,Trees,Stable,49
8,1984,234,Forest,Trees,NA,50
8,2017,212,Forest,Trees,Stable,50
8,1984,106,Forest,Trees,NA,51
8,1986,216,Forest,Trees,Stable,51
8,1987,194,Forest,Non-tree,Harvest,51
8,1999,187,Forest,Trees,Growth/Recovery,51
8,2017,212,Forest,Trees,Stable,51
8,1984,259,Other,Non-tree,NA,52
8,1998,128,Other,Non-tree,Stable,52
8,2017,213,Forest,Trees,Growth/Recovery,52
8,1984,193,Other,Non-tree,NA,53
8,1999,210,Other,Non-tree,Stable,53
8,2017,211,Forest,Trees,Growth/Recovery,53
8,1984,234,Forest,Trees,NA,54
8,2007,257,Forest,Trees,Stable,54
8,2008,220,Forest,Non-tree,Harvest,54
8,2017,213,Forest,Trees,Growth/Recovery,54
8,1984,193,Forest,Trees,NA,55
8,2017,218,Forest,Trees,Stable,55
8,1984,232,Forest,Trees,NA,56
8,2017,219,Forest,Trees,Stable,56
8,1984,193,Forest,Trees,NA,57
8,2017,212,Forest,Trees,Stable,57
8,1984,193,Forest,Trees,NA,58
8,1989,222,Forest,Trees,Stable,58
8,1990,216,Forest,Non-tree,Harvest,58
8,2017,211,Forest,Trees,Growth/Recovery,58
8,1984,234,Forest,Trees,NA,59
8,2001,231,Forest,Trees,Stable,59
8,2002,186,Other,Non-tree,Harvest,59
8,2017,212,Other,Non-tree,Stable,59
8,1984,193,Forest,Trees,NA,60
8,1989,222,Forest,Trees,Stable,60
8,1990,216,Forest,Non-tree,Harvest,60
8,2002,209,Forest,Trees,Growth/Recovery,60
8,2017,211,Forest,Trees,Stable,60
8,1984,248,Forest,Trees,NA,61
8,2017,217,Forest,Trees,Stable,61
8,1984,138,Forest,Trees,NA,62
8,2017,212,Forest,Trees,Stable,62
8,1984,232,Forest,Trees,NA,63
8,2002,209,Forest,Trees,Stable,63
8,2003,211,Forest,Trees,Harvest,63
8,2017,226,Forest,Trees,Growth/Recovery,63
8,1984,218,Forest,Trees,NA,64
8,2017,212,Forest,Trees,Stable,64
8,1984,232,Forest,Trees,NA,65
8,1993,217,Forest,Trees,Growth/Recovery,65
8,2017,211,Forest,Trees,Stable,65
8,1984,232,Forest,Trees,NA,66
8,2017,210,Forest,Trees,Stable,66
8,1984,218,Forest,Trees,NA,67
8,1999,219,Forest,Trees,Stable,67
8,2000,230,Forest,Trees,Harvest,67
8,2017,212,Forest,Trees,Growth/Recovery,67
8,1984,232,Forest,Trees,NA,68
8,1996,233,Forest,Trees,Stable,68
8,1997,244,Forest,Non-tree,Harvest,68
8,2017,219,Forest,Trees,Growth/Recovery,68
8,1984,193,Forest,Trees,NA,69
8,2017,211,Forest,Trees,Stable,69
8,1984,234,Forest,Trees,NA,70
8,2017,211,Forest,Trees,Stable,70
8,1984,232,Forest,Trees,NA,71
8,2017,219,Forest,Trees,Stable,71
8,1984,218,Forest,Trees,NA,72
8,2011,228,Forest,Trees,Stable,72
8,2012,255,Forest,Trees,Harvest,72
8,2014,220,Forest,Trees,Stable,72
8,2015,215,Forest,Non-tree,Harvest,72
8,2017,211,Forest,Non-tree,Stable,72
8,1984,232,Forest,Trees,NA,73
8,2017,219,Forest,Trees,Stable,73
8,1984,154,Forest,Trees,NA,74
8,2017,212,Forest,Trees,Stable,74
8,1984,175,Forest,Trees,NA,75
8,2017,201,Forest,Trees,Stable,75
8,1984,218,Forest,Trees,NA,76
8,1990,298,Forest,Trees,Stable,76
8,1991,228,Forest,Non-tree,Harvest,76
8,2007,217,Forest,Trees,Growth/Recovery,76
8,2017,211,Forest,Trees,Stable,76
8,1984,232,Forest,Trees,NA,77
8,1985,234,Forest,Trees,Stable,77
8,1986,221,Forest,Non-tree,Harvest,77
8,1999,201,Forest,Trees,Growth/Recovery,77
8,2017,226,Forest,Trees,Stable,77
8,1984,234,Other,Non-tree,NA,78
8,2006,198,Forest,Trees,Growth/Recovery,78
8,2017,212,Forest,Trees,Stable,78
8,1984,193,Forest,Trees,NA,79
8,2017,212,Forest,Trees,Stable,79
8,1984,234,Forest,Trees,NA,80
8,1989,222,Forest,Trees,Stable,80
8,1990,289,Other,Non-tree,Harvest,80
8,2017,212,Other,Non-tree,Stable,80
8,1984,218,Forest,Trees,NA,81
8,2015,215,Forest,Trees,Stable,81
8,2016,217,Forest,Non-tree,Harvest,81
8,2017,212,Other,Non-tree,Stable,81
8,1984,193,Forest,Trees,NA,82
8,2017,212,Forest,Trees,Stable,82
8,1984,243,Forest,Trees,NA,83
8,2017,213,Forest,Trees,Stable,83
8,1984,232,Forest,Trees,NA,84
8,2017,219,Forest,Trees,Stable,84
8,1984,131,Forest,Trees,NA,85
8,2017,213,Forest,Trees,Stable,85
8,1984,218,Forest,Trees,NA,86
8,2017,213,Forest,Trees,Stable,86
8,1984,218,Forest,Trees,NA,87
8,2017,212,Forest,Trees,Stable,87
8,1984,243,Forest,Trees,NA,88
8,2015,223,Forest,Trees,Stable,88
8,2016,203,Forest,Non-tree,Harvest,88
8,2017,212,Forest,Non-tree,Growth/Recovery,88
8,1984,259,Forest,Trees,NA,89
8,2017,213,Forest,Trees,Stable,89
8,1984,232,Forest,Trees,NA,90
