project_id,plotid,year,day,landuse,landcover,change_process
9,1,1984,221,Other,Non-treed,
9,1,2018,202,Other,Non-treed,Stable
9,4,1984,237,Forest,Treed,
9,4,2018,201,Forest,Treed,Stable
9,5,1984,221,Forest,Treed,
9,5,2018,203,Forest,Treed,Stable
9,6,1984,212,Other,Non-treed,
9,6,2018,201,Other,Non-treed,Stable
9,7,1984,212,Forest,Treed,
9,7,2018,202,Forest,Treed,Stable
9,8,1984,203,Forest,Treed,
9,8,2018,200,Forest,Treed,Stable
9,9,1984,203,Forest,Treed,
9,9,2018,200,Forest,Treed,Stable
9,11,1984,212,Forest,Treed,
9,11,2008,206,Forest,Treed,Stable
9,11,2009,207,Forest,Non-treed,Harvest
9,11,2018,201,Forest,Non-treed,Stable
9,12,1984,191,Forest,Treed,
9,12,1999,200,Forest,Treed,Stable
9,12,2001,189,Forest,Treed,Unknown canopy disturbance
9,12,2018,197,Forest,Treed,Stable
9,13,1984,203,Other,Non-treed,
9,13,2018,200,Other,Non-treed,Stable
9,14,1984,221,Other,Non-treed,
9,14,2018,202,Other,Non-treed,Stable
9,15,1984,203,Forest,Treed,
9,15,2018,200,Forest,Treed,Stable
9,16,1984,212,Forest,Treed,
9,16,2018,193,Forest,Treed,Stable
9,17,1984,191,Other,Non-treed,
9,17,2018,197,Other,Non-treed,Stable
9,18,1984,212,Forest,Treed,
9,18,2018,200,Forest,Treed,Stable
9,19,1984,212,Other,Non-treed,
9,19,2018,200,Other,Non-treed,Stable
9,20,1984,171,Other,Non-treed,
9,20,2018,200,Other,Non-treed,Stable
9,21,1984,187,Other,Non-treed,
9,21,2018,200,Other,Non-treed,Stable
9,22,1984,212,Forest,Non-treed,
9,22,1996,229,Forest,Non-treed,Stable
9,22,2018,201,Forest,Treed,Regrowth
9,23,1984,237,Forest,Treed,
9,23,2018,202,Forest,Treed,Stable
9,24,1984,235,Forest,Treed,
9,24,2018,200,Forest,Treed,Stable
9,27,1984,221,Other,Non-treed,
9,27,2018,201,Other,Non-treed,Stable
9,29,1984,212,Other,Non-treed,
9,29,2018,200,Other,Non-treed,Stable
9,30,1984,237,Other,Non-treed,
9,30,2018,202,Other,Non-treed,Stable
9,31,1984,237,Other,Non-treed,
9,31,2018,202,Other,Non-treed,Stable
9,32,1984,178,Forest,Treed,
9,32,2001,208,Forest,Treed,Stable
9,32,2003,223,Forest,Non-treed,Harvest
9,32,2004,234,Forest,Treed,Regrowth
9,32,2018,200,Forest,Treed,Stable
9,34,1984,237,Other,Non-treed,
9,34,2018,202,Other,Non-treed,Stable
9,35,1984,212,Forest,Treed,
