project_id,plotid,year,day,landuse,landcover,change_process
10,2,1984,188,Forest,Treed,
10,2,2018,200,Forest,Treed,Stable
10,3,1984,220,Forest,Treed,
10,3,2018,201,Forest,Treed,Stable
10,6,1984,213,Forest,Treed,
10,6,2018,202,Forest,Treed,Stable
10,7,1984,213,Forest,Treed,
10,7,2018,208,Forest,Treed,Stable
10,8,1984,213,Other,Non-treed,
10,8,2018,203,Other,Non-treed,Stable
10,1,1984,213,Other,Non-treed,
10,1,2018,218,Other,Non-treed,Stable
10,4,1984,188,Forest,Treed,
10,4,2018,202,Forest,Treed,Stable
10,9,1984,213,Forest,Non-treed,
10,9,2001,196,Forest,Treed,Regrowth
10,9,2018,203,Forest,Treed,Stable
10,12,1984,115,Forest,Treed,
10,12,2018,201,Forest,Treed,Stable
10,13,1984,188,Forest,Treed,
10,13,2018,200,Forest,Treed,Stable
10,14,1984,213,Other,Non-treed,
10,14,2018,203,Other,Non-treed,Stable
10,15,1984,252,Forest,Treed,
10,15,2018,192,Forest,Treed,Stable
10,17,1984,190,Forest,Treed,
10,17,2018,203,Forest,Treed,Stable
10,18,1984,220,Forest,Treed,
10,18,2018,202,Forest,Treed,Stable
10,19,1984,213,Forest,Treed,
10,19,2018,194,Forest,Treed,Stable
10,20,1984,220,Forest,Treed,
10,20,1988,199,Forest,Treed,Stable
10,20,1989,210,Forest,Non-treed,Unknown canopy disturbance
10,20,1996,205,Forest,Treed,Regrowth
10,20,2018,201,Forest,Treed,Stable
10,21,1984,213,Other,Non-treed,
10,21,2018,195,Other,Non-treed,Stable
10,22,1984,213,Forest,Treed,
10,22,2018,203,Forest,Treed,Stable
10,23,1984,213,Forest,Treed,
10,23,2018,203,Forest,Treed,Stable
10,24,1984,213,Forest,Treed,
10,24,2018,203,Forest,Treed,Stable
10,25,1984,213,Forest,Treed,
10,25,2018,203,Forest,Treed,Stable
10,26,1984,213,Forest,Treed,
10,26,2018,202,Forest,Treed,Stable
10,27,1984,188,Forest,Treed,
10,27,2018,201,Forest,Treed,Stable
10,28,1984,188,Forest,Treed,
10,28,2018,202,Forest,Treed,Stable
10,30,1984,188,Forest,Treed,
10,30,2018,192,Forest,Treed,Stable
10,32,1984,186,Forest,Treed,
10,32,2013,202,Forest,Treed,Stable
10,32,2014,198,Forest,Non-treed,Unknown canopy disturbance
10,32,2018,200,Forest,Non-treed,Stable
10,33,1984,190,Other,Non-treed,
10,33,2018,204,Other,Non-treed,Stable
10,34,1984,190,Forest,Treed,
10,34,2012,195,Forest,Treed,Stable
10,34,2013,197,Forest,Non-treed,Unknown canopy disturbance
10,34,2018,202,Forest,Non-treed,Stable
10,35,1984,190,Forest,Treed,
10,35,2018,196,Forest,Treed,Stable
10,36,1984,213,Forest,Non-treed,
10,36,2001,204,Forest,Treed,Regrowth
10,36,2018,195,Forest,Treed,Stable
10,37,1984,213,Other,Non-treed,
10,37,2018,201,Other,Non-treed,Stable
10,38,1984,188,Forest,Treed,
10,38,2018,217,Forest,Treed,Stable
10,39,1984,213,Forest,Treed,
10,39,2018,178,Forest,Treed,Stable
10,40,1984,190,Forest,Treed,
10,40,1996,207,Forest,Treed,Stable
10,40,1999,199,Forest,Non-treed,Unknown canopy disturbance
10,40,2018,196,Forest,Treed,Regrowth
10,41,1984,252,Forest,Treed,
10,41,2018,201,Forest,Treed,Stable
10,42,1984,190,Other,Non-treed,
10,42,2018,203,Other,Non-treed,Stable
10,43,1984,252,Forest,Treed,
10,43,2018,201,Forest,Treed,Stable
10,44,1984,188,Forest,Treed,
10,44,2018,200,Forest,Treed,Stable
10,45,1984,213,Forest,Treed,
10,45,2018,202,Forest,Treed,Stable
10,46,1984,213,Other,Non-treed,
10,46,2018,196,Other,Non-treed,Stable
10,47,1984,213,Forest,Treed,
