project_id,plotid,year,day,landuse,landcover,change_process
11,1,1984,215,Forest,Treed,
11,1,1999,207,Forest,Treed,Stable
11,1,2000,162,Forest,Non-treed,Harvest
11,1,2007,214,Forest,Treed,Regrowth
11,1,2018,196,Forest,Treed,Stable
11,2,1984,204,Forest,Non-treed,
11,2,1999,221,Forest,Treed,Regrowth
11,2,2018,200,Forest,Treed,Stable
11,5,1984,186,Forest,Treed,
11,5,1988,199,Forest,Treed,Stable
11,5,1989,208,Forest,Non-treed,Unknown canopy disturbance
11,5,1999,204,Forest,Treed,Regrowth
11,5,2018,200,Forest,Treed,Stable
11,6,1984,259,Forest,Treed,
11,6,2003,199,Forest,Treed,Stable
11,6,2004,186,Forest,Non-treed,Unknown canopy disturbance
11,6,2013,194,Forest,Treed,Regrowth
11,6,2018,200,Forest,Treed,Stable
11,7,1984,204,Forest,Treed,
11,7,2018,200,Forest,Treed,Stable
11,9,1984,177,Forest,Treed,
11,9,2018,198,Forest,Treed,Stable
11,13,1984,179,Forest,Treed,
11,13,1985,204,Forest,Treed,Stable
11,13,1986,191,Forest,Non-treed,Unknown canopy disturbance
11,13,1995,209,Forest,Treed,Regrowth
11,13,2018,199,Forest,Treed,Stable
11,14,1984,154,Forest,Treed,
11,14,2018,199,Forest,Treed,Stable
11,15,1984,186,Forest,Treed,
11,15,2018,200,Forest,Treed,Stable
11,10,1984,213,Forest,Treed,
11,10,2014,199,Forest,Treed,Stable
11,10,2015,202,Forest,Non-treed,Uprooting and breakage
11,10,2018,194,Forest,Treed,Regrowth
11,12,1984,179,Forest,Treed,
11,12,1992,215,Forest,Treed,Stable
11,12,1993,201,Forest,Non-treed,Unknown canopy disturbance
11,12,2003,269,Forest,Treed,Regrowth
11,12,2018,200,Forest,Treed,Stable
11,4,1984,154,Forest,Non-treed,
11,4,2004,255,Forest,Treed,Regrowth
11,4,2018,199,Forest,Treed,Stable
11,20,1984,220,Forest,Treed,
11,20,1986,209,Forest,Treed,Stable
11,20,1987,187,Forest,Treed,Unknown canopy disturbance
11,20,2008,174,Forest,Treed,Stable
11,20,2009,200,Forest,Treed,Unknown canopy disturbance
11,20,2018,200,Forest,Treed,Stable
11,21,1984,193,Forest,Treed,
11,21,2018,199,Forest,Treed,Stable
11,22,1984,168,Forest,Treed,
11,22,2010,201,Forest,Treed,Stable
11,22,2011,203,Forest,Non-treed,Harvest
11,22,2016,201,Forest,Treed,Regrowth
11,22,2018,199,Forest,Treed,Stable
11,24,1984,213,Forest,Treed,
11,24,1996,205,Forest,Treed,Stable
11,24,1997,200,Forest,Treed,Unknown canopy disturbance
11,24,2009,192,Forest,Treed,Stable
11,24,2010,203,Forest,Non-treed,Unknown canopy disturbance
11,24,2015,202,Forest,Treed,Regrowth
11,24,2018,195,Forest,Treed,Stable
11,23,1984,193,Forest,Treed,
11,23,2001,185,Forest,Treed,Stable
11,23,2002,202,Forest,Non-treed,Unknown canopy disturbance
11,23,2008,212,Forest,Treed,Regrowth
11,23,2018,200,Forest,Treed,Stable
11,26,1984,234,Forest,Treed,
11,26,2002,195,Forest,Treed,Stable
11,26,2003,198,Forest,Non-treed,Harvest
11,26,2009,206,Forest,Treed,Regrowth
11,26,2018,200,Forest,Treed,Stable
11,27,1984,154,Forest,Treed,
11,27,2018,200,Forest,Treed,Stable
11,28,1984,179,Forest,Treed,
11,28,2018,200,Forest,Treed,Stable
11,29,1985,231,Forest,Treed,
11,29,2018,194,Forest,Treed,Stable
11,31,1984,191,Forest,Treed,
11,31,2018,197,Forest,Treed,Stable
11,32,1984,220,Forest,Non-treed,
11,32,1991,216,Forest,Treed,Regrowth
11,32,2018,201,Forest,Treed,Stable
11,34,1984,220,Other,Non-treed,
11,34,2018,200,Other,Non-treed,Stable
11,35,1984,220,Forest,Treed,
11,35,2018,200,Forest,Treed,Stable
11,36,1984,186,Forest,Treed,
11,36,2018,199,Forest,Treed,Stable
11,37,1984,209,Forest,Treed,
11,37,1998,183,Forest,Treed,Stable
11,37,1999,211,Forest,Treed,Unknown canopy disturbance
11,37,2000,188,Forest,Treed,Stable
11,37,2001,206,Forest,Non-treed,Unknown canopy disturbance
11,37,2012,230,Forest,Treed,Regrowth
11,37,2018,197,Forest,Treed,Stable
11,38,1984,259,Forest,Treed,
11,38,1985,206,Forest,Non-treed,Unknown canopy disturbance
11,38,1991,198,Forest,Treed,Regrowth
11,38,2018,200,Forest,Treed,Stable
11,39,1984,204,Forest,Treed,
11,39,2018,201,Forest,Treed,Stable
11,41,1985,169,Forest,Treed,
11,41,2018,210,Forest,Treed,Stable
11,42,1984,184,Forest,Treed,
11,42,2002,209,Forest,Treed,Stable
11,42,2003,197,Forest,Non-treed,Unknown canopy disturbance
11,42,2010,200,Forest,Treed,Regrowth
11,42,2018,199,Forest,Treed,Stable
11,43,1984,168,Forest,Treed,
11,43,2018,199,Forest,Treed,Stable
11,44,1984,215,Forest,Treed,
11,44,1986,202,Forest,Treed,Stable
11,44,1987,205,Forest,Non-treed,Unknown canopy disturbance
11,44,2000,233,Forest,Treed,Regrowth
11,44,2018,196,Forest,Treed,Stable
11,45,1984,188,Forest,Treed,
11,45,2018,200,Forest,Treed,Stable
11,46,1984,136,Forest,Treed,
11,46,1986,198,Forest,Treed,Stable
11,46,1987,201,Forest,Treed,Unknown canopy disturbance
11,46,2018,198,Forest,Treed,Stable
11,47,1984,241,Forest,Treed,
11,47,2018,199,Forest,Treed,Stable
11,48,1984,177,Forest,Treed,
11,48,2018,199,Forest,Treed,Stable
11,50,1984,179,Forest,Treed,
11,50,1994,197,Forest,Treed,Stable
11,50,1996,164,Forest,Non-treed,Unknown canopy disturbance
11,50,2002,211,Forest,Treed,Regrowth
11,50,2018,200,Forest,Treed,Stable
11,53,1984,193,Forest,Treed,
11,53,1987,201,Forest,Treed,Stable
11,53,1988,220,Other,Non-treed,Harvest
11,53,2018,199,Other,Non-treed,Stable
11,54,1984,179,Forest,Treed,
11,54,2018,200,Forest,Treed,Stable
11,55,1984,193,Forest,Treed,
11,55,1990,225,Forest,Treed,Stable
11,55,1991,189,Forest,Non-treed,Unknown canopy disturbance
11,55,2006,198,Forest,Treed,Regrowth
11,55,2018,199,Forest,Treed,Stable
11,56,1984,175,Forest,Treed,
11,56,2018,196,Forest,Treed,Stable
11,59,1984,152,Forest,Treed,
11,59,2018,197,Forest,Treed,Stable
11,62,1984,161,Forest,Treed,
11,62,2000,188,Forest,Treed,Stable
11,62,2001,190,Forest,Non-treed,Harvest
11,62,2015,206,Forest,Treed,Regrowth
11,62,2018,197,Forest,Treed,Stable
11,65,1984,193,Forest,Treed,
11,65,2018,200,Forest,Treed,Stable
11,11,1984,170,Forest,Treed,
11,11,2010,200,Forest,Treed,Stable
11,11,2011,195,Forest,Non-treed,Harvest
11,11,2018,198,Forest,Treed,Regrowth
11,33,1984,110,Forest,Treed,
11,33,1988,200,Forest,Treed,Stable
11,33,1989,242,Forest,Treed,Unknown canopy disturbance
11,33,2007,220,Forest,Treed,Stable
11,33,2008,201,Forest,Treed,Unknown canopy disturbance
11,33,2018,204,Forest,Treed,Stable
11,52,1984,191,Forest,Treed,
11,52,2018,205,Forest,Treed,Stable
11,61,1985,194,Forest,Treed,
11,61,2003,202,Forest,Treed,Stable
