project_id,plotid,year,day,landuse,landcover,change_process
12,1,1984,201,Other,Non-treed,
12,1,2018,199,Other,Non-treed,Stable
12,2,1984,187,Forest,Treed,
12,2,2018,200,Forest,Treed,Stable
12,4,1984,228,Forest,Treed,
12,4,2018,201,Forest,Treed,Stable
12,5,1984,196,Forest,Treed,
12,5,2018,194,Forest,Treed,Stable
12,6,1984,228,Forest,Treed,
12,6,2018,194,Forest,Treed,Stable
12,7,1984,201,Forest,Treed,
12,7,2018,206,Forest,Treed,Stable
12,9,1984,169,Forest,Treed,
12,9,2018,206,Forest,Treed,Stable
12,10,1984,178,Forest,Treed,
12,10,2018,200,Forest,Treed,Stable
12,11,1984,187,Forest,Treed,
12,11,2018,200,Forest,Treed,Stable
12,12,1984,187,Forest,Treed,
12,12,2018,200,Forest,Treed,Stable
12,13,1984,187,Forest,Treed,
12,13,2018,200,Forest,Treed,Stable
12,14,1984,192,Other,Non-treed,
12,14,2018,205,Other,Non-treed,Stable
12,15,1984,239,Forest,Treed,
12,15,2018,196,Forest,Treed,Stable
12,16,1984,192,Forest,Treed,
12,16,2018,196,Forest,Treed,Stable
12,18,1984,187,Forest,Treed,
12,18,2018,200,Forest,Treed,Stable
12,19,1984,199,Other,Treed,
12,19,2018,197,Other,Treed,Stable
12,20,1984,187,Forest,Treed,
12,20,2018,200,Forest,Treed,Stable
12,21,1984,178,Forest,Treed,
12,21,2018,199,Forest,Treed,Stable
12,22,1984,173,Forest,Treed,
12,22,1997,199,Forest,Treed,Stable
12,22,1998,227,Forest,Treed,Unknown canopy disturbance
12,22,2018,202,Forest,Treed,Stable
12,23,1984,189,Forest,Treed,
12,23,2018,194,Forest,Treed,Stable
12,24,1984,169,Other,Non-treed,
12,24,2018,199,Other,Non-treed,Stable
12,25,1984,187,Other,Non-treed,
12,25,2018,200,Other,Non-treed,Stable
12,26,1984,164,Forest,Treed,
12,26,2005,213,Forest,Treed,Stable
12,26,2006,160,Forest,Treed,Unknown canopy disturbance
12,26,2018,185,Forest,Treed,Stable
12,27,1984,169,Forest,Treed,
12,27,2018,205,Forest,Treed,Stable
12,28,1984,201,Forest,Treed,
12,28,2018,189,Forest,Treed,Stable
12,30,1984,187,Forest,Treed,
12,30,2018,200,Forest,Treed,Stable
12,32,1984,187,Forest,Treed,
12,32,2018,200,Forest,Treed,Stable
12,33,1984,199,Forest,Treed,
12,33,2018,196,Forest,Treed,Stable
12,34,1984,187,Forest,Treed,
12,34,1999,252,Forest,Treed,Stable
12,34,2000,167,Forest,Non-treed,Unknown canopy disturbance
12,34,2001,193,Forest,Treed,Regrowth
12,34,2018,200,Forest,Treed,Stable
12,35,1984,201,Forest,Treed,
12,35,2018,198,Forest,Treed,Stable
12,36,1984,196,Forest,Treed,
12,36,2018,200,Forest,Treed,Stable
12,37,1984,187,Forest,Treed,
12,37,2018,200,Forest,Treed,Stable
12,38,1984,187,Forest,Treed,
12,38,2018,200,Forest,Treed,Stable
12,39,1984,178,Forest,Treed,
12,39,2018,200,Forest,Treed,Stable
12,40,1984,187,Forest,Treed,
12,40,2018,208,Forest,Treed,Stable
12,41,1984,187,Forest,Treed,
12,41,2018,200,Forest,Treed,Stable
12,42,1984,169,Forest,Treed,
12,42,2018,199,Forest,Treed,Stable
12,43,1984,228,Forest,Treed,
12,43,2018,185,Forest,Treed,Stable
12,44,1984,231,Forest,Treed,
12,44,2018,196,Forest,Treed,Stable
12,47,1984,201,Forest,Treed,
12,47,2018,197,Forest,Treed,Stable
12,48,1984,192,Forest,Treed,
12,48,2018,205,Forest,Treed,Stable
12,49,1984,239,Forest,Treed,
12,49,2018,196,Forest,Treed,Stable
12,50,1984,244,Forest,Treed,
12,50,2018,210,Forest,Treed,Stable
12,51,1984,201,Other,Non-treed,
12,51,2018,206,Other,Non-treed,Stable
12,52,1984,169,Forest,Treed,
12,52,2018,198,Forest,Treed,Stable
12,54,1984,228,Forest,Treed,
12,54,2018,193,Forest,Treed,Stable
12,55,1984,187,Forest,Treed,
12,55,2018,200,Forest,Treed,Stable
12,56,1984,180,Forest,Treed,
12,56,2018,202,Forest,Treed,Stable
12,57,1984,187,Forest,Treed,
12,57,2018,200,Forest,Treed,Stable
12,58,1984,169,Forest,Treed,
12,58,2018,198,Forest,Treed,Stable
12,59,1984,187,Forest,Treed,
12,59,2018,207,Forest,Treed,Stable
12,60,1984,162,Forest,Treed,
12,60,2010,201,Forest,Treed,Stable
12,60,2011,140,Forest,Non-treed,Harvest
12,60,2012,231,Forest,Treed,Regrowth
12,60,2018,199,Forest,Treed,Stable
12,61,1984,201,Forest,Treed,
12,61,1995,176,Forest,Treed,Stable
12,61,1996,170,Forest,Treed,Unknown canopy disturbance
12,61,2018,199,Forest,Treed,Stable
12,62,1984,187,Forest,Treed,
12,62,2018,200,Forest,Treed,Stable
12,63,1984,228,Forest,Treed,
12,63,2018,201,Forest,Treed,Stable
12,64,1984,180,Other,Non-treed,
12,64,2018,193,Other,Non-treed,Stable
12,66,1984,171,Other,Non-treed,
12,66,2018,200,Other,Non-treed,Stable
12,65,1984,187,Forest,Treed,
12,65,2018,200,Forest,Treed,Stable
12,67,1984,192,Forest,Treed,
12,67,2018,205,Forest,Treed,Stable
12,68,1984,178,Forest,Treed,
12,68,2018,199,Forest,Treed,Stable
12,69,1984,228,Forest,Treed,
12,69,2018,201,Forest,Treed,Stable
12,70,1984,208,Forest,Treed,
12,70,2017,209,Forest,Treed,Stable
12,70,2018,244,Forest,Treed,Unknown canopy disturbance
12,71,1984,201,Forest,Treed,
12,71,2018,206,Forest,Treed,Stable
12,72,1984,171,Forest,Treed,
12,72,2000,199,Forest,Treed,Stable
12,72,2001,177,Forest,Treed,Unknown canopy disturbance
12,72,2018,200,Forest,Treed,Stable
12,73,1984,189,Forest,Treed,
12,73,2018,202,Forest,Treed,Stable
12,74,1984,178,Forest,Treed,
12,74,2018,200,Forest,Treed,Stable
12,76,1984,178,Forest,Treed,
12,76,2018,199,Forest,Treed,Stable
12,77,1984,187,Forest,Treed,
12,77,2018,200,Forest,Treed,Stable
12,78,1984,228,Forest,Treed,
12,78,2018,193,Forest,Treed,Stable
12,79,1984,228,Forest,Treed,
12,79,2018,193,Forest,Treed,Stable
12,80,1984,169,Forest,Treed,
12,80,2018,206,Forest,Treed,Stable
12,81,1984,196,Forest,Treed,
