project_id,year,day,landuse,landcover,change_process,plotid
13,1984,317,Forest,Trees,NA,1
13,1990,214,Forest,Trees,Stable,1
13,1991,217,Forest,Trees,Harvest,1
13,2017,71,Forest,Trees,Growth/Recovery,1
13,1984,319,Forest,Trees,NA,2
13,2016,200,Forest,Trees,Stable,2
13,1985,184,Forest,Trees,NA,3
13,1991,233,Forest,Trees,Stable,3
13,1992,220,Forest,Trees,Harvest,3
13,2003,218,Forest,Trees,Stable,3
13,2004,205,Forest,Trees,Harvest,3
13,2017,64,Forest,Trees,Stable,3
13,1984,319,Forest,Trees,NA,4
13,2005,216,Forest,Trees,Stable,4
13,2006,203,Forest,Trees,Harvest,4
13,2016,239,Forest,Trees,Growth/Recovery,4
13,1984,317,Forest,Trees,NA,5
13,1989,202,Forest,Non-tree,Stable,5
13,1990,205,Forest,Trees,Harvest,5
13,1996,222,Forest,Trees,Growth/Recovery,5
13,2017,71,Forest,Trees,Growth/Recovery,5
13,1984,116,Forest,Trees,NA,6
13,1996,165,Forest,Trees,Stable,6
13,1997,222,Forest,Trees,Harvest,6
13,2017,46,Forest,Trees,Growth/Recovery,6
13,1984,191,Forest,Trees,NA,7
13,2017,56,Forest,Trees,Stable,7
13,1985,184,Forest,Trees,NA,8
13,2009,218,Forest,Trees,Stable,8
13,2010,213,Forest,Trees,Harvest,8
13,2016,214,Forest,Trees,Growth/Recovery,8
13,1984,319,Forest,Trees,NA,9
13,2016,207,Forest,Trees,Stable,9
13,1985,207,Forest,Trees,NA,10
13,2017,71,Forest,Trees,Stable,10
13,1985,207,Forest,Trees,NA,11
13,2017,71,Forest,Trees,Stable,11
13,1984,116,Forest,Trees,NA,12
13,2017,55,Forest,Trees,Stable,12
13,1984,191,Forest,Trees,NA,13
13,2017,41,Forest,Trees,Stable,13
13,1984,317,Forest,Trees,NA,14
13,2017,71,Forest,Trees,Stable,14
13,1984,280,Forest,Trees,NA,15
13,2015,220,Forest,Trees,Stable,15
13,2016,231,Forest,Trees,Harvest,15
13,1984,301,Forest,Trees,NA,16
13,2017,71,Forest,Trees,Stable,16
13,1984,319,Forest,Trees,NA,17
13,2017,58,Forest,Trees,Stable,17
13,1984,262,Forest,Trees,NA,18
13,2017,64,Forest,Trees,Stable,18
13,1985,225,Forest,Trees,NA,19
13,2009,218,Forest,Non-tree,Stable,19
13,2011,233,Forest,Trees,Harvest,19
13,2017,56,Forest,Trees,Growth/Recovery,19
13,1984,301,Forest,Trees,NA,20
13,2017,71,Forest,Trees,Stable,20
13,1984,173,Forest,Trees,NA,21
13,2017,71,Forest,Trees,Stable,21
13,1984,116,Forest,Trees,NA,22
13,2017,70,Forest,Trees,Stable,22
13,1985,184,Forest,Trees,NA,23
13,2016,221,Forest,Trees,Stable,23
13,1984,239,Forest,Trees,NA,24
13,1998,172,Forest,Trees,Stable,24
13,1999,215,Forest,Trees,Harvest,24
13,2008,209,Forest,Trees,Growth/Recovery,24
13,2009,218,Forest,Trees,Harvest,24
13,2017,64,Forest,Trees,Growth/Recovery,24
13,1984,317,Forest,Non-tree,NA,25
13,2017,71,Forest,Non-tree,Stable,25
13,1985,209,Forest,Trees,NA,26
13,2017,73,Forest,Trees,Stable,26
13,1984,262,Forest,Trees,NA,27
13,2017,56,Forest,Trees,Stable,27
13,1984,228,Forest,Trees,NA,28
13,2017,46,Forest,Trees,Stable,28
13,1984,317,Forest,Trees,NA,29
