project_id,plotid,year,day,landuse,landcover,change_process
14,1,1984,192,Forest,Non-treed,
14,1,2018,197,Forest,Treed,Regrowth
14,2,1984,199,Forest,Treed,
14,2,1992,198,Forest,Treed,Stable
14,2,1993,200,Forest,Non-treed,Unknown canopy disturbance
14,2,1999,200,Forest,Treed,Regrowth
14,2,2018,196,Forest,Treed,Stable
14,3,1984,199,Other,Non-treed,
14,3,2018,196,Other,Non-treed,Stable
14,4,1984,199,Forest,Treed,
14,4,2018,196,Forest,Treed,Stable
14,5,1984,199,Other,Non-treed,
14,5,2018,196,Other,Non-treed,Stable
14,6,1984,199,Forest,Treed,
14,6,1999,200,Forest,Treed,Stable
14,6,2000,195,Forest,Non-treed,Unknown canopy disturbance
14,6,2002,192,Forest,Treed,Regrowth
14,6,2018,196,Forest,Treed,Stable
14,7,1984,201,Forest,Treed,
14,7,2018,198,Forest,Treed,Stable
14,8,1984,185,Forest,Treed,
14,8,2018,198,Forest,Treed,Stable
14,9,1984,199,Forest,Treed,
14,9,2018,196,Forest,Treed,Stable
14,10,1984,201,Forest,Treed,
14,10,2018,190,Forest,Treed,Stable
14,12,1984,185,Other,Non-treed,
14,12,2018,197,Other,Non-treed,Stable
14,13,1984,201,Forest,Treed,
14,13,2000,204,Forest,Treed,Stable
14,13,2001,199,Forest,Non-treed,Unknown canopy disturbance
14,13,2018,198,Forest,Non-treed,Stable
14,14,1984,226,Other,Non-treed,
14,14,2018,198,Other,Non-treed,Stable
14,15,1984,192,Forest,Treed,
14,15,2018,181,Forest,Treed,Stable
14,16,1984,199,Forest,Treed,
14,16,2018,196,Forest,Treed,Stable
14,17,1984,201,Forest,Treed,
14,17,2018,198,Forest,Treed,Stable
14,19,1984,201,Forest,Treed,
14,19,2018,197,Forest,Treed,Stable
14,20,1984,185,Forest,Treed,
14,20,2018,214,Forest,Treed,Stable
14,21,1984,201,Forest,Treed,
14,21,1994,203,Forest,Treed,Stable
14,21,1995,199,Forest,Non-treed,Unknown canopy disturbance
14,21,2003,196,Forest,Treed,Regrowth
14,21,2018,197,Forest,Treed,Stable
14,26,1984,201,Forest,Treed,
14,26,2018,206,Forest,Treed,Stable
14,27,1984,192,Forest,Treed,
14,27,2018,197,Forest,Treed,Stable
14,28,1984,178,Other,Non-treed,
14,28,2018,207,Other,Non-treed,Stable
14,29,1984,199,Forest,Treed,
14,29,1985,162,Forest,Non-treed,Unknown canopy disturbance
14,29,1991,202,Forest,Treed,Regrowth
14,29,2018,197,Forest,Treed,Stable
14,30,1984,199,Forest,Treed,
14,30,2018,196,Forest,Treed,Stable
14,31,1984,201,Forest,Treed,
14,31,2018,197,Forest,Treed,Stable
14,34,1984,201,Forest,Treed,
14,34,2018,190,Forest,Treed,Stable
14,35,1984,196,Other,Non-treed,
14,35,2018,201,Other,Non-treed,Stable
14,36,1984,199,Forest,Treed,
14,36,2018,196,Forest,Treed,Stable
14,38,1984,192,Forest,Treed,
14,38,1997,179,Forest,Treed,Stable
14,38,1998,198,Forest,Non-treed,Unknown canopy disturbance
14,38,2018,197,Forest,Treed,Regrowth
14,39,1984,192,Forest,Treed,
14,39,2018,197,Forest,Treed,Stable
14,42,1984,201,Forest,Treed,
14,42,2018,198,Forest,Treed,Stable
14,43,1984,272,Forest,Treed,
14,43,2018,197,Forest,Treed,Stable
14,44,1984,201,Forest,Treed,
14,44,1985,194,Forest,Treed,Stable
14,44,1986,197,Forest,Non-treed,Unknown canopy disturbance
14,44,1991,195,Forest,Treed,Regrowth
14,44,2018,198,Forest,Treed,Stable
14,45,1984,199,Forest,Treed,
14,45,2018,197,Forest,Treed,Stable
14,46,1984,199,Forest,Treed,
14,46,2018,197,Forest,Treed,Stable
14,47,1984,199,Forest,Treed,
14,47,2018,196,Forest,Treed,Stable
14,48,1984,201,Forest,Treed,
