project_id,plotid,year,day,landuse,landcover,change_process
15,1,1984,213,Other,Non-treed,
15,1,2018,202,Other,Non-treed,Stable
15,2,1984,197,Other,Non-treed,
15,2,2018,194,Other,Non-treed,Stable
15,3,1984,172,Forest,Treed,
15,3,2018,208,Forest,Treed,Stable
15,4,1984,197,Other,Non-treed,
15,4,2018,194,Other,Non-treed,Stable
15,5,1984,197,Forest,Treed,
15,5,2018,193,Forest,Treed,Stable
15,6,1984,204,Forest,Treed,
15,6,2018,193,Forest,Treed,Stable
15,7,1984,197,Forest,Treed,
15,7,2018,210,Forest,Treed,Stable
15,8,1984,204,Forest,Treed,
15,8,2018,201,Forest,Treed,Stable
15,9,1984,197,Forest,Treed,
15,9,2011,198,Forest,Treed,Stable
15,9,2012,202,Forest,Non-treed,Harvest
15,9,2018,201,Forest,Treed,Regrowth
15,10,1984,179,Other,Non-treed,
15,10,2018,208,Other,Non-treed,Stable
15,11,1984,179,Forest,Treed,
15,11,2010,202,Forest,Treed,Stable
15,11,2012,193,Forest,Non-treed,Unknown canopy disturbance
15,11,2018,201,Forest,Non-treed,Regrowth
15,12,1984,179,Other,Non-treed,
15,12,2018,200,Other,Non-treed,Stable
15,13,1984,197,Other,Non-treed,
15,13,2018,195,Other,Non-treed,Stable
15,14,1984,197,Forest,Treed,
15,14,2018,201,Forest,Treed,Stable
15,15,1984,197,Forest,Treed,
15,15,2009,201,Forest,Treed,Stable
15,15,2010,196,Forest,Non-treed,Unknown canopy disturbance
15,15,2018,201,Other,Non-treed,Stable
15,16,1984,197,Forest,Treed,
15,16,2018,186,Forest,Treed,Stable
15,17,1984,179,Forest,Treed,
15,17,2018,200,Forest,Treed,Stable
15,18,1984,213,Forest,Treed,
15,18,2018,194,Forest,Treed,Stable
15,19,1984,204,Forest,Treed,
15,19,2018,210,Forest,Treed,Stable
15,20,1984,197,Other,Non-treed,
15,20,2018,202,Other,Non-treed,Stable
15,21,1984,197,Other,Non-treed,
15,21,2018,195,Other,Non-treed,Stable
15,22,1984,204,Forest,Treed,
15,22,2018,201,Forest,Treed,Stable
15,23,1984,179,Forest,Non-treed,
15,23,2002,204,Forest,Treed,Regrowth
15,23,2018,208,Forest,Treed,Stable
15,24,1984,204,Forest,Treed,
15,24,2018,209,Forest,Treed,Stable
15,25,1984,204,Other,Non-treed,
15,25,2009,200,Forest,Treed,Stable
15,25,2018,200,Forest,Treed,Regrowth
15,26,1984,222,Forest,Non-treed,
15,26,2003,218,Forest,Treed,Regrowth
15,26,2018,195,Forest,Treed,Stable
15,27,1984,179,Forest,Treed,
15,27,2018,208,Forest,Treed,Stable
15,28,1984,197,Forest,Treed,
15,28,2018,201,Forest,Treed,Stable
15,29,1984,213,Forest,Treed,
15,29,2018,202,Forest,Treed,Stable
15,30,1984,213,Other,Non-treed,
15,30,2018,194,Other,Non-treed,Stable
15,31,1984,197,Other,Non-treed,
15,31,2018,202,Other,Non-treed,Stable
15,32,1984,197,Other,Non-treed,
15,32,2018,202,Other,Non-treed,Stable
15,33,1984,197,Forest,Treed,
15,33,2018,194,Forest,Treed,Stable
15,34,1984,190,Forest,Treed,
15,34,2018,211,Forest,Treed,Stable
15,35,1984,197,Forest,Non-treed,
15,35,2004,204,Forest,Non-treed,Stable
15,35,2008,199,Forest,Treed,Regrowth
15,35,2018,194,Forest,Treed,Stable
15,36,1984,197,Forest,Treed,
15,36,2018,194,Forest,Treed,Stable
15,37,1984,197,Forest,Treed,
15,37,2018,194,Forest,Treed,Stable
15,38,1984,197,Forest,Treed,
15,38,2018,201,Forest,Treed,Stable
15,39,1984,190,Forest,Treed,
15,39,2018,211,Forest,Treed,Stable
15,40,1984,172,Forest,Treed,
15,40,2018,208,Forest,Treed,Stable
15,41,1984,204,Other,Non-treed,
15,41,2018,201,Other,Non-treed,Stable
15,42,1984,197,Forest,Non-treed,
15,42,2010,196,Forest,Treed,Stable
15,42,2018,194,Forest,Treed,Regrowth
15,43,1984,243,Forest,Treed,
15,43,2018,201,Forest,Treed,Stable
15,44,1984,204,Forest,Treed,
15,44,2007,203,Forest,Treed,Stable
15,44,2008,189,Forest,Non-treed,Harvest
15,44,2018,201,Forest,Treed,Regrowth
15,45,1984,197,Forest,Treed,
15,45,2006,200,Forest,Treed,Stable
15,45,2007,203,Forest,Non-treed,Unknown canopy disturbance
15,45,2013,203,Forest,Treed,Regrowth
15,45,2018,194,Forest,Treed,Stable
15,46,1984,197,Other,Non-treed,
15,46,2018,194,Other,Non-treed,Stable
15,47,1984,197,Forest,Treed,
15,47,2018,202,Forest,Treed,Stable
15,48,1984,179,Forest,Treed,
15,48,2018,200,Forest,Treed,Stable
15,49,1984,222,Forest,Treed,
15,49,2017,200,Forest,Treed,Stable
15,49,2018,211,Forest,Non-treed,Unknown canopy disturbance
15,50,1984,197,Forest,Non-treed,
15,50,2010,196,Forest,Treed,Regrowth
15,50,2018,201,Forest,Treed,Stable
15,51,1984,197,Forest,Non-treed,
15,51,2010,196,Forest,Treed,Stable
15,51,2018,202,Forest,Treed,Regrowth
15,52,1984,197,Forest,Treed,
15,52,2018,201,Forest,Treed,Stable
15,53,1984,179,Forest,Treed,
15,53,2018,201,Forest,Treed,Stable
15,54,1984,197,Other,Non-treed,
15,54,2018,202,Other,Non-treed,Stable
15,55,1984,213,Forest,Non-treed,
15,55,2004,204,Forest,Treed,Regrowth
15,55,2018,202,Forest,Treed,Stable
15,56,1984,243,Other,Non-treed,
15,56,2018,208,Other,Non-treed,Stable
15,57,1984,197,Other,Non-treed,
15,57,2018,210,Other,Non-treed,Stable
15,58,1984,190,Other,Non-treed,
15,58,2018,195,Other,Non-treed,Stable
15,59,1984,213,Forest,Treed,
15,59,2018,202,Forest,Treed,Stable
15,60,1984,213,Forest,Treed,
15,60,2018,193,Forest,Treed,Stable
15,61,1984,172,Forest,Treed,
15,61,2018,201,Forest,Treed,Stable
15,62,1984,179,Other,Non-treed,
15,62,2018,200,Other,Non-treed,Stable
15,63,1984,190,Forest,Treed,
15,63,2018,211,Forest,Treed,Stable
15,64,1984,179,Forest,Treed,
15,64,2018,208,Forest,Treed,Stable
15,65,1984,172,Other,Non-treed,
15,65,2018,201,Other,Non-treed,Stable
15,66,1984,197,Forest,Treed,
15,66,2018,194,Forest,Treed,Stable
15,67,1984,179,Forest,Treed,
15,67,1999,212,Forest,Treed,Stable
15,67,2001,194,Forest,Non-treed,Unknown canopy disturbance
15,67,2018,200,Forest,Treed,Regrowth
15,68,1984,190,Forest,Treed,
15,68,2018,195,Forest,Treed,Stable
15,69,1984,204,Forest,Treed,
15,69,2018,201,Forest,Treed,Stable
15,70,1984,179,Forest,Treed,
15,70,2018,208,Forest,Treed,Stable
15,71,1984,204,Forest,Treed,
15,71,2010,203,Forest,Treed,Stable
15,71,2011,198,Forest,Non-treed,Unknown canopy disturbance
15,71,2018,200,Forest,Treed,Regrowth
15,72,1984,222,Forest,Treed,
15,72,2006,202,Forest,Treed,Stable
15,72,2007,197,Forest,Non-treed,Unknown canopy disturbance
15,72,2018,211,Forest,Treed,Regrowth
15,73,1984,213,Forest,Treed,
15,73,2018,202,Forest,Treed,Stable
15,74,1984,197,Forest,Treed,
15,74,2003,201,Forest,Treed,Stable
15,74,2004,204,Forest,Treed,Unknown canopy disturbance
15,74,2018,209,Forest,Treed,Stable
15,75,1984,204,Other,Non-treed,
15,75,2018,201,Other,Non-treed,Stable
15,76,1984,197,Forest,Non-treed,
15,76,2000,201,Forest,Treed,Regrowth
15,76,2018,194,Forest,Treed,Stable
15,77,1984,190,Forest,Treed,
15,77,2018,202,Forest,Treed,Stable
15,78,1984,172,Forest,Treed,
15,78,2018,200,Forest,Treed,Stable
15,79,1984,197,Other,Non-treed,
15,79,2018,210,Other,Non-treed,Stable
15,80,1984,179,Forest,Treed,
15,80,2018,200,Forest,Treed,Stable
15,81,1984,197,Forest,Treed,
15,81,2018,210,Forest,Treed,Stable
15,82,1984,243,Forest,Treed,
15,82,2008,189,Forest,Treed,Stable
15,82,2009,167,Forest,Non-treed,Unknown canopy disturbance
15,82,2018,200,Forest,Treed,Regrowth
15,83,1984,197,Forest,Treed,
15,83,2018,201,Forest,Treed,Stable
15,84,1984,197,Forest,Treed,
15,84,2018,194,Forest,Treed,Stable
15,85,1984,179,Other,Non-treed,
15,85,2018,200,Other,Non-treed,Stable
15,86,1984,204,Forest,Treed,
15,86,2018,201,Forest,Treed,Stable
15,87,1984,197,Other,Non-treed,
15,87,2018,201,Other,Non-treed,Stable
15,88,1984,243,Other,Non-treed,
15,88,2018,200,Other,Non-treed,Stable
15,89,1984,197,Other,Non-treed,
15,89,2018,202,Other,Non-treed,Stable
15,90,1984,204,Other,Non-treed,
15,90,2018,201,Other,Non-treed,Stable
15,91,1984,179,Forest,Treed,
15,91,2018,200,Forest,Treed,Stable
15,92,1984,172,Forest,Treed,
15,92,2018,201,Forest,Treed,Stable
15,93,1984,213,Forest,Treed,
15,93,2018,193,Forest,Treed,Stable
15,94,1984,204,Forest,Treed,
15,94,2018,201,Forest,Treed,Stable
15,95,1984,252,Forest,Treed,
15,95,1990,204,Forest,Treed,Stable
15,95,1991,223,Forest,Non-treed,Unknown canopy disturbance
15,95,1996,205,Forest,Treed,Regrowth
15,95,2018,193,Forest,Treed,Stable
15,96,1984,179,Forest,Treed,
15,96,2018,201,Forest,Treed,Stable
15,97,1984,197,Other,Non-treed,
15,97,2018,210,Other,Non-treed,Stable
15,98,1984,204,Forest,Treed,
15,98,2010,203,Forest,Treed,Stable
15,98,2011,198,Forest,Non-treed,Unknown canopy disturbance
15,98,2018,201,Forest,Treed,Regrowth
15,99,1984,179,Forest,Treed,
15,99,1999,212,Forest,Treed,Stable
15,99,2000,199,Forest,Treed,Unknown canopy disturbance
15,99,2016,202,Forest,Treed,Stable
15,99,2018,200,Forest,Treed,Unknown canopy disturbance
15,100,1984,197,Forest,Treed,
15,100,2018,202,Forest,Treed,Stable
15,101,1984,197,Forest,Treed,
15,101,2002,190,Forest,Treed,Stable
15,101,2003,201,Forest,Non-treed,Unknown canopy disturbance
15,101,2010,204,Forest,Treed,Regrowth
15,101,2018,194,Forest,Treed,Stable
15,102,1984,190,Forest,Non-treed,
15,102,1995,204,Forest,Treed,Regrowth
15,102,2018,211,Forest,Treed,Stable
15,103,1984,204,Other,Non-treed,
15,103,2018,201,Other,Non-treed,Stable
15,104,1984,197,Forest,Treed,
15,104,2018,194,Forest,Treed,Stable
15,105,1984,179,Forest,Treed,
15,105,2018,201,Forest,Treed,Stable
15,106,1984,213,Other,Non-treed,
15,106,2018,202,Other,Non-treed,Stable
15,107,1984,197,Forest,Treed,
15,107,2018,194,Forest,Treed,Stable
15,108,1984,197,Forest,Non-treed,
15,108,2000,201,Forest,Treed,Stable
15,108,2011,191,Forest,Treed,Regrowth
15,108,2018,194,Forest,Treed,Stable
15,109,1984,204,Other,Non-treed,
15,109,2018,201,Other,Non-treed,Stable
15,110,1984,243,Other,Non-treed,
15,110,2018,208,Other,Non-treed,Stable
15,111,1984,204,Forest,Treed,
15,111,2018,201,Forest,Treed,Stable
15,112,1984,204,Other,Non-treed,
15,112,2018,201,Other,Non-treed,Stable
15,113,1984,197,Forest,Treed,
15,113,2014,206,Forest,Treed,Stable
15,113,2015,202,Forest,Non-treed,Unknown canopy disturbance
15,113,2018,202,Forest,Treed,Regrowth
15,114,1984,252,Other,Non-treed,
15,114,2018,201,Other,Non-treed,Stable
15,115,1984,179,Forest,Treed,
15,115,2011,197,Forest,Treed,Stable
15,115,2012,184,Forest,Non-treed,Unknown canopy disturbance
15,115,2018,200,Forest,Treed,Regrowth
15,116,1984,222,Other,Non-treed,
15,116,2018,211,Other,Non-treed,Stable
15,117,1984,197,Forest,Treed,
15,117,2000,201,Forest,Treed,Stable
15,117,2001,195,Forest,Non-treed,Unknown canopy disturbance
15,117,2009,201,Forest,Treed,Regrowth
15,117,2018,201,Forest,Treed,Stable
15,118,1984,218,Forest,Treed,
15,118,1986,184,Forest,Treed,Stable
15,118,1987,187,Forest,Non-treed,Unknown canopy disturbance
15,118,1999,196,Forest,Treed,Regrowth
15,118,2018,200,Forest,Treed,Stable
15,119,1984,197,Forest,Treed,
15,119,2018,210,Forest,Treed,Stable
15,120,1984,190,Forest,Non-treed,
15,120,2000,186,Forest,Non-treed,Stable
15,120,2006,202,Forest,Treed,Regrowth
15,120,2018,211,Forest,Treed,Stable
15,121,1984,213,Forest,Treed,
15,121,2018,202,Forest,Treed,Stable
15,122,1984,218,Forest,Treed,
15,122,1987,194,Forest,Treed,Stable
15,122,1988,190,Forest,Non-treed,Unknown canopy disturbance
15,122,1996,203,Forest,Treed,Regrowth
15,122,2018,200,Forest,Treed,Stable
15,123,1984,197,Forest,Treed,
15,123,2018,201,Forest,Treed,Stable
15,124,1984,172,Forest,Treed,
15,124,1996,196,Forest,Treed,Stable
15,124,1997,191,Forest,Non-treed,Unknown canopy disturbance
15,124,2010,203,Forest,Treed,Regrowth
15,124,2018,201,Forest,Treed,Stable
15,125,1984,197,Forest,Treed,
15,125,2018,194,Forest,Treed,Stable
15,126,1984,204,Forest,Treed,
15,126,2018,201,Forest,Treed,Stable
15,127,1984,218,Forest,Treed,
15,127,2018,199,Forest,Treed,Stable
15,128,1984,222,Other,Non-treed,
15,128,2018,211,Other,Non-treed,Stable
15,129,1984,172,Other,Non-treed,
15,129,2018,201,Other,Non-treed,Stable
15,130,1984,179,Other,Non-treed,
15,130,2018,208,Other,Non-treed,Stable
15,131,1984,197,Forest,Treed,
