project_id,plotid,year,day,landuse,landcover,change_process
16,1,1984,106,Other,Non-treed,
16,1,2018,207,Other,Non-treed,Stable
16,2,1984,129,Forest,Non-treed,
16,2,2008,154,Forest,Treed,Regrowth
16,2,2018,181,Forest,Treed,Stable
16,3,1985,323,Forest,Treed,
16,3,1996,217,Forest,Treed,Stable
16,3,1998,222,Forest,Non-treed,Unknown canopy disturbance
16,3,2018,173,Forest,Treed,Regrowth
16,4,1984,161,Forest,Treed,
16,4,1994,181,Forest,Treed,Stable
16,4,1995,216,Forest,Non-treed,Unknown canopy disturbance
16,4,2006,198,Forest,Treed,Regrowth
16,4,2018,206,Forest,Treed,Stable
16,5,1984,129,Forest,Non-treed,
16,5,2003,220,Forest,Treed,Regrowth
16,5,2018,206,Forest,Treed,Stable
16,6,1984,330,Other,Non-treed,
16,6,2018,191,Other,Non-treed,Stable
16,7,1984,129,Other,Non-treed,
16,7,2018,206,Other,Non-treed,Stable
16,8,1984,243,Other,Non-treed,
16,8,2018,192,Other,Non-treed,Stable
16,9,1984,120,Other,Non-treed,
16,9,2018,206,Other,Non-treed,Stable
16,10,1984,186,Forest,Treed,
16,10,2018,206,Forest,Treed,Stable
16,11,1984,120,Forest,Treed,
16,11,2000,236,Forest,Treed,Stable
16,11,2001,191,Forest,Non-treed,Unknown canopy disturbance
16,11,2018,174,Forest,Treed,Regrowth
16,12,1984,170,Other,Non-treed,
16,12,2018,206,Other,Non-treed,Stable
16,13,1984,330,Other,Non-treed,
16,13,2018,206,Other,Non-treed,Stable
16,14,1984,186,Forest,Non-treed,
16,14,2001,192,Forest,Treed,Regrowth
16,14,2018,191,Forest,Treed,Stable
16,15,1984,120,Forest,Non-treed,
16,15,1996,322,Forest,Non-treed,Regrowth
16,15,2018,174,Forest,Treed,Stable
16,16,1984,120,Forest,Treed,
16,16,1998,263,Forest,Treed,Stable
16,16,1999,209,Forest,Non-treed,Unknown canopy disturbance
16,16,2011,258,Forest,Treed,Regrowth
16,16,2016,200,Forest,Treed,Stable
16,16,2018,174,Forest,Treed,Stable
16,17,1984,243,Other,Non-treed,
16,17,2018,191,Other,Non-treed,Stable
16,18,1984,186,Forest,Treed,
16,18,2012,223,Forest,Treed,Stable
16,18,2013,200,Forest,Non-treed,Unknown canopy disturbance
16,18,2018,183,Forest,Non-treed,Regrowth
16,19,1984,120,Forest,Treed,
16,19,2006,196,Forest,Treed,Stable
16,19,2007,199,Forest,Non-treed,Unknown canopy disturbance
16,19,2018,173,Forest,Treed,Regrowth
16,20,1984,120,Other,Non-treed,
16,20,2018,206,Other,Non-treed,Stable
16,21,1985,186,Forest,Treed,
16,21,2018,174,Forest,Treed,Stable
16,22,1985,275,Forest,Treed,
16,22,2018,174,Forest,Treed,Stable
16,23,1984,330,Other,Non-treed,
16,23,2018,206,Other,Non-treed,Stable
16,24,1984,161,Forest,Treed,
16,24,2012,246,Forest,Treed,Stable
16,24,2013,200,Forest,Non-treed,Unknown canopy disturbance
16,24,2018,174,Forest,Treed,Regrowth
16,25,1984,312,Forest,Non-treed,
16,25,2008,250,Forest,Treed,Regrowth
16,25,2018,181,Forest,Treed,Stable
16,26,1984,120,Other,Non-treed,
16,26,2018,206,Other,Non-treed,Stable
16,27,1984,186,Other,Non-treed,
16,27,2018,183,Other,Non-treed,Stable
16,28,1984,161,Forest,Non-treed,
16,28,2013,201,Forest,Treed,Regrowth
16,28,2018,191,Forest,Treed,Stable
16,29,1984,113,Forest,Treed,
16,29,2018,191,Forest,Treed,Stable
16,30,1984,129,Forest,Treed,
16,30,1997,180,Forest,Treed,Stable
16,30,1999,209,Forest,Non-treed,Unknown canopy disturbance
16,30,2010,232,Forest,Treed,Regrowth
16,30,2018,206,Forest,Treed,Stable
16,31,1984,129,Other,Non-treed,
16,31,2018,182,Other,Non-treed,Stable
16,32,1984,186,Forest,Treed,
16,32,2018,206,Forest,Treed,Stable
16,33,1984,120,Other,Non-treed,
16,33,2018,174,Other,Non-treed,Stable
16,34,1984,161,Forest,Treed,
16,34,2018,191,Forest,Treed,Stable
16,35,1984,243,Forest,Treed,
16,35,2004,234,Forest,Treed,Stable
16,35,2005,179,Forest,Non-treed,Unknown canopy disturbance
16,35,2018,184,Forest,Treed,Regrowth
16,36,1984,266,Forest,Treed,
16,36,1987,146,Forest,Non-treed,Unknown canopy disturbance
16,36,1998,224,Forest,Treed,Regrowth
16,36,2018,183,Forest,Treed,Stable
16,37,1984,170,Other,Non-treed,
16,37,2018,191,Other,Non-treed,Stable
16,38,1984,113,Forest,Treed,
16,38,2018,181,Forest,Treed,Stable
16,39,1984,186,Other,Non-treed,
16,39,2018,192,Other,Non-treed,Stable
16,40,1984,120,Forest,Non-treed,
16,40,2009,205,Forest,Treed,Regrowth
16,40,2018,206,Forest,Treed,Stable
16,41,1984,129,Other,Non-treed,
16,41,2018,206,Other,Non-treed,Stable
16,42,1984,186,Forest,Treed,
16,42,2018,200,Forest,Treed,Stable
16,43,1984,312,Other,Non-treed,
16,43,2018,206,Other,Non-treed,Stable
16,44,1984,129,Forest,Non-treed,
16,44,1995,207,Forest,Treed,Regrowth
16,44,2018,206,Forest,Treed,Stable
16,45,1985,275,Other,Non-treed,
16,45,2018,175,Other,Non-treed,Stable
16,46,1984,330,Other,Non-treed,
16,46,2018,191,Other,Non-treed,Stable
16,47,1984,120,Other,Non-treed,
16,47,2018,174,Other,Non-treed,Stable
16,48,1984,113,Forest,Treed,
16,48,2018,206,Forest,Treed,Stable
16,49,1985,275,Forest,Treed,
16,49,2018,183,Forest,Treed,Stable
16,50,1984,186,Other,Non-treed,
16,50,2018,206,Other,Non-treed,Stable
16,51,1984,120,Forest,Treed,
