project_id,plotid,year,day,landuse,landcover,change_process
17,5,1984,200,Forest,Treed,
17,5,2018,204,Forest,Treed,Stable
17,4,1984,198,Forest,Treed,
17,4,2018,211,Forest,Treed,Stable
17,3,1984,198,Forest,Treed,
17,3,2018,203,Forest,Treed,Stable
17,2,1984,204,Forest,Treed,
17,2,2018,201,Forest,Treed,Stable
17,1,1984,193,Other,Non-treed,
17,1,2018,199,Other,Non-treed,Stable
17,6,1984,179,Forest,Treed,
17,6,2018,199,Forest,Treed,Stable
17,7,1984,198,Forest,Treed,
17,7,2001,204,Forest,Treed,Stable
17,7,2002,207,Forest,Non-treed,Unknown canopy disturbance
17,7,2018,211,Forest,Treed,Regrowth
17,8,1984,239,Other,Non-treed,
17,8,2018,196,Other,Non-treed,Stable
17,9,1984,204,Forest,Treed,
17,9,2018,201,Forest,Treed,Stable
17,10,1984,198,Forest,Treed,
17,10,2018,203,Forest,Treed,Stable
17,11,1984,264,Forest,Treed,
17,11,1998,222,Forest,Treed,Stable
17,11,1999,249,Forest,Treed,Unknown canopy disturbance
17,11,2018,213,Forest,Treed,Stable
17,12,1984,179,Other,Treed,
17,12,2018,200,Other,Treed,Stable
17,13,1984,179,Forest,Treed,
17,13,2018,200,Forest,Treed,Stable
17,14,1984,175,Forest,Treed,
17,14,2018,196,Forest,Treed,Stable
17,15,1984,198,Forest,Treed,
17,15,2018,203,Forest,Treed,Stable
17,16,1984,193,Forest,Treed,
17,16,2018,199,Forest,Treed,Stable
17,17,1984,200,Forest,Treed,
17,17,2018,198,Forest,Treed,Stable
17,18,1984,170,Forest,Treed,
17,18,2018,199,Forest,Treed,Stable
17,19,1984,204,Other,Non-treed,
17,19,2018,201,Other,Non-treed,Stable
17,20,1984,200,Forest,Treed,
17,20,2018,197,Forest,Treed,Stable
17,21,1984,200,Forest,Treed,
17,21,2018,196,Forest,Treed,Stable
17,22,1984,198,Forest,Treed,
17,22,2018,204,Forest,Treed,Stable
17,23,1984,204,Forest,Treed,
17,23,2018,201,Forest,Treed,Stable
17,24,1984,173,Forest,Treed,
17,24,2018,218,Forest,Treed,Stable
17,25,1984,200,Forest,Treed,
17,25,2018,205,Forest,Treed,Stable
17,26,1984,198,Other,Non-treed,
17,26,2018,203,Other,Non-treed,Stable
17,27,1984,184,Forest,Treed,
17,27,2018,205,Forest,Treed,Stable
17,28,1984,239,Forest,Treed,
17,28,2018,196,Forest,Treed,Stable
17,29,1984,170,Forest,Treed,
17,29,2018,199,Forest,Treed,Stable
17,30,1984,198,Forest,Treed,
17,30,2018,211,Forest,Treed,Stable
17,31,1984,204,Forest,Non-treed,
17,31,2018,201,Forest,Non-treed,Stable
17,32,1984,200,Other,Non-treed,
17,32,2018,188,Other,Non-treed,Stable
17,33,1984,193,Other,Non-treed,
17,33,2018,197,Other,Non-treed,Stable
17,34,1984,198,Forest,Treed,
17,34,2018,202,Forest,Treed,Stable
17,35,1984,184,Forest,Treed,
17,35,1986,205,Forest,Treed,Stable
17,35,1987,192,Other,Non-treed,Harvest
17,35,2016,200,Other,Non-treed,Stable
17,35,2018,205,Forest,Treed,Regrowth
17,36,1984,234,Forest,Treed,
17,36,2018,207,Forest,Treed,Stable
17,37,1984,246,Forest,Treed,
17,37,2018,194,Forest,Treed,Stable
17,38,1984,200,Forest,Treed,
17,38,2010,207,Forest,Treed,Stable
17,38,2011,218,Forest,Treed,Unknown canopy disturbance
17,38,2018,205,Forest,Treed,Stable
17,40,1984,200,Forest,Treed,
17,40,2018,205,Forest,Treed,Stable
17,41,1984,193,Forest,Treed,
17,41,2018,199,Forest,Treed,Stable
17,44,1984,179,Forest,Treed,
17,44,2018,201,Forest,Treed,Stable
17,45,1984,200,Forest,Treed,
17,45,2018,204,Forest,Treed,Stable
17,46,1984,193,Forest,Treed,
17,46,2018,199,Forest,Treed,Stable
17,47,1984,198,Forest,Treed,
17,47,2018,203,Forest,Treed,Stable
17,48,1984,170,Forest,Treed,
17,48,2018,199,Forest,Treed,Stable
17,49,1984,204,Forest,Treed,
17,49,2018,200,Forest,Treed,Stable
17,50,1984,200,Forest,Treed,
17,50,2018,197,Forest,Treed,Stable
17,51,1984,198,Forest,Treed,
17,51,2018,195,Forest,Treed,Stable
17,52,1984,170,Forest,Non-treed,
17,52,2004,201,Forest,Non-treed,Stable
17,52,2018,199,Forest,Treed,Regrowth
17,53,1984,198,Forest,Treed,
17,53,2018,203,Forest,Treed,Stable
17,57,1984,179,Forest,Treed,
17,57,2018,199,Forest,Treed,Stable
17,58,1984,184,Forest,Treed,
17,58,2018,196,Forest,Treed,Stable
17,56,1984,200,Forest,Treed,
17,56,2002,202,Forest,Treed,Stable
17,56,2003,220,Forest,Treed,Unknown canopy disturbance
17,56,2018,198,Forest,Treed,Stable
17,59,1984,200,Forest,Treed,
17,59,2018,206,Forest,Treed,Stable
17,60,1984,220,Forest,Treed,
17,60,2018,200,Forest,Treed,Stable
17,55,1984,204,Forest,Treed,
17,55,2018,201,Forest,Treed,Stable
17,54,1984,198,Forest,Non-treed,
17,54,1992,197,Forest,Treed,Regrowth
17,54,1997,201,Forest,Treed,Stable
17,54,1998,220,Forest,Non-treed,Fire
17,54,2009,210,Forest,Treed,Regrowth
17,54,2018,196,Forest,Treed,Stable
17,61,1984,154,Forest,Treed,
17,61,2018,207,Forest,Treed,Stable
17,62,1984,198,Other,Non-treed,
17,62,2018,203,Other,Non-treed,Stable
17,63,1984,204,Forest,Treed,
17,63,2018,201,Forest,Treed,Stable
17,64,1984,179,Forest,Treed,
17,64,2018,200,Forest,Treed,Stable
17,65,1984,198,Forest,Treed,
17,65,2003,202,Forest,Treed,Stable
17,65,2004,205,Forest,Treed,Unknown canopy disturbance
17,65,2018,204,Forest,Treed,Stable
17,66,1984,179,Other,Non-treed,
17,66,2018,200,Other,Non-treed,Stable
17,67,1984,200,Other,Treed,
17,67,2018,221,Other,Treed,Stable
17,68,1984,170,Forest,Treed,
17,68,2018,199,Forest,Treed,Stable
17,69,1984,200,Forest,Treed,
17,69,2018,197,Forest,Treed,Stable
17,70,1984,200,Forest,Treed,
17,70,2018,205,Forest,Treed,Stable
17,71,1984,200,Forest,Treed,
17,71,2018,198,Forest,Treed,Stable
17,72,1984,193,Forest,Treed,
17,72,2018,199,Forest,Treed,Stable
17,73,1984,200,Forest,Treed,
17,73,2018,204,Forest,Treed,Stable
17,74,1984,200,Forest,Treed,
17,74,2018,204,Forest,Treed,Stable
17,75,1984,200,Forest,Treed,
17,75,2018,205,Forest,Treed,Stable
17,76,1984,200,Other,Non-treed,
17,76,2018,197,Other,Non-treed,Stable
17,77,1984,193,Forest,Treed,
17,77,2018,199,Forest,Treed,Stable
17,78,1984,198,Forest,Treed,
17,78,2009,193,Forest,Treed,Stable
17,78,2010,197,Forest,Treed,Unknown canopy disturbance
17,78,2018,203,Forest,Treed,Stable
17,79,1984,200,Forest,Treed,
17,79,1990,200,Forest,Treed,Stable
17,79,1991,211,Other,Non-treed,Harvest
17,79,2018,205,Other,Non-treed,Stable
17,81,1984,204,Other,Non-treed,
17,81,2018,201,Other,Non-treed,Stable
17,82,1984,200,Forest,Treed,
17,82,2011,202,Forest,Treed,Stable
17,82,2012,237,Forest,Treed,Unknown canopy disturbance
17,82,2018,213,Forest,Treed,Stable
17,84,1984,179,Forest,Treed,
17,84,2018,200,Forest,Treed,Stable
17,86,1984,200,Forest,Treed,
17,86,1985,209,Forest,Treed,Stable
17,86,1986,205,Forest,Non-treed,Unknown canopy disturbance
17,86,2018,213,Forest,Non-treed,Stable
17,87,1984,200,Forest,Treed,
17,87,2018,198,Forest,Treed,Stable
17,85,1984,239,Forest,Non-treed,
17,85,1996,215,Forest,Treed,Regrowth
17,85,2018,203,Forest,Treed,Stable
17,88,1984,198,Forest,Treed,
17,88,2018,195,Forest,Treed,Stable
17,89,1984,200,Forest,Treed,
17,89,2009,197,Forest,Treed,Stable
17,89,2010,200,Forest,Non-treed,Unknown canopy disturbance
17,89,2018,206,Forest,Treed,Regrowth
17,90,1984,198,Forest,Treed,
17,90,2018,195,Forest,Treed,Stable
17,91,1984,271,Forest,Treed,
17,91,2018,212,Forest,Treed,Stable
17,92,1984,200,Forest,Treed,
17,92,2018,197,Forest,Treed,Stable
17,93,1984,198,Forest,Treed,
17,93,2018,194,Forest,Treed,Stable
17,94,1984,200,Forest,Treed,
17,94,2018,204,Forest,Treed,Stable
17,95,1984,200,Forest,Treed,
17,95,2018,197,Forest,Treed,Stable
17,96,1984,198,Forest,Treed,
17,96,2018,203,Forest,Treed,Stable
17,97,1984,193,Forest,Treed,
17,97,2018,205,Forest,Treed,Stable
17,98,1984,200,Other,Treed,
17,98,2018,205,Other,Treed,Stable
17,99,1984,170,Forest,Treed,
17,99,2018,199,Forest,Treed,Stable
17,100,1984,198,Other,Non-treed,
17,100,2018,195,Other,Non-treed,Stable
17,42,1984,170,Forest,Treed,
17,42,2000,190,Forest,Treed,Stable
17,42,2001,208,Forest,Treed,Fire
17,42,2018,207,Forest,Treed,Stable
17,83,1984,179,Forest,Treed,
17,83,2018,200,Forest,Treed,Stable
17,43,1984,198,Other,Non-treed,
17,43,2018,204,Other,Non-treed,Stable
17,101,1984,193,Forest,Treed,
17,101,1991,204,Forest,Treed,Stable
17,101,1992,207,Forest,Treed,Unknown canopy disturbance
17,101,2018,199,Forest,Treed,Stable
17,102,1984,239,Forest,Treed,
17,102,2018,204,Forest,Treed,Stable
17,103,1984,200,Forest,Treed,
17,103,2004,199,Forest,Treed,Stable
17,103,2005,209,Forest,Treed,Unknown canopy disturbance
17,103,2018,205,Forest,Treed,Stable
17,104,1984,200,Forest,Treed,
17,104,1998,199,Forest,Treed,Stable
17,104,1999,202,Forest,Non-treed,Unknown canopy disturbance
17,104,2018,198,Forest,Treed,Regrowth
17,105,1984,198,Forest,Treed,
17,105,2018,196,Forest,Treed,Stable
17,106,1984,204,Forest,Treed,
17,106,2006,200,Forest,Treed,Stable
17,106,2007,195,Forest,Non-treed,Unknown canopy disturbance
17,106,2011,190,Forest,Treed,Regrowth
17,106,2018,201,Forest,Treed,Stable
17,107,1984,193,Forest,Treed,
17,107,2016,201,Forest,Treed,Stable
17,107,2017,187,Forest,Non-treed,Fire
17,107,2018,198,Forest,Non-treed,Stable
17,108,1984,200,Forest,Treed,
17,108,2018,196,Forest,Treed,Stable
17,109,1984,198,Forest,Treed,
17,109,2010,189,Forest,Treed,Stable
17,109,2012,171,Forest,Treed,Unknown canopy disturbance
17,109,2018,187,Forest,Treed,Stable
17,110,1984,198,Forest,Treed,
17,110,2018,203,Forest,Treed,Stable
17,111,1984,246,Forest,Treed,
17,111,2018,178,Forest,Treed,Stable
17,112,1984,198,Forest,Treed,
17,112,2018,203,Forest,Treed,Stable
17,113,1984,204,Forest,Treed,
17,113,2018,201,Forest,Treed,Stable
17,114,1984,234,Forest,Treed,
17,114,2018,199,Forest,Treed,Stable
17,115,1984,200,Forest,Treed,
17,115,2018,197,Forest,Treed,Stable
17,116,1984,175,Forest,Treed,
17,116,2018,195,Forest,Treed,Stable
17,117,1984,193,Forest,Treed,
17,117,2018,198,Forest,Treed,Stable
17,118,1984,182,Forest,Treed,
17,118,2018,194,Forest,Treed,Stable
17,119,1984,193,Other,Non-treed,
17,119,2018,199,Other,Non-treed,Stable
17,120,1984,198,Other,Non-treed,
17,120,2018,203,Other,Non-treed,Stable
17,121,1984,204,Forest,Treed,
17,121,2016,203,Forest,Treed,Stable
17,121,2017,198,Forest,Non-treed,Unknown canopy disturbance
17,121,2018,200,Forest,Treed,Stable
17,122,1984,154,Forest,Treed,
17,122,1985,236,Forest,Treed,Stable
17,122,1986,207,Forest,Treed,Unknown canopy disturbance
17,122,2018,199,Forest,Treed,Stable
17,123,1984,198,Forest,Treed,
17,123,2018,203,Forest,Treed,Stable
17,124,1984,204,Other,Non-treed,
17,124,2018,201,Other,Non-treed,Stable
17,125,1984,193,Forest,Treed,
17,125,2002,202,Forest,Treed,Stable
17,125,2003,197,Forest,Non-treed,Unknown canopy disturbance
17,125,2008,219,Forest,Treed,Regrowth
17,125,2018,206,Forest,Treed,Stable
17,126,1984,193,Forest,Treed,
17,126,2018,198,Forest,Treed,Stable
17,127,1984,200,Forest,Treed,
17,127,2018,205,Forest,Treed,Stable
17,128,1984,170,Forest,Treed,
17,128,2018,199,Forest,Treed,Stable
17,129,1984,179,Other,Non-treed,
17,129,2018,199,Other,Non-treed,Stable
17,130,1984,204,Forest,Treed,
17,130,2018,201,Forest,Treed,Stable
17,131,1984,175,Forest,Treed,
17,131,2018,196,Forest,Treed,Stable
17,132,1984,154,Forest,Treed,
17,132,2018,199,Forest,Treed,Stable
17,133,1984,198,Forest,Treed,
17,133,2018,203,Forest,Treed,Stable
17,134,1984,204,Forest,Treed,
17,134,2018,201,Forest,Treed,Stable
17,135,1984,204,Other,Non-treed,
17,135,2018,201,Other,Non-treed,Stable
17,136,1984,204,Forest,Treed,
17,136,2018,201,Forest,Treed,Stable
17,137,1984,200,Forest,Treed,
17,137,1988,202,Forest,Treed,Stable
17,137,1989,204,Forest,Treed,Unknown canopy disturbance
17,137,2004,199,Forest,Treed,Stable
17,137,2005,208,Forest,Non-treed,Unknown canopy disturbance
17,137,2010,198,Forest,Treed,Regrowth
17,137,2018,196,Forest,Treed,Stable
17,138,1984,239,Forest,Treed,
17,138,2018,196,Forest,Treed,Stable
17,139,1984,200,Other,Non-treed,
17,139,2018,204,Other,Non-treed,Stable
17,140,1984,200,Other,Non-treed,
17,140,1994,195,Forest,Non-treed,Stable
17,140,2000,204,Forest,Treed,Regrowth
17,140,2018,196,Forest,Treed,Stable
17,141,1984,193,Other,Non-treed,
17,141,2018,206,Other,Non-treed,Stable
17,144,1984,200,Other,Non-treed,
17,144,2007,199,Forest,Non-treed,Stable
17,144,2010,191,Forest,Treed,Regrowth
17,144,2018,196,Forest,Treed,Stable
17,143,1984,200,Forest,Treed,
17,143,1998,199,Forest,Treed,Stable
17,143,2000,188,Forest,Treed,Unknown canopy disturbance
17,143,2018,205,Forest,Treed,Stable
17,145,1984,170,Other,Non-treed,
17,145,2018,199,Other,Non-treed,Stable
17,146,1984,200,Forest,Treed,
17,146,2018,205,Forest,Treed,Stable
17,147,1984,198,Other,Non-treed,
17,147,2018,211,Other,Non-treed,Stable
17,148,1984,175,Forest,Treed,
17,148,2011,210,Forest,Treed,Stable
17,148,2012,212,Forest,Treed,Unknown canopy disturbance
17,148,2018,204,Forest,Treed,Stable
17,149,1984,200,Forest,Treed,
17,149,2018,196,Forest,Treed,Stable
17,150,1984,184,Other,Non-treed,
17,150,2018,205,Other,Non-treed,Stable
17,152,1984,204,Other,Non-treed,
17,152,2018,201,Other,Non-treed,Stable
17,153,1984,200,Forest,Treed,
17,153,2018,204,Forest,Treed,Stable
17,154,1984,200,Forest,Treed,
17,154,2018,196,Forest,Treed,Stable
17,155,1984,193,Forest,Treed,
17,155,1999,202,Forest,Treed,Stable
17,155,2000,213,Forest,Non-treed,Unknown canopy disturbance
17,155,2008,187,Forest,Treed,Regrowth
17,155,2018,198,Forest,Treed,Stable
17,151,1984,200,Other,Non-treed,
17,151,2008,201,Forest,Non-treed,Stable
17,151,2018,205,Forest,Treed,Regrowth
17,156,1984,239,Forest,Treed,
17,156,2014,161,Forest,Treed,Stable
17,156,2015,196,Forest,Treed,Gravitational event
17,156,2018,188,Forest,Treed,Stable
17,157,1984,204,Forest,Treed,
17,157,1986,225,Forest,Treed,Stable
17,157,1987,196,Forest,Treed,Unknown canopy disturbance
17,157,2018,193,Forest,Treed,Stable
17,158,1984,179,Forest,Treed,
17,158,1998,201,Forest,Treed,Stable
17,158,1999,204,Forest,Non-treed,Unknown canopy disturbance
17,158,2006,199,Forest,Treed,Regrowth
17,158,2018,192,Forest,Treed,Stable
17,159,1984,239,Forest,Treed,
17,159,2018,196,Forest,Treed,Stable
17,160,1984,193,Forest,Treed,
17,160,2018,199,Forest,Treed,Stable
17,161,1984,193,Other,Non-treed,
17,161,2018,199,Other,Non-treed,Stable
17,162,1984,197,Forest,Treed,
