project_id,plotid,year,day,landuse,landcover,change_process
18,1,1984,190,Forest,Treed,
18,1,2018,194,Forest,Treed,Stable
18,2,1984,252,Forest,Treed,
18,2,2018,201,Forest,Treed,Stable
18,3,1984,213,Other,Non-treed,
18,3,2018,202,Other,Non-treed,Stable
18,4,1984,252,Forest,Treed,
18,4,1993,212,Forest,Treed,Stable
18,4,1994,215,Forest,Non-treed,Unknown canopy disturbance
18,4,1999,197,Forest,Treed,Regrowth
18,4,2018,209,Forest,Treed,Stable
18,5,1984,190,Forest,Non-treed,
18,5,1991,193,Forest,Treed,Regrowth
18,5,2018,179,Forest,Treed,Stable
18,6,1984,199,Forest,Treed,
18,6,2018,211,Forest,Treed,Stable
18,7,1984,199,Forest,Treed,
18,7,1991,186,Forest,Treed,Stable
18,7,1992,181,Forest,Treed,Unknown canopy disturbance
18,7,2018,212,Forest,Treed,Stable
18,10,1984,213,Forest,Treed,
18,10,2018,201,Forest,Treed,Stable
18,12,1984,126,Forest,Treed,
18,12,2018,211,Forest,Treed,Stable
18,11,1984,213,Other,Non-treed,
18,11,2018,201,Other,Non-treed,Stable
18,13,1984,279,Forest,Treed,
18,13,2018,204,Forest,Treed,Stable
18,14,1984,252,Other,Non-treed,
18,14,2018,201,Other,Non-treed,Stable
18,15,1984,110,Forest,Treed,
18,15,2009,219,Forest,Treed,Stable
18,15,2010,198,Forest,Non-treed,Unknown canopy disturbance
18,15,2017,224,Forest,Non-treed,Stable
18,15,2018,211,Forest,Treed,Regrowth
18,16,1984,190,Forest,Treed,
18,16,2018,218,Forest,Treed,Stable
18,17,1984,156,Forest,Treed,
18,17,2018,200,Forest,Treed,Stable
18,18,1984,213,Forest,Treed,
18,18,2002,199,Forest,Treed,Stable
18,18,2003,210,Forest,Treed,Unknown canopy disturbance
18,18,2013,196,Forest,Treed,Stable
18,18,2014,207,Forest,Non-treed,Unknown canopy disturbance
18,18,2018,203,Forest,Non-treed,Stable
18,19,1984,252,Forest,Treed,
18,19,2018,201,Forest,Treed,Stable
18,20,1984,252,Other,Non-treed,
18,20,2018,200,Other,Non-treed,Stable
18,21,1984,126,Forest,Treed,
