project_id,plotid,year,day,landuse,landcover,change_process
19,1,1984,163,Forest,Treed,
19,1,2018,200,Forest,Treed,Stable
19,3,1984,165,Forest,Treed,
19,3,2000,193,Forest,Treed,Stable
19,3,2001,196,Forest,Non-treed,Harvest
19,3,2018,202,Forest,Treed,Regrowth
19,4,1984,190,Forest,Treed,
19,4,2018,218,Forest,Treed,Stable
19,5,1984,190,Forest,Treed,
19,5,2018,202,Forest,Treed,Stable
19,6,1984,213,Forest,Treed,
19,6,2018,202,Forest,Treed,Stable
19,7,1984,213,Forest,Treed,
19,7,2018,186,Forest,Treed,Stable
19,8,1984,190,Forest,Treed,
19,8,2018,212,Forest,Treed,Stable
19,9,1984,190,Other,Non-treed,
19,9,2018,172,Other,Non-treed,Stable
19,10,1984,190,Forest,Treed,
19,10,2018,212,Forest,Treed,Stable
19,11,1984,190,Forest,Treed,
19,11,2018,196,Forest,Treed,Stable
19,12,1984,190,Forest,Treed,
19,12,2018,202,Forest,Treed,Stable
19,13,1984,213,Forest,Treed,
19,13,2018,201,Forest,Treed,Stable
19,14,1984,243,Forest,Treed,
19,14,2018,192,Forest,Treed,Stable
19,15,1984,190,Forest,Treed,
19,15,2018,202,Forest,Treed,Stable
19,16,1984,190,Forest,Treed,
19,16,2018,188,Forest,Treed,Stable
19,17,1984,156,Forest,Treed,
19,17,1989,177,Forest,Treed,Stable
19,17,1990,181,Forest,Non-treed,Unknown canopy disturbance
19,17,2018,202,Forest,Treed,Regrowth
19,18,1984,165,Forest,Treed,
19,18,2018,203,Forest,Treed,Stable
19,19,1984,252,Forest,Treed,
19,19,2018,201,Forest,Treed,Stable
19,20,1984,190,Forest,Treed,
19,20,2018,180,Forest,Treed,Stable
19,21,1984,190,Forest,Treed,
19,21,2018,203,Forest,Treed,Stable
19,23,1984,190,Forest,Treed,
19,23,2018,203,Forest,Treed,Stable
19,24,1984,165,Forest,Treed,
19,24,2018,202,Forest,Treed,Stable
19,25,1984,156,Forest,Treed,
19,25,2018,201,Forest,Treed,Stable
19,26,1984,142,Forest,Treed,
19,26,2018,211,Forest,Treed,Stable
19,27,1984,252,Forest,Treed,
19,27,2018,241,Forest,Treed,Stable
19,29,1984,163,Forest,Treed,
19,29,1992,162,Forest,Treed,Stable
19,29,1993,180,Forest,Treed,Unknown canopy disturbance
19,29,2018,201,Forest,Treed,Stable
19,30,1984,215,Forest,Treed,
19,30,2018,211,Forest,Treed,Stable
19,31,1984,156,Forest,Non-treed,
19,31,2018,178,Forest,Treed,Regrowth
19,32,1984,213,Forest,Treed,
19,32,2018,201,Forest,Treed,Stable
19,34,1984,156,Forest,Treed,
19,34,2011,199,Forest,Treed,Stable
19,34,2012,218,Forest,Non-treed,Harvest
19,34,2018,178,Forest,Treed,Regrowth
19,35,1984,190,Forest,Treed,
19,35,2018,171,Forest,Treed,Stable
19,36,1984,190,Forest,Treed,
19,36,2018,211,Forest,Treed,Stable
19,38,1984,190,Forest,Treed,
19,38,2018,211,Forest,Treed,Stable
19,40,1984,213,Forest,Treed,
19,40,2005,190,Forest,Treed,Stable
19,40,2006,209,Forest,Non-treed,Unknown canopy disturbance
19,40,2018,201,Forest,Non-treed,Stable
19,41,1984,213,Other,Non-treed,
19,41,2018,201,Other,Non-treed,Stable
19,42,1984,163,Other,Non-treed,
19,42,2018,208,Other,Non-treed,Stable
19,43,1984,163,Forest,Treed,
19,43,2018,200,Forest,Treed,Stable
19,45,1984,190,Other,Non-treed,
19,45,2018,202,Other,Non-treed,Stable
19,46,1984,156,Other,Non-treed,
19,46,2018,208,Other,Non-treed,Stable
19,47,1984,190,Forest,Treed,
19,47,2018,211,Forest,Treed,Stable
19,48,1984,156,Forest,Treed,
19,48,2018,201,Forest,Treed,Stable
19,49,1984,190,Forest,Treed,
19,49,2018,202,Forest,Treed,Stable
19,50,1984,190,Forest,Treed,
19,50,2018,211,Forest,Treed,Stable
19,51,1984,213,Forest,Treed,
19,51,2018,209,Forest,Treed,Stable
19,52,1984,165,Forest,Treed,
19,52,2018,203,Forest,Treed,Stable
19,53,1984,149,Forest,Treed,
19,53,2018,203,Forest,Treed,Stable
19,54,1984,190,Forest,Treed,
19,54,2018,211,Forest,Treed,Stable
19,55,1984,190,Forest,Treed,
19,55,2018,212,Forest,Treed,Stable
19,56,1984,190,Forest,Treed,
19,56,2018,202,Forest,Treed,Stable
19,57,1984,213,Forest,Non-treed,
19,57,2018,178,Forest,Treed,Stable
19,58,1984,163,Forest,Treed,
19,58,1989,208,Forest,Treed,Stable
19,58,1990,179,Forest,Non-treed,Unknown canopy disturbance
19,58,1996,205,Forest,Treed,Regrowth
19,58,2018,201,Forest,Treed,Stable
19,59,1984,190,Forest,Treed,
19,59,2018,211,Forest,Treed,Stable
19,60,1984,163,Forest,Treed,
19,60,2018,200,Forest,Treed,Stable
19,61,1984,238,Forest,Treed,
19,61,2018,187,Forest,Treed,Stable
19,62,1984,190,Forest,Treed,
19,62,2018,202,Forest,Treed,Stable
19,63,1984,156,Forest,Treed,
19,63,2018,192,Forest,Treed,Stable
19,64,1984,165,Forest,Treed,
19,64,2018,202,Forest,Treed,Stable
19,65,1984,165,Forest,Treed,
19,65,2018,203,Forest,Treed,Stable
19,66,1984,243,Forest,Treed,
19,66,2018,201,Forest,Treed,Stable
19,69,1984,190,Forest,Treed,
19,69,2018,202,Forest,Treed,Stable
19,70,1984,165,Forest,Treed,
19,70,2018,202,Forest,Treed,Stable
19,71,1984,165,Forest,Treed,
19,71,2001,194,Forest,Treed,Stable
19,71,2002,197,Forest,Treed,Unknown canopy disturbance
19,71,2018,201,Forest,Treed,Stable
19,72,1984,190,Other,Non-treed,
19,72,2018,180,Other,Non-treed,Stable
19,73,1984,190,Forest,Treed,
19,73,2018,196,Forest,Treed,Stable
19,74,1984,190,Other,Non-treed,
19,74,2018,211,Other,Non-treed,Stable
19,75,1984,190,Forest,Treed,
19,75,2018,211,Forest,Treed,Stable
19,76,1984,149,Other,Non-treed,
19,76,2018,202,Other,Non-treed,Stable
19,78,1984,190,Forest,Treed,
19,78,2018,203,Forest,Treed,Stable
19,79,1984,190,Forest,Treed,
19,79,2000,138,Forest,Treed,Stable
19,79,2001,228,Forest,Non-treed,Unknown canopy disturbance
19,79,2005,206,Forest,Treed,Regrowth
19,79,2018,202,Forest,Treed,Stable
19,83,1984,190,Forest,Treed,
19,83,2018,211,Forest,Treed,Stable
19,84,1984,165,Forest,Treed,
19,84,2018,203,Forest,Treed,Stable
19,85,1984,190,Forest,Treed,
19,85,2018,202,Forest,Treed,Stable
19,88,1984,190,Forest,Treed,
19,88,2018,203,Forest,Treed,Stable
19,89,1984,213,Forest,Treed,
19,89,2018,169,Forest,Treed,Stable
19,90,1984,213,Other,Non-treed,
19,90,2018,201,Other,Non-treed,Stable
19,93,1984,190,Forest,Treed,
19,93,2018,203,Forest,Treed,Stable
19,94,1984,252,Forest,Treed,
19,94,2018,202,Forest,Treed,Stable
19,95,1984,190,Forest,Treed,
19,95,2018,220,Forest,Treed,Stable
19,96,1984,190,Forest,Treed,
19,96,2018,211,Forest,Treed,Stable
19,97,1984,213,Forest,Treed,
19,97,2018,208,Forest,Treed,Stable
19,2,1984,215,Forest,Non-treed,
19,2,1994,194,Forest,Treed,Regrowth
19,2,2018,188,Forest,Treed,Stable
19,22,1984,156,Forest,Treed,
19,22,1994,199,Forest,Treed,Stable
19,22,1995,234,Forest,Non-treed,Unknown canopy disturbance
19,22,1996,205,Forest,Treed,Regrowth
19,22,2018,201,Forest,Treed,Stable
19,33,1984,190,Forest,Non-treed,
19,33,1996,207,Forest,Treed,Regrowth
19,33,2018,203,Forest,Treed,Stable
19,44,1984,190,Forest,Treed,
19,44,2006,187,Forest,Treed,Stable
19,44,2007,198,Forest,Non-treed,Harvest
19,44,2018,212,Forest,Treed,Regrowth
19,80,1984,156,Forest,Treed,
19,80,2018,201,Forest,Treed,Stable
19,81,1984,156,Forest,Treed,
19,81,1994,206,Forest,Treed,Stable
19,81,1995,193,Forest,Treed,Unknown canopy disturbance
19,81,2006,200,Forest,Treed,Stable
19,81,2007,203,Forest,Non-treed,Unknown canopy disturbance
19,81,2018,201,Forest,Treed,Regrowth
19,82,1984,213,Other,Non-treed,
19,82,2018,202,Other,Non-treed,Stable
19,37,1984,156,Forest,Treed,
19,37,2001,194,Forest,Treed,Stable
19,37,2002,197,Forest,Non-treed,Unknown canopy disturbance
19,37,2018,201,Forest,Treed,Regrowth
19,86,1984,190,Forest,Treed,
19,86,1998,155,Forest,Treed,Stable
19,86,1999,191,Forest,Non-treed,Unknown canopy disturbance
19,86,2000,217,Forest,Treed,Regrowth
19,86,2018,203,Forest,Treed,Stable
19,87,1984,165,Forest,Treed,
19,87,2000,217,Forest,Treed,Stable
19,87,2001,196,Forest,Treed,Unknown canopy disturbance
19,87,2018,201,Forest,Treed,Stable
19,91,1984,156,Forest,Treed,
19,91,2011,191,Forest,Treed,Stable
19,91,2013,203,Forest,Non-treed,Harvest
19,91,2018,218,Forest,Treed,Regrowth
19,92,1984,213,Forest,Treed,
19,92,2018,202,Forest,Treed,Stable
19,98,1984,190,Forest,Non-treed,
19,98,2006,202,Forest,Non-treed,Stable
19,98,2018,211,Forest,Treed,Regrowth
19,100,1984,190,Forest,Treed,
19,100,2018,211,Forest,Treed,Stable
19,101,1984,213,Forest,Treed,
19,101,2018,201,Forest,Treed,Stable
19,102,1984,156,Forest,Treed,
19,102,2018,185,Forest,Treed,Stable
19,103,1984,165,Forest,Non-treed,
19,103,2018,202,Forest,Treed,Regrowth
19,104,1984,190,Forest,Treed,
19,104,2018,211,Forest,Treed,Stable
19,105,1984,190,Forest,Treed,
19,105,2018,187,Forest,Treed,Stable
19,106,1984,174,Forest,Treed,
19,106,2018,203,Forest,Treed,Stable
19,107,1984,190,Forest,Treed,
19,107,2018,220,Forest,Treed,Stable
19,108,1984,213,Forest,Treed,
19,108,2018,202,Forest,Treed,Stable
19,109,1984,190,Forest,Treed,
19,109,2018,211,Forest,Treed,Stable
19,110,1984,190,Forest,Treed,
19,110,2018,180,Forest,Treed,Stable
19,111,1984,190,Forest,Treed,
19,111,2018,202,Forest,Treed,Stable
19,112,1984,190,Forest,Treed,
19,112,2008,208,Forest,Treed,Stable
19,112,2009,242,Forest,Non-treed,Harvest
19,112,2018,202,Forest,Treed,Regrowth
19,113,1984,190,Forest,Treed,
19,113,2018,202,Forest,Treed,Stable
19,114,1984,190,Forest,Treed,
19,114,2018,202,Forest,Treed,Stable
19,116,1984,215,Forest,Treed,
19,116,2018,211,Forest,Treed,Stable
19,117,1984,190,Forest,Treed,
19,117,2009,210,Forest,Treed,Stable
19,117,2010,205,Forest,Non-treed,Harvest
19,117,2018,211,Forest,Treed,Regrowth
19,118,1984,190,Forest,Treed,
19,118,2016,199,Forest,Treed,Stable
19,118,2017,209,Forest,Non-treed,Harvest
19,118,2018,212,Forest,Non-treed,Stable
19,119,1984,190,Forest,Treed,
19,119,2018,188,Forest,Treed,Stable
19,120,1984,190,Other,Non-treed,
19,120,2018,196,Other,Non-treed,Stable
19,121,1984,190,Forest,Treed,
19,121,2007,198,Forest,Treed,Stable
19,121,2008,200,Forest,Non-treed,Harvest
