project_id,plotid,year,day,landuse,landcover,change_process
34,2,1984,192,Forest,Treed,
34,2,2018,196,Forest,Treed,Stable
34,3,1984,199,Forest,Treed,
34,3,2018,196,Forest,Treed,Stable
34,4,1984,215,Forest,Treed,
34,4,2018,196,Forest,Treed,Stable
34,5,1984,199,Forest,Treed,
34,5,2018,197,Forest,Treed,Stable
34,6,1984,199,Other,Non-treed,
34,6,2018,196,Other,Non-treed,Stable
34,7,1984,199,Forest,Treed,
34,7,2018,197,Forest,Treed,Stable
34,9,1984,183,Forest,Treed,
34,9,2018,196,Forest,Treed,Stable
34,10,1984,192,Other,Non-treed,
34,10,2018,197,Other,Non-treed,Stable
34,11,1984,199,Forest,Treed,
34,11,1991,202,Forest,Treed,Stable
34,11,1992,214,Forest,Non-treed,Unknown canopy disturbance
34,11,1995,190,Forest,Treed,Regrowth
34,11,2018,220,Forest,Treed,Stable
34,12,1984,192,Other,Non-treed,
34,12,2018,197,Other,Non-treed,Stable
34,13,1984,199,Forest,Treed,
34,13,2018,203,Forest,Treed,Stable
34,14,1984,176,Forest,Treed,
34,14,2018,197,Forest,Treed,Stable
34,16,1984,192,Forest,Treed,
34,16,2018,197,Forest,Treed,Stable
34,17,1984,215,Forest,Treed,
34,17,2018,203,Forest,Treed,Stable
34,18,1984,199,Forest,Treed,
34,18,2018,197,Forest,Treed,Stable
34,19,1984,176,Forest,Treed,
34,19,1997,227,Forest,Treed,Stable
34,19,1998,182,Forest,Treed,Unknown canopy disturbance
34,19,2018,197,Forest,Treed,Stable
34,20,1984,199,Forest,Treed,
34,20,1999,192,Forest,Treed,Stable
34,20,2000,195,Forest,Non-treed,Unknown canopy disturbance
34,20,2004,190,Forest,Treed,Regrowth
34,20,2018,196,Forest,Treed,Stable
34,21,1984,215,Forest,Treed,
34,21,2018,196,Forest,Treed,Stable
34,22,1984,192,Forest,Treed,
34,22,1990,192,Forest,Treed,Stable
34,22,1992,230,Forest,Non-treed,Unknown canopy disturbance
34,22,1997,195,Forest,Treed,Regrowth
34,22,2018,197,Forest,Treed,Stable
34,23,1984,199,Forest,Treed,
34,23,2018,196,Forest,Treed,Stable
34,24,1984,199,Forest,Treed,
34,24,2018,196,Forest,Treed,Stable
34,25,1984,192,Forest,Treed,
34,25,2015,197,Forest,Treed,Stable
34,25,2016,216,Forest,Non-treed,Unknown canopy disturbance
34,25,2018,197,Forest,Treed,Regrowth
34,26,1984,192,Other,Non-treed,
34,26,2018,197,Other,Non-treed,Stable
34,27,1984,199,Forest,Treed,
34,27,2018,196,Forest,Treed,Stable
34,28,1984,199,Forest,Treed,
34,28,2018,196,Forest,Treed,Stable
34,29,1984,199,Forest,Treed,
34,29,2018,197,Forest,Treed,Stable
34,31,1984,199,Forest,Treed,
34,31,2012,156,Forest,Treed,Stable
34,31,2013,206,Forest,Non-treed,Uprooting and breakage
34,31,2018,196,Forest,Non-treed,Regrowth
34,33,1984,199,Forest,Treed,
34,33,1999,192,Forest,Treed,Stable
34,33,2000,164,Forest,Non-treed,Unknown canopy disturbance
34,33,2004,199,Forest,Treed,Regrowth
34,33,2018,189,Forest,Treed,Stable
34,35,1984,199,Forest,Treed,
34,35,2018,196,Forest,Treed,Stable
34,37,1984,199,Other,Non-treed,
34,37,2018,197,Other,Non-treed,Stable
34,39,1984,199,Forest,Treed,
34,39,2018,203,Forest,Treed,Stable
34,40,1984,199,Forest,Treed,
34,40,2018,197,Forest,Treed,Stable
34,41,1984,199,Forest,Treed,
34,41,2018,197,Forest,Treed,Stable
34,44,1984,192,Forest,Treed,
34,44,2018,197,Forest,Treed,Stable
34,45,1984,199,Other,Non-treed,
34,45,2018,203,Other,Non-treed,Stable
34,46,1984,199,Forest,Treed,
34,46,2018,203,Forest,Treed,Stable
34,47,1984,199,Forest,Treed,
34,47,2018,196,Forest,Treed,Stable
34,48,1984,199,Other,Non-treed,
34,48,2018,196,Other,Non-treed,Stable
34,49,1984,192,Forest,Treed,
34,49,2018,197,Forest,Treed,Stable
34,50,1984,199,Forest,Non-treed,
34,50,1996,200,Forest,Treed,Regrowth
34,50,2018,197,Forest,Treed,Stable
34,51,1984,199,Other,Non-treed,
34,51,2018,197,Other,Non-treed,Stable
34,55,1984,199,Forest,Treed,
34,55,2018,196,Forest,Treed,Stable
34,57,1984,199,Forest,Treed,
