project_id,plotid,year,day,landuse,landcover,change_process
20,1,1984,251,Forest,Treed,
20,1,1995,201,Forest,Treed,Stable
20,1,1996,188,Forest,Non-treed,Unknown canopy disturbance
20,1,2005,204,Forest,Treed,Regrowth
20,1,2018,192,Forest,Treed,Stable
20,2,1984,251,Other,Non-treed,
20,2,2018,200,Other,Non-treed,Stable
20,3,1984,196,Forest,Treed,
20,3,2018,200,Forest,Treed,Stable
20,4,1984,185,Other,Non-treed,
20,4,2018,206,Other,Non-treed,Stable
20,5,1984,171,Forest,Treed,
20,5,2018,192,Forest,Treed,Stable
20,6,1984,178,Other,Non-treed,
20,6,2018,206,Other,Non-treed,Stable
20,7,1984,171,Forest,Treed,
20,7,2018,184,Forest,Treed,Stable
20,10,1984,171,Forest,Non-treed,
20,10,2010,202,Forest,Treed,Stable
20,10,2018,184,Forest,Treed,Regrowth
20,11,1984,242,Other,Non-treed,
20,11,2018,215,Other,Non-treed,Stable
20,12,1984,171,Forest,Treed,
20,12,2018,200,Forest,Treed,Stable
20,13,1984,171,Forest,Treed,
20,13,2018,192,Forest,Treed,Stable
20,14,1984,171,Forest,Treed,
20,14,2018,215,Forest,Treed,Stable
20,15,1984,251,Other,Non-treed,
20,15,2018,192,Other,Non-treed,Stable
20,16,1984,196,Forest,Treed,
20,16,2018,193,Forest,Treed,Stable
20,17,1984,242,Forest,Treed,
20,17,2018,215,Forest,Treed,Stable
20,18,1984,235,Forest,Non-treed,
20,18,2000,199,Forest,Treed,Regrowth
20,18,2018,200,Forest,Treed,Stable
20,19,1984,178,Forest,Treed,
20,19,2018,215,Forest,Treed,Stable
20,20,1984,178,Other,Non-treed,
20,20,2018,223,Other,Non-treed,Stable
20,21,1984,178,Forest,Treed,
20,21,2018,200,Forest,Treed,Stable
20,22,1984,171,Other,Non-treed,
20,22,2018,192,Other,Non-treed,Stable
20,23,1984,178,Forest,Treed,
20,23,2018,215,Forest,Treed,Stable
20,24,1984,178,Forest,Treed,
