project_id,plotid,year,day,landuse,landcover,change_process
22,1,1984,226,Forest,Treed,
22,1,2018,207,Forest,Treed,Stable
22,3,1984,171,Forest,Treed,
22,3,2018,200,Forest,Treed,Stable
22,4,1984,171,Forest,Treed,
22,4,2018,200,Forest,Treed,Stable
22,5,1984,226,Forest,Treed,
22,5,2005,243,Forest,Treed,Stable
22,5,2006,199,Forest,Treed,Unknown canopy disturbance
22,5,2018,207,Forest,Treed,Stable
22,2,1984,226,Other,Non-treed,
22,2,2018,200,Other,Non-treed,Stable
22,6,1984,171,Other,Non-treed,
22,6,2018,200,Other,Non-treed,Stable
22,7,1984,226,Other,Non-treed,
22,7,2018,207,Other,Non-treed,Stable
22,8,1984,226,Forest,Treed,
22,8,2016,202,Forest,Treed,Stable
22,8,2017,189,Forest,Non-treed,Unknown canopy disturbance
22,8,2018,207,Forest,Non-treed,Regrowth
22,9,1984,226,Forest,Treed,
22,9,2006,206,Forest,Treed,Stable
22,9,2007,217,Forest,Treed,Unknown canopy disturbance
22,9,2011,141,Forest,Treed,Stable
22,9,2012,144,Forest,Non-treed,Unknown canopy disturbance
22,9,2018,200,Forest,Treed,Regrowth
22,10,1984,226,Forest,Treed,
22,10,2018,200,Forest,Treed,Stable
22,11,1984,226,Other,Non-treed,
22,11,2018,200,Other,Non-treed,Stable
22,12,1984,226,Forest,Treed,
22,12,2018,200,Forest,Treed,Stable
22,13,1984,171,Forest,Treed,
22,13,2018,207,Forest,Treed,Stable
22,14,1984,178,Forest,Treed,
22,14,2018,207,Forest,Treed,Stable
22,15,1984,171,Forest,Treed,
22,15,2005,195,Forest,Treed,Stable
22,15,2006,199,Forest,Treed,Unknown canopy disturbance
22,15,2018,207,Forest,Treed,Stable
22,17,1984,226,Forest,Treed,
22,17,2017,212,Forest,Treed,Stable
22,17,2018,200,Forest,Non-treed,Harvest
22,18,1984,226,Other,Non-treed,
22,18,2018,207,Other,Non-treed,Stable
22,20,1984,226,Forest,Treed,
22,20,2012,144,Forest,Treed,Stable
