project_id,plotid,year,day,landuse,landcover,change_process
23,1,1984,212,Forest,Treed,
23,1,2018,193,Forest,Treed,Stable
23,2,1984,201,Forest,Treed,
23,2,2018,198,Forest,Treed,Stable
23,3,1984,217,Other,Non-treed,
23,3,2018,199,Other,Non-treed,Stable
23,4,1984,187,Forest,Treed,
23,4,2018,200,Forest,Treed,Stable
23,5,1984,226,Other,Non-treed,
23,5,2018,200,Other,Non-treed,Stable
23,7,1984,185,Forest,Treed,
23,7,2018,199,Forest,Treed,Stable
23,8,1984,187,Forest,Treed,
23,8,2018,200,Forest,Treed,Stable
23,9,1984,258,Forest,Treed,
23,9,2018,198,Forest,Treed,Stable
23,10,1984,201,Forest,Treed,
23,10,2018,198,Forest,Treed,Stable
23,11,1984,210,Forest,Treed,
23,11,2018,199,Forest,Treed,Stable
23,12,1984,214,Forest,Treed,
23,12,2018,210,Forest,Treed,Stable
23,13,1984,201,Forest,Treed,
23,13,2018,206,Forest,Treed,Stable
23,15,1984,212,Forest,Treed,
23,15,2018,200,Forest,Treed,Stable
23,16,1984,196,Forest,Treed,
23,16,2018,208,Forest,Treed,Stable
23,17,1984,226,Other,Non-treed,
23,17,2018,207,Other,Non-treed,Stable
23,18,1984,153,Forest,Treed,
23,18,2007,184,Forest,Treed,Stable
23,18,2008,211,Forest,Non-treed,Unknown canopy disturbance
23,18,2014,203,Forest,Treed,Regrowth
23,18,2018,198,Forest,Treed,Stable
23,19,1984,226,Forest,Treed,
23,19,1990,178,Forest,Treed,Stable
23,19,1991,238,Forest,Non-treed,Unknown canopy disturbance
23,19,1997,197,Forest,Treed,Regrowth
23,19,2003,199,Forest,Treed,Stable
23,19,2004,210,Forest,Treed,Unknown canopy disturbance
23,19,2018,200,Forest,Treed,Stable
23,6,1984,207,Forest,Treed,
23,6,2018,202,Forest,Treed,Stable
23,14,1984,214,Other,Non-treed,
23,14,2018,201,Other,Non-treed,Stable
23,20,1984,274,Forest,Treed,
23,20,2005,187,Forest,Treed,Stable
23,20,2006,214,Forest,Treed,Unknown canopy disturbance
23,20,2012,174,Forest,Treed,Stable
23,20,2013,208,Forest,Non-treed,Unknown canopy disturbance
23,20,2017,203,Forest,Treed,Regrowth
23,20,2018,214,Forest,Non-treed,Unknown canopy disturbance
23,21,1984,178,Forest,Treed,
23,21,2018,207,Forest,Treed,Stable
23,22,1984,187,Forest,Treed,
23,22,2018,200,Forest,Treed,Stable
23,23,1984,178,Forest,Treed,
23,23,2018,206,Forest,Treed,Stable
23,24,1984,201,Other,Non-treed,
23,24,2018,197,Other,Non-treed,Stable
23,25,1984,235,Other,Non-treed,
23,25,2018,208,Other,Non-treed,Stable
23,26,1984,217,Other,Non-treed,
23,26,2018,199,Other,Non-treed,Stable
23,27,1984,226,Forest,Treed,
23,27,2018,207,Forest,Treed,Stable
23,28,1984,187,Forest,Treed,
23,28,2018,201,Forest,Treed,Stable
23,29,1984,212,Forest,Treed,
23,29,2014,205,Forest,Treed,Stable
23,29,2015,224,Forest,Treed,Harvest
23,29,2018,200,Forest,Treed,Stable
23,30,1984,153,Forest,Treed,
23,30,2018,198,Forest,Treed,Stable
23,31,1984,187,Forest,Treed,
23,31,2010,185,Forest,Treed,Stable
23,31,2011,197,Forest,Treed,Unknown canopy disturbance
23,31,2018,200,Forest,Treed,Stable
23,32,1984,187,Forest,Treed,
23,32,2017,196,Forest,Treed,Stable
