project_id,year,day,landuse,landcover,change_process,plotid
24,1985,215,Forest,Trees,NA,1
24,2017,62,Forest,Trees,Stable,1
24,1984,252,Forest,Trees,NA,2
24,2017,46,Forest,Trees,Stable,2
24,1984,191,Forest,Trees,NA,3
24,2017,42,Forest,Trees,Stable,3
24,1985,211,Forest,Trees,NA,4
24,2005,209,Forest,Trees,Stable,4
24,2006,132,Forest,Non-tree,Harvest,4
24,2017,27,Forest,Trees,Growth/Recovery,4
24,1984,156,Forest,Trees,NA,5
24,2010,204,Forest,Trees,Decline,5
24,2011,214,Forest,Trees,Harvest,5
24,2017,47,Forest,Trees,Growth/Recovery,5
24,1984,241,Other,Non-tree,NA,6
24,2001,215,Other,Non-tree,Stable,6
24,2016,217,Forest,Trees,Growth/Recovery,6
24,2017,75,Other,Non-tree,Other,6
24,1984,197,Forest,Trees,NA,7
24,2017,47,Forest,Trees,Stable,7
24,1984,218,Forest,Trees,NA,8
24,2017,27,Forest,Trees,Stable,8
24,1984,104,Forest,Trees,NA,9
24,2017,42,Forest,Trees,Stable,9
24,1984,222,Forest,Trees,NA,10
24,2017,64,Forest,Trees,Stable,10
24,1984,243,Other,Non-tree,NA,11
24,1992,226,Other,Non-tree,Stable,11
24,1999,221,Forest,Non-tree,Growth/Recovery,11
24,2002,229,Forest,Trees,Growth/Recovery,11
24,2017,70,Forest,Trees,Growth/Recovery,11
24,1984,243,Forest,Trees,NA,12
24,1997,221,Forest,Trees,Stable,12
24,1998,265,Other,Non-tree,Harvest,12
24,2017,61,Other,Non-tree,Stable,12
24,1984,222,Forest,Trees,NA,13
24,2002,231,Forest,Trees,Stable,13
24,2004,213,Forest,Non-tree,Harvest,13
24,2017,56,Forest,Trees,Growth/Recovery,13
24,1984,222,Forest,Trees,NA,14
24,2017,31,Forest,Trees,Stable,14
24,1984,218,Forest,Trees,NA,15
24,2017,27,Forest,Trees,Stable,15
24,1984,165,Forest,Trees,NA,16
24,2017,62,Forest,Trees,Stable,16
24,1984,156,Forest,Trees,NA,17
24,2017,47,Forest,Trees,Stable,17
24,1984,140,Forest,Trees,NA,18
24,2016,252,Forest,Trees,Stable,18
24,1984,140,Forest,Trees,NA,19
24,2016,252,Forest,Trees,Stable,19
24,1984,140,Forest,Trees,NA,20
24,2016,220,Forest,Trees,Stable,20
24,1984,101,Forest,Trees,NA,21
24,2017,47,Forest,Trees,Stable,21
24,1984,154,Forest,Trees,NA,22
24,2017,29,Forest,Trees,Stable,22
24,1984,275,Forest,Trees,NA,23
24,2017,5,Forest,Trees,Stable,23
24,1984,222,Forest,Trees,NA,24
24,2017,47,Forest,Trees,Stable,24
24,1984,243,Forest,Trees,NA,25
24,2017,61,Forest,Trees,Stable,25
24,1984,213,Forest,Trees,NA,26
24,2016,236,Forest,Trees,Stable,26
24,1984,161,Forest,Trees,NA,27
24,2017,42,Forest,Trees,Stable,27
24,1984,241,Forest,Trees,NA,28
24,2017,75,Forest,Trees,Stable,28
24,1984,163,Forest,Trees,NA,29
24,2017,45,Forest,Trees,Stable,29
24,1984,191,Forest,Trees,NA,30
24,2017,41,Forest,Trees,Stable,30
24,1984,241,Other,Non-tree,NA,31
24,2009,214,Other,Non-tree,Stable,31
24,2017,27,Forest,Trees,Growth/Recovery,31
24,1984,104,Forest,Trees,NA,32
24,2016,224,Forest,Trees,Stable,32
24,1984,161,Forest,Trees,NA,33
24,2017,42,Forest,Trees,Stable,33
24,1984,222,Forest,Trees,NA,34
24,2017,64,Forest,Trees,Stable,34
24,1984,213,Forest,Trees,NA,35
24,2017,47,Forest,Trees,Stable,35
24,1984,243,Forest,Trees,NA,36
24,2017,62,Forest,Trees,Stable,36
24,1984,243,Forest,Trees,NA,37
24,2011,230,Forest,Trees,Stable,37
24,2012,216,Forest,Non-tree,Harvest,37
24,2017,62,Forest,Trees,Growth/Recovery,37
24,1984,241,Forest,Trees,NA,38
24,2017,75,Forest,Trees,Stable,38
24,1984,222,Forest,Trees,NA,39
24,2017,47,Forest,Trees,Stable,39
24,1984,218,Forest,Trees,NA,40
24,2017,28,Forest,Trees,Stable,40
24,1984,318,Forest,Trees,NA,41
24,2017,64,Forest,Trees,Stable,41
24,1984,163,Forest,Trees,NA,42
24,1991,198,Forest,Trees,Stable,42
24,1992,201,Forest,Non-tree,Harvest,42
24,2002,220,Forest,Trees,Growth/Recovery,42
24,2017,29,Forest,Trees,Growth/Recovery,42
24,1984,156,Forest,Trees,NA,43
24,2017,47,Forest,Trees,Stable,43
24,1984,218,Forest,Trees,NA,44
24,2017,28,Forest,Trees,Stable,44
24,1985,229,Forest,Trees,NA,45
24,2017,46,Forest,Trees,Stable,45
24,1984,218,Forest,Trees,NA,46
24,2017,28,Forest,Trees,Stable,46
24,1984,165,Forest,Trees,NA,47
24,2017,47,Forest,Trees,Stable,47
24,1984,241,Forest,Trees,NA,48
24,1991,212,Forest,Trees,Growth/Recovery,48
24,2017,75,Forest,Trees,Growth/Recovery,48
24,1984,156,Forest,Trees,NA,49
24,2016,187,Forest,Trees,Stable,49
24,1984,218,Forest,Trees,NA,50
24,2017,28,Forest,Trees,Stable,50
24,1984,156,Forest,Trees,NA,51
24,2017,61,Forest,Trees,Stable,51
24,1984,222,Other,Non-tree,NA,52
24,2008,215,Other,Non-tree,Stable,52
24,2017,64,Forest,Trees,Growth/Recovery,52
24,1984,222,Forest,Trees,NA,53
24,2017,47,Forest,Trees,Stable,53
24,1984,222,Forest,Trees,NA,54
24,2017,56,Forest,Trees,Stable,54
24,1984,156,Other,Non-tree,NA,55
24,2002,222,Other,Non-tree,Stable,55
24,2016,157,Forest,Trees,Growth/Recovery,55
24,1984,165,Forest,Trees,NA,56
24,2017,62,Forest,Trees,Stable,56
24,1985,195,Other,Non-tree,NA,57
24,2010,216,Other,Non-tree,Stable,57
24,2017,42,Forest,Trees,Growth/Recovery,57
24,1984,165,Other,Non-tree,NA,58
24,2009,209,Other,Non-tree,Stable,58
24,2016,220,Forest,Trees,Growth/Recovery,58
24,1984,243,Forest,Trees,NA,59
24,2004,195,Forest,Trees,Stable,59
24,2005,196,Forest,Trees,Wind,59
24,2016,212,Forest,Trees,Growth/Recovery,59
24,1984,241,Forest,Trees,NA,60
24,2017,75,Forest,Trees,Stable,60
24,1984,241,Forest,Trees,NA,61
24,2017,75,Forest,Trees,Stable,61
24,1984,165,Other,Non-tree,NA,62
24,2008,215,Other,Non-tree,Stable,62
24,2017,47,Forest,Trees,Growth/Recovery,62
24,1984,161,Forest,Trees,NA,63
24,2017,27,Forest,Trees,Stable,63
24,1985,234,Forest,Trees,NA,64
24,2017,75,Forest,Trees,Stable,64
24,1984,218,Other,Non-tree,NA,65
24,2009,198,Other,Non-tree,Stable,65
24,2017,36,Forest,Trees,Growth/Recovery,65
24,1984,275,Forest,Trees,NA,66
24,2017,70,Forest,Trees,Stable,66
24,1984,191,Forest,Trees,NA,67
24,2017,58,Forest,Trees,Stable,67
24,1984,222,Forest,Trees,NA,68
24,2017,56,Forest,Trees,Stable,68
24,1984,252,Forest,Trees,NA,69
24,2017,47,Forest,Trees,Stable,69
24,1984,191,Forest,Trees,NA,70
24,1997,210,Forest,Trees,Stable,70
24,1998,222,Forest,Non-tree,Harvest,70
24,2008,209,Forest,Trees,Growth/Recovery,70
24,2017,41,Forest,Trees,Stable,70
24,1984,165,Forest,Trees,NA,71
24,2017,6,Forest,Trees,Stable,71
24,1984,222,Forest,Trees,NA,72
24,2017,64,Forest,Trees,Stable,72
