project_id,plotid,year,day,landuse,landcover,change_process
25,2,1984,252,Other,Non-treed,
25,2,2018,193,Other,Non-treed,Stable
25,3,1984,197,Other,Non-treed,
25,3,2018,202,Other,Non-treed,Stable
25,6,1984,252,Other,Non-treed,
25,6,2018,201,Other,Non-treed,Stable
25,11,1984,179,Forest,Treed,
25,11,2018,193,Forest,Treed,Stable
25,12,1984,197,Other,Non-treed,
25,12,2018,201,Other,Non-treed,Stable
25,13,1984,197,Forest,Treed,
25,13,2018,202,Forest,Treed,Stable
25,14,1984,197,Other,Non-treed,
25,14,2018,202,Other,Non-treed,Stable
25,21,1984,252,Forest,Treed,
25,21,2018,217,Forest,Treed,Stable
25,22,1984,211,Other,Non-treed,
25,22,2018,193,Other,Non-treed,Stable
25,23,1984,197,Other,Non-treed,
25,23,2018,202,Other,Non-treed,Stable
25,28,1984,252,Forest,Treed,
25,28,2018,209,Forest,Treed,Stable
25,29,1984,197,Other,Non-treed,
25,29,2018,202,Other,Non-treed,Stable
25,30,1984,252,Forest,Treed,
25,30,2018,193,Forest,Treed,Stable
25,31,1984,197,Forest,Treed,
25,31,2018,194,Forest,Treed,Stable
25,32,1984,197,Other,Non-treed,
25,32,2018,201,Other,Non-treed,Stable
25,33,1984,197,Forest,Treed,
25,33,1986,202,Forest,Treed,Stable
25,33,1987,196,Forest,Non-treed,Unknown canopy disturbance
25,33,1993,196,Forest,Treed,Regrowth
25,33,2003,201,Forest,Treed,Stable
25,33,2004,195,Forest,Non-treed,Unknown canopy disturbance
25,33,2009,192,Forest,Treed,Regrowth
25,33,2018,201,Forest,Treed,Stable
25,34,1984,197,Forest,Treed,
25,34,1999,198,Forest,Treed,Stable
25,34,2000,201,Other,Non-treed,Unknown canopy disturbance
25,34,2018,194,Other,Non-treed,Stable
25,35,1984,252,Forest,Treed,
25,35,2018,209,Forest,Treed,Stable
25,38,1984,197,Other,Non-treed,
25,38,2018,201,Other,Non-treed,Stable
25,39,1984,188,Other,Non-treed,
25,39,2018,201,Other,Non-treed,Stable
25,36,1984,197,Other,Non-treed,
25,36,2018,194,Other,Non-treed,Stable
25,40,1984,197,Other,Non-treed,
25,40,2018,202,Other,Non-treed,Stable
25,43,1984,197,Forest,Treed,
25,43,2018,202,Forest,Treed,Stable
25,45,1984,252,Forest,Treed,
25,45,2018,193,Forest,Treed,Stable
25,50,1984,197,Forest,Treed,
25,50,2017,199,Forest,Treed,Stable
25,50,2018,201,Forest,Non-treed,Unknown canopy disturbance
25,51,1984,188,Forest,Treed,
25,51,2005,197,Forest,Treed,Stable
25,51,2006,216,Forest,Non-treed,Unknown canopy disturbance
25,51,2018,201,Forest,Treed,Regrowth
25,54,1984,197,Other,Non-treed,
25,54,2018,201,Other,Non-treed,Stable
25,58,1984,211,Other,Non-treed,
25,58,2018,193,Other,Non-treed,Stable
25,59,1984,188,Forest,Treed,
25,59,2018,217,Forest,Treed,Stable
25,61,1984,211,Forest,Treed,
25,61,2018,193,Forest,Treed,Stable
25,62,1984,197,Other,Non-treed,
25,62,2018,201,Other,Non-treed,Stable
25,68,1984,197,Other,Non-treed,
25,68,2018,202,Other,Non-treed,Stable
25,74,1984,197,Other,Non-treed,
25,74,2018,201,Other,Non-treed,Stable
25,75,1984,197,Other,Non-treed,
25,75,2018,201,Other,Non-treed,Stable
25,77,1984,197,Forest,Treed,
25,77,2018,201,Forest,Treed,Stable
25,81,1984,220,Other,Non-treed,
25,81,2018,201,Other,Non-treed,Stable
25,86,1984,197,Forest,Treed,
25,86,2013,180,Forest,Treed,Stable
25,86,2014,151,Forest,Non-treed,Unknown canopy disturbance
25,86,2018,202,Forest,Treed,Regrowth
25,87,1984,197,Other,Non-treed,
25,87,2018,201,Other,Non-treed,Stable
25,88,1984,252,Forest,Treed,
25,88,2018,201,Forest,Treed,Stable
25,91,1984,252,Forest,Treed,
25,91,2018,201,Forest,Treed,Stable
25,96,1984,220,Other,Non-treed,
25,96,2018,201,Other,Non-treed,Stable
25,97,1984,188,Forest,Treed,
25,97,2016,196,Forest,Treed,Stable
25,97,2017,150,Forest,Non-treed,Unknown canopy disturbance
25,97,2018,201,Forest,Treed,Regrowth
25,105,1984,197,Other,Non-treed,
25,105,2018,201,Other,Non-treed,Stable
25,108,1984,197,Other,Non-treed,
25,108,2018,201,Other,Non-treed,Stable
25,110,1984,197,Other,Non-treed,
25,110,2018,202,Other,Non-treed,Stable
25,111,1984,197,Other,Non-treed,
25,111,2018,201,Other,Non-treed,Stable
25,113,1984,188,Forest,Treed,
25,113,2018,217,Forest,Treed,Stable
25,114,1984,197,Other,Non-treed,
25,114,2018,202,Other,Non-treed,Stable
25,116,1984,197,Other,Non-treed,
25,116,2018,201,Other,Non-treed,Stable
25,117,1984,197,Other,Non-treed,
25,117,2018,202,Other,Non-treed,Stable
25,122,1984,197,Other,Non-treed,
25,122,2018,201,Other,Non-treed,Stable
25,124,1984,188,Other,Non-treed,
25,124,2018,201,Other,Non-treed,Stable
25,129,1984,197,Forest,Treed,
25,129,2003,201,Forest,Treed,Stable
25,129,2004,203,Forest,Non-treed,Unknown canopy disturbance
25,129,2009,192,Forest,Treed,Regrowth
25,129,2018,201,Forest,Treed,Stable
25,132,1984,188,Other,Non-treed,
25,132,2018,201,Other,Non-treed,Stable
25,133,1984,188,Forest,Treed,
25,133,2018,201,Forest,Treed,Stable
25,134,1984,197,Forest,Treed,
25,134,2018,201,Forest,Treed,Stable
25,140,1984,197,Other,Non-treed,
25,140,2018,202,Other,Non-treed,Stable
25,143,1984,197,Other,Non-treed,
25,143,2018,202,Other,Non-treed,Stable
25,144,1984,197,Forest,Treed,
25,144,2003,201,Forest,Treed,Stable
25,144,2004,195,Forest,Non-treed,Unknown canopy disturbance
25,144,2018,201,Forest,Treed,Regrowth
25,150,1984,197,Other,Non-treed,
25,150,2018,201,Other,Non-treed,Stable
25,151,1984,197,Other,Non-treed,
25,151,2018,201,Other,Non-treed,Stable
25,155,1984,188,Other,Non-treed,
25,155,2018,201,Other,Non-treed,Stable
25,160,1984,197,Other,Non-treed,
25,160,2018,202,Other,Non-treed,Stable
25,161,1984,197,Other,Non-treed,
25,161,2018,201,Other,Non-treed,Stable
25,163,1984,197,Other,Non-treed,
25,163,2018,201,Other,Non-treed,Stable
25,164,1984,197,Other,Non-treed,
25,164,2018,201,Other,Non-treed,Stable
25,165,1984,197,Other,Non-treed,
25,165,2018,202,Other,Non-treed,Stable
25,169,1984,197,Other,Non-treed,
25,169,2018,201,Other,Non-treed,Stable
25,173,1984,197,Other,Non-treed,
