project_id,plotid,year,day,landuse,landcover,change_process
26,1,1984,201,Forest,Treed,
26,1,2018,214,Forest,Treed,Stable
26,2,1984,201,Other,Non-treed,
26,2,2018,214,Other,Non-treed,Stable
26,4,1984,192,Forest,Treed,
26,4,2018,196,Forest,Treed,Stable
26,5,1984,192,Forest,Treed,
26,5,2018,197,Forest,Treed,Stable
26,6,1984,190,Forest,Treed,
26,6,2018,195,Forest,Treed,Stable
26,7,1984,215,Forest,Treed,
26,7,2018,220,Forest,Treed,Stable
26,8,1984,203,Forest,Treed,
26,8,2018,199,Forest,Treed,Stable
26,9,1984,336,Forest,Treed,
26,9,2018,245,Forest,Treed,Stable
26,10,1984,265,Forest,Treed,
26,10,2018,237,Forest,Treed,Stable
26,11,1984,153,Forest,Treed,
26,11,2018,214,Forest,Treed,Stable
26,12,1984,215,Forest,Treed,
26,12,2017,185,Forest,Treed,Stable
26,12,2018,221,Forest,Treed,Unknown canopy disturbance
26,13,1984,256,Forest,Treed,
26,13,2018,229,Forest,Treed,Stable
26,14,1984,215,Forest,Treed,
26,14,2011,177,Forest,Treed,Stable
26,14,2012,220,Forest,Non-treed,Unknown canopy disturbance
26,14,2018,244,Forest,Non-treed,Stable
26,15,1984,201,Other,Non-treed,
26,15,2018,198,Other,Non-treed,Stable
26,16,1984,192,Forest,Treed,
26,16,2018,197,Forest,Treed,Stable
26,17,1984,215,Other,Non-treed,
26,17,2018,196,Other,Non-treed,Stable
26,18,1984,190,Forest,Treed,
26,18,2018,196,Forest,Treed,Stable
26,19,1984,190,Forest,Treed,
26,19,2018,196,Forest,Treed,Stable
26,20,1984,265,Forest,Treed,
26,20,2018,230,Forest,Treed,Stable
26,21,1984,265,Forest,Treed,
26,21,2018,222,Forest,Treed,Stable
26,22,1984,201,Forest,Treed,
26,22,2018,198,Forest,Treed,Stable
26,23,1984,192,Forest,Treed,
26,23,2018,220,Forest,Treed,Stable
26,24,1984,215,Forest,Non-treed,
26,24,2004,183,Forest,Non-treed,Stable
26,24,2005,209,Forest,Treed,Regrowth
26,24,2018,197,Forest,Treed,Stable
26,25,1984,128,Other,Non-treed,
26,25,2018,221,Other,Non-treed,Stable
26,26,1984,336,Forest,Treed,
26,26,2018,165,Forest,Treed,Stable
26,28,1984,228,Other,Non-treed,
26,28,2018,192,Other,Non-treed,Stable
26,29,1984,185,Forest,Treed,
26,29,2018,214,Forest,Treed,Stable
26,30,1984,231,Forest,Treed,
26,30,2018,205,Forest,Treed,Stable
26,31,1984,215,Forest,Treed,
26,31,2018,221,Forest,Treed,Stable
26,32,1984,192,Forest,Treed,
26,32,2018,196,Forest,Treed,Stable
26,33,1984,192,Forest,Treed,
26,33,2014,202,Forest,Treed,Stable
26,33,2015,197,Forest,Non-treed,Unknown canopy disturbance
26,33,2018,221,Forest,Non-treed,Stable
26,34,1984,215,Forest,Treed,
26,34,2018,196,Forest,Treed,Stable
26,35,1984,192,Forest,Treed,
26,35,2018,204,Forest,Treed,Stable
26,36,1984,190,Forest,Treed,
26,36,2018,204,Forest,Treed,Stable
26,37,1984,336,Forest,Treed,
26,37,2015,189,Forest,Treed,Stable
26,37,2016,208,Forest,Non-treed,Unknown canopy disturbance
26,37,2018,222,Forest,Treed,Regrowth
26,38,1984,128,Forest,Treed,
26,38,2018,222,Forest,Treed,Stable
26,39,1984,256,Forest,Treed,
26,39,1986,213,Forest,Treed,Stable
26,39,1987,200,Forest,Non-treed,Unknown canopy disturbance
26,39,1995,206,Forest,Treed,Regrowth
26,39,2018,197,Forest,Treed,Stable
26,41,1984,258,Forest,Treed,
26,41,2018,198,Forest,Treed,Stable
26,42,1984,201,Forest,Treed,
26,42,2018,198,Forest,Treed,Stable
26,43,1984,153,Forest,Treed,
26,43,2018,198,Forest,Treed,Stable
26,44,1984,190,Other,Non-treed,
26,44,2018,195,Other,Non-treed,Stable
26,45,1984,183,Forest,Treed,
26,45,2006,203,Forest,Treed,Stable
26,45,2007,198,Forest,Non-treed,Unknown canopy disturbance
26,45,2008,193,Forest,Treed,Regrowth
26,45,2018,196,Forest,Treed,Stable
26,46,1984,265,Forest,Treed,
26,46,2007,200,Forest,Treed,Stable
26,46,2008,195,Forest,Non-treed,Unknown canopy disturbance
26,46,2011,195,Forest,Treed,Regrowth
26,46,2018,230,Forest,Treed,Stable
26,47,1984,201,Forest,Treed,
26,47,2018,182,Forest,Treed,Stable
26,48,1984,297,Forest,Treed,
26,48,2018,198,Forest,Treed,Stable
26,49,1984,171,Forest,Treed,
26,49,2018,192,Forest,Treed,Stable
26,50,1984,192,Forest,Treed,
26,50,2018,221,Forest,Treed,Stable
