project_id,plotid,year,day,landuse,landcover,change_process
30,1,1984,177,Forest,Treed,
30,1,2018,199,Forest,Treed,Stable
30,2,1984,234,Forest,Treed,
30,2,2018,207,Forest,Treed,Stable
30,3,1984,193,Forest,Treed,
30,3,2018,199,Forest,Treed,Stable
30,4,1984,170,Forest,Treed,
30,4,2002,171,Forest,Treed,Stable
30,4,2003,206,Forest,Non-treed,Harvest
30,4,2006,198,Forest,Treed,Regrowth
30,4,2015,199,Forest,Treed,Stable
30,4,2016,202,Forest,Non-treed,Harvest
30,4,2017,188,Forest,Treed,Regrowth
30,4,2018,199,Forest,Treed,Stable
30,5,1984,170,Forest,Treed,
30,5,2018,200,Forest,Treed,Stable
30,6,1984,170,Forest,Treed,
30,6,2018,207,Forest,Treed,Stable
30,7,1984,243,Forest,Treed,
30,7,2018,200,Forest,Treed,Stable
30,8,1984,193,Forest,Treed,
30,8,2018,199,Forest,Treed,Stable
30,9,1984,234,Other,Non-treed,
30,9,2018,191,Other,Non-treed,Stable
30,10,1984,170,Other,Non-treed,
30,10,2018,200,Other,Non-treed,Stable
30,11,1984,170,Forest,Treed,
30,11,2005,203,Forest,Treed,Stable
30,11,2006,198,Forest,Non-treed,Harvest
30,11,2007,201,Forest,Treed,Regrowth
30,11,2018,191,Forest,Treed,Stable
30,12,1984,234,Forest,Treed,
30,12,2018,199,Forest,Treed,Stable
30,13,1984,193,Forest,Treed,
30,13,2018,199,Forest,Treed,Stable
30,14,1984,193,Forest,Treed,
30,14,2013,200,Forest,Treed,Stable
30,14,2014,219,Forest,Treed,Unknown canopy disturbance
30,14,2018,198,Forest,Treed,Stable
30,15,1984,193,Forest,Treed,
30,15,2018,199,Forest,Treed,Stable
30,16,1984,193,Forest,Treed,
30,16,2018,206,Forest,Treed,Stable
30,17,1984,193,Forest,Treed,
30,17,2018,190,Forest,Treed,Stable
30,18,1984,170,Forest,Treed,
30,18,2018,207,Forest,Treed,Stable
30,19,1984,193,Other,Non-treed,
30,19,2018,262,Other,Non-treed,Stable
30,20,1984,193,Forest,Treed,
30,20,2018,199,Forest,Treed,Stable
30,21,1984,170,Forest,Treed,
30,21,2018,191,Forest,Treed,Stable
30,22,1984,193,Forest,Treed,
30,22,2018,206,Forest,Treed,Stable
30,23,1984,170,Forest,Treed,
30,23,2018,200,Forest,Treed,Stable
30,24,1984,170,Forest,Treed,
30,24,2018,199,Forest,Treed,Stable
30,25,1984,193,Forest,Treed,
30,25,2018,199,Forest,Treed,Stable
30,26,1984,179,Other,Non-treed,
30,26,2018,208,Other,Non-treed,Stable
30,27,1984,193,Forest,Treed,
30,27,2018,199,Forest,Treed,Stable
30,28,1984,193,Forest,Treed,
