project_id,plotid,year,day,landuse,landcover,change_process
31,1,1984,178,Forest,Treed,
31,1,2018,199,Forest,Treed,Stable
31,3,1984,197,Forest,Treed,
31,3,2018,203,Forest,Treed,Stable
31,5,1984,185,Forest,Treed,
31,5,2018,198,Forest,Treed,Stable
31,7,1984,185,Forest,Treed,
31,7,2018,199,Forest,Treed,Stable
31,8,1984,174,Other,Non-treed,
31,8,2018,203,Other,Non-treed,Stable
31,9,1984,192,Forest,Treed,
31,9,2018,198,Forest,Treed,Stable
31,10,1984,199,Other,Non-treed,
31,10,2018,196,Other,Non-treed,Stable
31,11,1984,201,Forest,Treed,
31,11,2018,198,Forest,Treed,Stable
31,12,1984,188,Forest,Treed,
31,12,1990,188,Forest,Treed,Stable
31,12,1991,207,Forest,Treed,Harvest
31,12,2018,193,Forest,Treed,Stable
31,13,1984,185,Forest,Treed,
31,13,2018,198,Forest,Treed,Stable
31,14,1984,192,Other,Non-treed,
31,14,2018,197,Other,Non-treed,Stable
31,15,1984,187,Forest,Treed,
31,15,2009,206,Forest,Treed,Stable
31,15,2010,201,Forest,Non-treed,Unknown canopy disturbance
31,15,2011,228,Forest,Treed,Regrowth
31,15,2018,200,Forest,Treed,Stable
31,16,1984,192,Forest,Treed,
31,16,2018,197,Forest,Treed,Stable
31,17,1984,199,Other,Non-treed,
31,17,2018,203,Other,Non-treed,Stable
31,18,1984,192,Forest,Treed,
31,18,2018,197,Forest,Treed,Stable
31,19,1984,199,Forest,Treed,
31,19,2018,196,Forest,Treed,Stable
31,20,1984,199,Forest,Treed,
31,20,2018,197,Forest,Treed,Stable
31,21,1984,199,Other,Non-treed,
31,21,2018,196,Other,Non-treed,Stable
31,22,1984,197,Forest,Treed,
31,22,1986,202,Forest,Treed,Stable
31,22,1987,221,Forest,Treed,Unknown canopy disturbance
31,22,1996,214,Forest,Treed,Stable
31,22,1997,200,Forest,Treed,Unknown canopy disturbance
31,22,2018,203,Forest,Treed,Stable
31,23,1984,199,Forest,Treed,
31,23,2018,204,Forest,Treed,Stable
31,24,1984,192,Forest,Treed,
31,24,2018,205,Forest,Treed,Stable
31,25,1984,197,Other,Non-treed,
31,25,2018,202,Other,Non-treed,Stable
31,26,1984,201,Other,Non-treed,
31,26,2018,198,Other,Non-treed,Stable
31,27,1984,199,Forest,Treed,
31,27,2018,204,Forest,Treed,Stable
31,28,1984,192,Other,Non-treed,
31,28,2018,197,Other,Non-treed,Stable
31,29,1984,199,Other,Non-treed,
31,29,2018,204,Other,Non-treed,Stable
31,30,1984,197,Other,Non-treed,
31,30,2018,203,Other,Non-treed,Stable
31,31,1984,188,Forest,Treed,
31,31,2018,193,Forest,Treed,Stable
31,32,1984,185,Other,Non-treed,
31,32,2018,199,Other,Non-treed,Stable
31,33,1984,233,Other,Non-treed,
31,33,2018,198,Other,Non-treed,Stable
31,34,1984,183,Other,Non-treed,
31,34,2018,211,Other,Non-treed,Stable
31,35,1984,199,Forest,Treed,
31,35,2018,203,Forest,Treed,Stable
31,36,1984,187,Forest,Treed,
31,36,2005,196,Forest,Treed,Stable
31,36,2006,199,Forest,Treed,Harvest
31,36,2010,178,Forest,Treed,Stable
31,36,2011,221,Forest,Treed,Harvest
31,36,2013,202,Forest,Treed,Stable
31,36,2014,197,Forest,Treed,Harvest
31,36,2018,200,Forest,Treed,Stable
31,37,1984,178,Forest,Treed,
31,37,2018,199,Forest,Treed,Stable
31,38,1984,199,Forest,Treed,
31,38,2018,203,Forest,Treed,Stable
31,39,1984,199,Forest,Treed,
31,39,2009,212,Forest,Treed,Stable
31,39,2010,199,Forest,Treed,Unknown canopy disturbance
31,39,2018,196,Forest,Treed,Stable
31,40,1984,199,Other,Non-treed,
31,40,2018,196,Other,Non-treed,Stable
31,41,1984,197,Forest,Treed,
31,41,1988,208,Forest,Treed,Stable
31,41,1989,202,Forest,Non-treed,Unknown canopy disturbance
31,41,2018,194,Forest,Non-treed,Stable
31,42,1984,197,Other,Non-treed,
31,42,2018,203,Other,Non-treed,Stable
31,43,1984,185,Other,Non-treed,
31,43,2018,199,Other,Non-treed,Stable
31,44,1984,199,Other,Non-treed,
31,44,2018,196,Other,Non-treed,Stable
31,45,1984,199,Forest,Treed,
31,45,2018,204,Forest,Treed,Stable
31,46,1984,206,Forest,Treed,
31,46,2018,203,Forest,Treed,Stable
31,47,1984,199,Forest,Treed,
31,47,2018,197,Forest,Treed,Stable
31,48,1984,235,Forest,Treed,
31,48,2018,200,Forest,Treed,Stable
31,49,1984,190,Forest,Treed,
31,49,2018,203,Forest,Treed,Stable
31,50,1984,199,Other,Non-treed,
31,50,2018,203,Other,Non-treed,Stable
31,51,1984,199,Forest,Treed,
31,51,2018,196,Forest,Treed,Stable
31,52,1984,208,Forest,Treed,
31,52,2018,198,Forest,Treed,Stable
31,53,1984,165,Other,Non-treed,
31,53,2018,194,Other,Non-treed,Stable
31,54,1984,208,Other,Non-treed,
31,54,2018,189,Other,Non-treed,Stable
31,55,1984,185,Forest,Treed,
31,55,2015,190,Forest,Treed,Stable
31,55,2016,201,Forest,Treed,Harvest
31,55,2018,198,Forest,Treed,Stable
31,56,1984,199,Other,Non-treed,
31,56,2018,196,Other,Non-treed,Stable
31,57,1984,197,Forest,Treed,
31,57,2018,194,Forest,Treed,Stable
31,58,1984,178,Other,Non-treed,
31,58,2018,199,Other,Non-treed,Stable
31,59,1984,199,Forest,Treed,
31,59,2018,204,Forest,Treed,Stable
31,60,1984,197,Forest,Treed,
31,60,2018,203,Forest,Treed,Stable
31,61,1984,199,Other,Non-treed,
31,61,2018,196,Other,Non-treed,Stable
31,62,1984,185,Other,Non-treed,
