project_id,plotid,year,day,landuse,landcover,change_process
32,298,1984,214,Forest,Treed,
32,298,2018,196,Forest,Treed,Stable
32,246,1984,237,Forest,Treed,
32,246,2018,186,Forest,Treed,Stable
32,189,1984,196,Forest,Treed,
32,189,2018,193,Forest,Treed,Stable
32,50,1984,207,Forest,Treed,
32,50,2018,197,Forest,Treed,Stable
32,420,1984,191,Forest,Treed,
32,420,2004,183,Forest,Treed,Stable
32,420,2005,193,Forest,Non-treed,Uprooting and breakage
32,420,2018,197,Forest,Treed,Regrowth
32,161,1984,198,Forest,Treed,
32,161,2018,202,Forest,Treed,Stable
32,2,1984,214,Forest,Treed,
32,2,2016,205,Forest,Treed,Stable
32,2,2017,223,Forest,Non-treed,Harvest
32,2,2018,202,Forest,Non-treed,Stable
32,3,1984,212,Forest,Treed,
32,3,2018,201,Forest,Treed,Stable
32,5,1984,191,Forest,Treed,
32,5,2018,197,Forest,Treed,Stable
32,6,1984,214,Forest,Treed,
32,6,2018,202,Forest,Treed,Stable
32,1,1984,191,Forest,Treed,
32,1,2009,219,Forest,Treed,Stable
32,1,2010,207,Forest,Non-treed,Harvest
32,1,2013,198,Forest,Treed,Regrowth
32,1,2018,197,Forest,Treed,Stable
32,8,1984,189,Forest,Treed,
32,8,2000,210,Forest,Treed,Stable
32,8,2001,212,Forest,Non-treed,Harvest
32,8,2002,191,Forest,Treed,Regrowth
32,8,2018,195,Forest,Treed,Stable
32,9,1984,212,Forest,Treed,
32,9,2018,194,Forest,Treed,Stable
32,10,1984,207,Forest,Treed,
32,10,2014,199,Forest,Treed,Stable
32,10,2015,212,Forest,Non-treed,Harvest
32,10,2018,203,Forest,Non-treed,Stable
32,60,1984,235,Forest,Treed,
32,60,2018,191,Forest,Treed,Stable
32,100,1984,214,Forest,Treed,
32,100,2018,201,Forest,Treed,Stable
32,102,1984,214,Forest,Treed,
32,102,2018,203,Forest,Treed,Stable
32,103,1984,216,Other,Non-treed,
32,103,2018,197,Other,Non-treed,Stable
32,104,1984,191,Other,Non-treed,
32,104,2018,197,Other,Non-treed,Stable
32,106,1984,175,Forest,Treed,
32,106,2018,212,Forest,Treed,Stable
32,107,1984,214,Other,Treed,
32,107,2018,202,Other,Treed,Stable
32,109,1984,168,Forest,Treed,
32,109,2018,197,Forest,Treed,Stable
32,110,1984,235,Forest,Treed,
32,110,2018,208,Forest,Treed,Stable
32,111,1984,191,Forest,Treed,
