project_id,plotid,year,day,landuse,landcover,change_process
36,1,1984,190,Other,Non-treed,
36,1,2018,203,Other,Non-treed,Stable
36,3,1984,204,Forest,Treed,
36,3,2001,210,Forest,Treed,Stable
36,3,2002,245,Forest,Treed,Unknown canopy disturbance
36,3,2006,209,Forest,Treed,Stable
36,3,2007,212,Forest,Non-treed,Harvest
36,3,2012,170,Forest,Treed,Regrowth
36,3,2018,185,Forest,Treed,Stable
36,2,1984,183,Other,Non-treed,
36,2,2018,196,Other,Non-treed,Stable
36,4,1984,204,Forest,Treed,
36,4,2018,186,Forest,Treed,Stable
36,6,1984,147,Other,Non-treed,
36,6,1996,196,Forest,Non-treed,Stable
36,6,2018,185,Forest,Treed,Regrowth
36,7,1984,183,Other,Non-treed,
36,7,2018,197,Other,Non-treed,Stable
36,8,1984,190,Forest,Treed,
36,8,2018,195,Forest,Treed,Stable
36,9,1984,204,Forest,Treed,
36,9,2008,270,Forest,Treed,Stable
36,9,2009,152,Forest,Treed,Unknown canopy disturbance
36,9,2018,201,Forest,Treed,Stable
36,10,1984,124,Other,Non-treed,
36,10,2018,200,Other,Non-treed,Stable
36,11,1984,129,Forest,Treed,
36,11,2018,206,Forest,Treed,Stable
36,5,1984,204,Other,Non-treed,
36,5,2018,201,Other,Non-treed,Stable
36,12,1984,199,Other,Non-treed,
36,12,2018,196,Other,Non-treed,Stable
36,13,1984,268,Forest,Treed,
36,13,2018,208,Forest,Treed,Stable
36,14,1984,190,Other,Non-treed,
36,14,2018,195,Other,Non-treed,Stable
36,15,1984,199,Forest,Treed,
36,15,2018,197,Forest,Treed,Stable
36,16,1984,206,Other,Non-treed,
36,16,2018,194,Other,Non-treed,Stable
36,17,1984,204,Forest,Treed,
36,17,1985,183,Forest,Non-treed,Unknown canopy disturbance
36,17,1993,228,Forest,Treed,Regrowth
36,17,2016,196,Forest,Treed,Stable
36,17,2017,183,Forest,Treed,Harvest
36,17,2018,186,Forest,Treed,Stable
36,18,1984,204,Forest,Treed,
36,18,2018,185,Forest,Treed,Stable
36,19,1984,204,Forest,Treed,
36,19,2018,186,Forest,Treed,Stable
36,20,1984,199,Other,Non-treed,
36,20,2018,203,Other,Non-treed,Stable
36,21,1984,186,Other,Non-treed,
36,21,2008,252,Forest,Non-treed,Stable
36,21,2018,191,Forest,Treed,Regrowth
36,22,1984,206,Other,Non-treed,
36,22,2018,196,Other,Non-treed,Stable
36,23,1984,266,Forest,Treed,
36,23,1994,204,Forest,Treed,Stable
36,23,1995,207,Forest,Non-treed,Unknown canopy disturbance
36,23,2002,243,Forest,Treed,Regrowth
36,23,2018,183,Forest,Treed,Stable
36,24,1984,133,Forest,Treed,
36,24,2018,186,Forest,Treed,Stable
36,25,1984,131,Forest,Treed,
36,25,2007,234,Forest,Treed,Stable
36,25,2008,133,Forest,Non-treed,Harvest
36,25,2015,225,Forest,Treed,Regrowth
36,25,2018,208,Forest,Treed,Stable
36,26,1984,206,Other,Non-treed,
